initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_it	criteria_it	choice_it	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_de	criteria_de	choice_de	BigCriteria_es	criteria_es	choice_es	BigCriteria_cz	criteria_cz	choice_cz
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_orangerot	selectInput		Fruit color or shape	Fruit color or shape	orange-red	Couleur ou forme des fruits	Couleur ou forme des fruits	rouge orangé	Fruit color or shape	Fruit color or shape	rosso-arancio	Fruit color or shape	Fruit color or shape	oranjerood	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	orangerot	Fruit color or shape	Fruit color or shape	rojo anaranjado	Fruit color or shape	Fruit color or shape	oranžovo-červený
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_purpur	selectInput		Fruit color or shape	Fruit color or shape	purple	Couleur ou forme des fruits	Couleur ou forme des fruits	pourpre	Fruit color or shape	Fruit color or shape	viola	Fruit color or shape	Fruit color or shape	paars	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	purpur	Fruit color or shape	Fruit color or shape	morado	Fruit color or shape	Fruit color or shape	fialová
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_rot	selectInput		Fruit color or shape	Fruit color or shape	red	Couleur ou forme des fruits	Couleur ou forme des fruits	rouge	Fruit color or shape	Fruit color or shape	rosso	Fruit color or shape	Fruit color or shape	rood	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	rot	Fruit color or shape	Fruit color or shape	rojo	Fruit color or shape	Fruit color or shape	červený
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_rot-braun	selectInput		Fruit color or shape	Fruit color or shape	red-brown	Couleur ou forme des fruits	Couleur ou forme des fruits	rouge-brun	Fruit color or shape	Fruit color or shape	rosso-marrone	Fruit color or shape	Fruit color or shape	roodbruin	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	rot-braun	Fruit color or shape	Fruit color or shape	rojo-marrón	Fruit color or shape	Fruit color or shape	červenohnědé
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_rotschwarz	selectInput		Fruit color or shape	Fruit color or shape	red-black	Couleur ou forme des fruits	Couleur ou forme des fruits	rouge-noir	Fruit color or shape	Fruit color or shape	rosso-nero	Fruit color or shape	Fruit color or shape	rood-zwart	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	rotschwarz	Fruit color or shape	Fruit color or shape	rojo-negro	Fruit color or shape	Fruit color or shape	červená-černo
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_schwarz	selectInput		Fruit color or shape	Fruit color or shape	black	Couleur ou forme des fruits	Couleur ou forme des fruits	noir	Fruit color or shape	Fruit color or shape	nero	Fruit color or shape	Fruit color or shape	zwart	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	schwarz	Fruit color or shape	Fruit color or shape	negro	Fruit color or shape	Fruit color or shape	černá
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_schwarzrot	selectInput		Fruit color or shape	Fruit color or shape	black-red	Couleur ou forme des fruits	Couleur ou forme des fruits	rouge noir	Fruit color or shape	Fruit color or shape	nero-rosso	Fruit color or shape	Fruit color or shape	zwart-rood	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	schwarzrot	Fruit color or shape	Fruit color or shape	negro-rojo	Fruit color or shape	Fruit color or shape	černo-červená
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_schwarzviolett	selectInput		Fruit color or shape	Fruit color or shape	black-violet	Couleur ou forme des fruits	Couleur ou forme des fruits	noir violet	Fruit color or shape	Fruit color or shape	nero-violetto	Fruit color or shape	Fruit color or shape	zwart-paars	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	schwarzviolett	Fruit color or shape	Fruit color or shape	negro-violeta	Fruit color or shape	Fruit color or shape	černofialový
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_silbrig	selectInput		Fruit color or shape	Fruit color or shape	silvery	Couleur ou forme des fruits	Couleur ou forme des fruits	argenté	Fruit color or shape	Fruit color or shape	argenteo	Fruit color or shape	Fruit color or shape	zilverachtig	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	silbrig	Fruit color or shape	Fruit color or shape	plateado	Fruit color or shape	Fruit color or shape	stříbřitá
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_stachelig	selectInput		Fruit color or shape	Fruit color or shape	spiny	Couleur ou forme des fruits	Couleur ou forme des fruits	épineux	Fruit color or shape	Fruit color or shape	spinoso	Fruit color or shape	Fruit color or shape	stekelig	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	stachelig	Fruit color or shape	Fruit color or shape	espinoso	Fruit color or shape	Fruit color or shape	ostnitý
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_weiß	selectInput		Fruit color or shape	Fruit color or shape	white	Couleur ou forme des fruits	Couleur ou forme des fruits	blanc	Fruit color or shape	Fruit color or shape	bianco	Fruit color or shape	Fruit color or shape	wit	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	weiß	Fruit color or shape	Fruit color or shape	blanco	Fruit color or shape	Fruit color or shape	bílá
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_wollartig	selectInput		Fruit color or shape	Fruit color or shape	woolly	Couleur ou forme des fruits	Couleur ou forme des fruits	laineux	Fruit color or shape	Fruit color or shape	lanoso	Fruit color or shape	Fruit color or shape	wollig	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	wollartig	Fruit color or shape	Fruit color or shape	lanoso	Fruit color or shape	Fruit color or shape	vlnitý
	effecttrait		Aesthetic	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form_zapfenförmig	selectInput		Fruit color or shape	Fruit color or shape	cone-shaped	Couleur ou forme des fruits	Couleur ou forme des fruits	en forme de cône	Fruit color or shape	Fruit color or shape	a forma di cono	Fruit color or shape	Fruit color or shape	kegelvormig	Fruchtfarbe.oder..Form	Fruchtfarbe.oder..Form	zapfenförmig	Fruit color or shape	Fruit color or shape	en forma de cono	Fruit color or shape	Fruit color or shape	kuželovitý
	effecttrait		Aesthetic	Fruchtschmuck		checkboxInput		Fruit ornamentation	Fruit ornamentation		Ornementation des fruits	Ornementation des fruits		Ornamento dei frutti	Ornamento dei frutti		Versiering van de vrucht	Versiering van de vrucht		Fruchtschmuck	Fruchtschmuck		Ornamentación del fruto	Ornamentación del fruto		Zdobení plodů	Zdobení plodů	
	effecttrait		Aesthetic	Habitus	Habitus_aufrecht	selectInput		Habitus	Habitus	upright	Habitus	Habitus	érigé	Habitus	Habitus	eretto	Habitus	Habitus	rechtopstaand	Habitus	Habitus	aufrecht	Habitus	Habitus	erguido	Habitus	Habitus	vzpřímené
	effecttrait		Aesthetic	Habitus	Habitus_breitbuschig	selectInput		Habitus	Habitus	broad-bushy	Habitus	Habitus	à large buisson	Habitus	Habitus	ampio e cespuglioso	Habitus	Habitus	breed bossig	Habitus	Habitus	breitbuschig	Habitus	Habitus	ancha y tupida	Habitus	Habitus	široký keřovitý
	effecttrait		Aesthetic	Habitus	Habitus_breitbüschig	selectInput		Habitus	Habitus	broadly bushy	Habitus	Habitus	à larges touffes	Habitus	Habitus	ampiamente cespuglioso	Habitus	Habitus	breed bossig	Habitus	Habitus	breitbüschig	Habitus	Habitus	ampliamente tupida	Habitus	Habitus	široce keřovitý
	effecttrait		Aesthetic	Habitus	Habitus_breitkronig	selectInput		Habitus	Habitus	broad-crowned	Habitus	Habitus	à couronne large	Habitus	Habitus	a corona larga	Habitus	Habitus	breed gekroond	Habitus	Habitus	breitkronig	Habitus	Habitus	corona ancha	Habitus	Habitus	s širokou korunou
	effecttrait		Aesthetic	Habitus	Habitus_klettend	selectInput		Habitus	Habitus	climbing	Habitus	Habitus	grimpant	Habitus	Habitus	rampicante	Habitus	Habitus	klimmend	Habitus	Habitus	klettend	Habitus	Habitus	trepadora	Habitus	Habitus	pnoucí se
	effecttrait		Aesthetic	Habitus	Habitus_kriechend b	selectInput		Habitus	Habitus	creeping b	Habitus	Habitus	rampant b	Habitus	Habitus	strisciante b	Habitus	Habitus	kruipend b	Habitus	Habitus	kriechend b	Habitus	Habitus	rastrero b	Habitus	Habitus	plazivý b
	effecttrait		Aesthetic	Habitus	Habitus_lockerkronig	selectInput		Habitus	Habitus	loose crowned	Habitus	Habitus	à couronne lâche	Habitus	Habitus	a corona larga	Habitus	Habitus	los gekroond	Habitus	Habitus	lockerkronig	Habitus	Habitus	de copa ancha	Habitus	Habitus	s volnou korunkou
	effecttrait		Aesthetic	Habitus	Habitus_rundlich	selectInput		Habitus	Habitus	roundish	Habitus	Habitus	arrondi	Habitus	Habitus	tondeggiante	Habitus	Habitus	rondachtig	Habitus	Habitus	rundlich	Habitus	Habitus	redondeado	Habitus	Habitus	kulaté
	effecttrait		Aesthetic	Habitus	Habitus_stark überhägend	selectInput		Habitus	Habitus	strongly overhanging	Habitus	Habitus	très touffu	Habitus	Habitus	fortemente sporgente	Habitus	Habitus	sterk overhangend	Habitus	Habitus	stark überhägend	Habitus	Habitus	fuertemente saliente	Habitus	Habitus	silně převislý
	effecttrait		Aesthetic	Habitus	Habitus_stark überhängend	selectInput		Habitus	Habitus	strongly overhanging	Habitus	Habitus	fortement retombant	Habitus	Habitus	fortemente sporgente	Habitus	Habitus	sterk overhangend	Habitus	Habitus	stark überhängend	Habitus	Habitus	muy saliente	Habitus	Habitus	silně převislý
	effecttrait		Aesthetic	Habitus	Habitus_straff aufrecht	selectInput		Habitus	Habitus	tightly upright	Habitus	Habitus	érigé, droit	Habitus	Habitus	strettamente eretto	Habitus	Habitus	strak rechtop	Habitus	Habitus	straff aufrecht	Habitus	Habitus	muy erguido	Habitus	Habitus	pevně vzpřímený
	effecttrait		Aesthetic	Habitus	Habitus_teppichart	selectInput		Habitus	Habitus	carpeting	Habitus	Habitus	type tapis	Habitus	Habitus	tappeto	Habitus	Habitus	tapijt	Habitus	Habitus	teppichart	Habitus	Habitus	tapizante	Habitus	Habitus	kobercový
	effecttrait		Aesthetic	Herbstfärbung	Herbstfärbung_gelb	selectInput		Autumn coloring	Autumn coloring	yellow	Coloration automnale	Coloration automnale	jaune	colorazione autunnale	colorazione autunnale	giallo	Herfstverkleuring	Herfstverkleuring	geel	Herbstfärbung	Herbstfärbung	gelb	Coloración.otoñal	Coloración.otoñal	amarillo	Podzimní vybarvení	Podzimní vybarvení	žlutá
	effecttrait		Aesthetic	Herbstfärbung	Herbstfärbung_orange	selectInput		Autumn coloring	Autumn coloring	orange	Coloration automnale	Coloration automnale	orange	colorazione autunnale	colorazione autunnale	arancione	Herfstverkleuring	Herfstverkleuring	oranje	Herbstfärbung	Herbstfärbung	orange	Coloración.otoñal	Coloración.otoñal	naranja	Podzimní vybarvení	Podzimní vybarvení	oranžová
	effecttrait		Aesthetic	Herbstfärbung	Herbstfärbung_rot	selectInput		Autumn coloring	Autumn coloring	red	Coloration automnale	Coloration automnale	rouge	colorazione autunnale	colorazione autunnale	rosso	Herfstverkleuring	Herfstverkleuring	rood	Herbstfärbung	Herbstfärbung	rot	Coloración.otoñal	Coloración.otoñal	rojo	Podzimní vybarvení	Podzimní vybarvení	červený
	effecttrait		Competition	Wurzelsystem	Wurzel_Flachwurzler	selectInput		Root	Root	Shallow rooter	Racine	Racine	Racine plate	Radice	Radice	Radicatore superficiale	Wortel	Wortel	Ondiep wortelaar	Wurzel	Wurzel	Flachwurzler	Raíz	Raíz	Enraizador superficial	Kořen	Kořen	Mělký kořenový systém
	effecttrait		Competition	Wurzelsystem	Wurzel_Herzwurzler	selectInput		Root	Root	heart rooter	Racine	Racine	Racine de cœur	Radice	Radice	radicatore a cuore	Wortel	Wortel	hartwortel	Wurzel	Wurzel	Herzwurzler	Raíz	Raíz	arrancacorazones	Kořen	Kořen	heart rooter
	effecttrait		Competition	Wurzelsystem	Wurzel_Tiefwurzler	selectInput		Root	Root	Deep rooter	Racine	Racine	Racine profonde	Radice	Radice	Radicatore profondo	Wortel	Wortel	Diepwortel	Wurzel	Wurzel	Tiefwurzler	Raíz	Raíz	Enraizador profundo	Kořen	Kořen	Hluboký kořenář
	effecttrait		Food	Giftigkeit	Giftigkeit_giftig	selectInput		Toxicity	Toxicity	poisonous	Toxicité	Toxicité	toxique	Tossicità	Tossicità	velenoso	Giftigheid	Giftigheid	giftig	Giftigkeit	Giftigkeit	giftig	Toxicidad	Toxicidad	venenosa	Toxicita	Toxicita	jedovaté
	effecttrait		Food	Giftigkeit	Giftigkeit_leicht giftig	selectInput		Toxicity	Toxicity	slightly poisonous	Toxicité	Toxicité	légèrement toxique	Tossicità	Tossicità	leggermente velenoso	Giftigheid	Giftigheid	licht giftig	Giftigkeit	Giftigkeit	leicht giftig	Toxicidad	Toxicidad	ligeramente tóxica	Toxicita	Toxicita	mírně jedovatý
	effecttrait		Food	Giftigkeit	Giftigkeit_stark giftig	selectInput		Toxicity	Toxicity	highly toxic	Toxicité	Toxicité	fortement toxique	Tossicità	Tossicità	altamente tossico	Giftigheid	Giftigheid	zeer giftig	Giftigkeit	Giftigkeit	stark giftig	Toxicidad	Toxicidad	muy tóxica	Toxicita	Toxicita	vysoce jedovatý
	effecttrait		Layer	Höhe..m	0	sliderInput		Height (m)	Height (m)	0	Hauteur (m)	Hauteur (m)	0	Height (m)	Height (m)	0	Height (m)	Height (m)	0	Height (m)	Height (m)	0	Height (m)	Height (m)	0	Height (m)	Height (m)	0
	effecttrait		Layer	Höhe..m	40	sliderInput		Height (m)	Height (m)	40	Hauteur (m)	Hauteur (m)	40	Height (m)	Height (m)	40	Height (m)	Height (m)	40	Height (m)	Height (m)	40	Height (m)	Height (m)	40	Height (m)	Height (m)	40
	effecttrait		Phenology	Blütezeit..Monat	2	sliderInput		flowering month	flowering month	2	période de floraison	période de floraison	2	flowering time	flowering month	2	flowering time	flowering time	2	Blütezeit..Monat	Blütezeit..Monat	2	flowering time	flowering time	2	flowering time	flowering time	2
	effecttrait		Phenology	Blütezeit..Monat	9	sliderInput		flowering month	flowering month	9	période de floraison	période de floraison	9	flowering time	flowering month	9	flowering time	flowering time	9	Blütezeit..Monat	Blütezeit..Monat	9	flowering time	flowering time	9	flowering time	flowering time	9
	effecttrait		Phenology	Fruchtbesatz..Monate	1	sliderInput		Fruiting time	Fruiting time	1	période de fructification	période de fructification	1	Fruiting time	Fruiting time	1	Fruiting time	Fruiting time	1	Fruchtbesatz..Monate	Fruchtbesatz..Monate	1	Fruiting time	Fruiting time	1	Fruiting time	Fruiting time	1
	effecttrait		Phenology	Fruchtbesatz..Monate	12	sliderInput		Fruiting time	Fruiting time	12	période de fructification	période de fructification	12	Fruiting time	Fruiting time	12	Fruiting time	Fruiting time	12	Fruchtbesatz..Monate	Fruchtbesatz..Monate	12	Fruiting time	Fruiting time	12	Fruiting time	Fruiting time	12
	effecttrait		Pollination	Blütefarbe	Blütefarbe_braun	selectInput		flowering.color	flowering.color	brown	Couleur de la fleur	Couleur de la fleur	marron	colore del fiore	colore del fiore	marrone	bloemkleur	bloemkleur	bruin	Blütefarbe	Blütefarbe	braun	color.de.la.flor	color.de.la.flor	marrón	barva květů	barva květů	hnědá
	effecttrait		Pollination	Blütefarbe	Blütefarbe_creme	selectInput		flowering.color	flowering.color	cream	Couleur de la fleur	Couleur de la fleur	crème	colore del fiore	colore del fiore	crema	bloemkleur	bloemkleur	crème	Blütefarbe	Blütefarbe	creme	color.de.la.flor	color.de.la.flor	crema	barva květů	barva květů	krémová
	effecttrait		Pollination	Blütefarbe	Blütefarbe_gelb	selectInput		flowering.color	flowering.color	yellow	Couleur de la fleur	Couleur de la fleur	jaune	colore del fiore	colore del fiore	giallo	bloemkleur	bloemkleur	geel	Blütefarbe	Blütefarbe	gelb	color.de.la.flor	color.de.la.flor	amarillo	barva květů	barva květů	žlutá
	effecttrait		Pollination	Blütefarbe	Blütefarbe_gelbgrün	selectInput		flowering.color	flowering.color	yellow-green	Couleur de la fleur	Couleur de la fleur	jaune-vert	colore del fiore	colore del fiore	giallo-verde	bloemkleur	bloemkleur	geelgroen	Blütefarbe	Blütefarbe	gelbgrün	color.de.la.flor	color.de.la.flor	amarillo-verde	barva květů	barva květů	žlutozelená
	effecttrait		Pollination	Blütefarbe	Blütefarbe_grüngelb	selectInput		flowering.color	flowering.color	green-yellow	Couleur de la fleur	Couleur de la fleur	vert jaune	colore del fiore	colore del fiore	verde-giallo	bloemkleur	bloemkleur	groen-geel	Blütefarbe	Blütefarbe	grüngelb	color.de.la.flor	color.de.la.flor	verde-amarillo	barva květů	barva květů	zelenožlutá
	effecttrait		Pollination	Blütefarbe	Blütefarbe_rosa	selectInput		flowering.color	flowering.color		Couleur de la fleur	Couleur de la fleur		colore del fiore	colore del fiore		bloemkleur	bloemkleur		Blütefarbe	Blütefarbe	rosa	color.de.la.flor	color.de.la.flor		barva květů	barva květů	
	effecttrait		Pollination	Blütefarbe	Blütefarbe_rot	selectInput		flowering.color	flowering.color	red	Couleur de la fleur	Couleur de la fleur	rouge	colore del fiore	colore del fiore	rosso	bloemkleur	bloemkleur	rood	Blütefarbe	Blütefarbe	rot	color.de.la.flor	color.de.la.flor	rojo	barva květů	barva květů	červený
	effecttrait		Pollination	Blütefarbe	Blütefarbe_rotbraun	selectInput		flowering.color	flowering.color	red-brown	Couleur de la fleur	Couleur de la fleur	brun rouge	colore del fiore	colore del fiore	rosso-marrone	bloemkleur	bloemkleur	roodbruin	Blütefarbe	Blütefarbe	rotbraun	color.de.la.flor	color.de.la.flor	rojo-marrón	barva květů	barva květů	červenohnědá
	effecttrait		Pollination	Blütefarbe	Blütefarbe_rotgelb	selectInput		flowering.color	flowering.color	red-yellow	Couleur de la fleur	Couleur de la fleur	rouge-jaune	colore del fiore	colore del fiore	rosso-giallo	bloemkleur	bloemkleur	rood-geel	Blütefarbe	Blütefarbe	rotgelb	color.de.la.flor	color.de.la.flor	rojo-amarillo	barva květů	barva květů	červenožlutá
	effecttrait		Pollination	Blütefarbe	Blütefarbe_violett	selectInput		flowering.color	flowering.color	violet	Couleur de la fleur	Couleur de la fleur	violet	colore del fiore	colore del fiore	viola	bloemkleur	bloemkleur	violet	Blütefarbe	Blütefarbe	violett	color.de.la.flor	color.de.la.flor	violeta	barva květů	barva květů	fialová
	effecttrait		Pollination	Blütefarbe	Blütefarbe_weiß	selectInput		flowering.color	flowering.color	white	Couleur de la fleur	Couleur de la fleur	blanc	colore del fiore	colore del fiore	bianco	bloemkleur	bloemkleur	wit	Blütefarbe	Blütefarbe	weiß	color.de.la.flor	color.de.la.flor	blanco	barva květů	barva květů	bílá
	effecttrait		Pollination	Blütefarbe	Blütefarbe_weißgelb	selectInput		flowering.color	flowering.color	white-yellow	Couleur de la fleur	Couleur de la fleur	blanc jaune	colore del fiore	colore del fiore	bianco-giallo	bloemkleur	bloemkleur	wit-geel	Blütefarbe	Blütefarbe	weißgelb	color.de.la.flor	color.de.la.flor	blanco-amarillo	barva květů	barva květů	bílo-žlutá
	effecttrait		Pollination	Blütefarbe	Blütefarbe_weißrosa	selectInput		flowering.color	flowering.color	white pink	Couleur de la fleur	Couleur de la fleur	blanc rose	colore del fiore	colore del fiore	bianco rosa	bloemkleur	bloemkleur	wit-roze	Blütefarbe	Blütefarbe	weißrosa	color.de.la.flor	color.de.la.flor	blanco rosa	barva květů	barva květů	bílá růžová
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_-	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	-	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	-	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	-	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	-	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	-	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	-	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	-
