side	order	BigCriteria	criteria	choice	objecttype	weightofcriteria	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz
effecttrait	1	Production	utilities	fiber	checkboxGroupInput	NA	NA	Fibres and other materials	Utilities	Fiber	Vezels en andere materialen	Nut	Vezel	Fibres et autres matériaux	Utilisation	Fibre	Fasern und andere Materialien	Dienstprogramme	Faser	Vlákna a další materiály	Nástroje	Vlákno
effecttrait	1	Production	utilities	medicinal	checkboxGroupInput	NA	NA	Fibres and other materials	Utilities	Medicinal	Vezels en andere materialen	Nut	Medicinaal	Fibres et autres matériaux	Utilisation	Médicinale	Fasern und andere Materialien	Dienstprogramme	Medizinisch	Vlákna a jiné materiály	Nástroje	Léčivé
effecttrait	1	Production	utilities	oil	checkboxGroupInput	NA	NA	Nutrition	Utilities	Oil	Voeding	Nut	Olie	Alimentation	Utilisation	Huile	Ernährung	Dienstprogramme	Öl	Výživa	Nástroje	Olej
effecttrait	1	Production	utilities	gum	checkboxGroupInput	NA	NA	Fibres and other materials	Utilities	Gum	Vezels en andere materialen	Nut	Hars	Fibres et autres matériaux	Utilisation	Gomme	Fasern und andere Materialien	Dienstprogramme	Kaugummi	Vlákna a jiné materiály	Nástroje	Guma
effecttrait	2	size	form	anyform	selectInput	NA	NA	Size	Form	Any form	Grootte	Vorm	Elke vorm	Taille	Forme	Toute forme	Größe	Formular	Jede Form	Velikost	Formulář	Jakákoli forma
effecttrait	2	size	form	bamboo	selectInput	NA	NA	Size	Form	bamboo	Grootte	Vorm	bamboe	Taille	Forme	bambou	Größe	Formular	Bambus	Velikost	Formulář	bambus
effecttrait	2	size	form	cactus	selectInput	NA	NA	Size	Form	cactus	Grootte	Vorm	cactus	Taille	Forme	cactus	Größe	Formular	Kaktus	Velikost	Formulář	kaktus
effecttrait	2	size	form	giantherb	selectInput	NA	NA	Size	Form	giantherb	Grootte	Vorm	reuzen kruid	Taille	Forme	herbe géante	Größe	Formular	Riesenwurzel	Velikost	Formulář	obří bylinka
effecttrait	2	size	form	grass	selectInput	NA	NA	Size	Form	grass	Grootte	Vorm	gras	Taille	Forme	herbe	Größe	Formular	Gras	Velikost	Formulář	tráva
effecttrait	2	size	form	herb	selectInput	NA	NA	Size	Form	herb	Grootte	Vorm	kruid	Taille	Forme	herbe	Größe	Formular	Kraut	Velikost	Formulář	bylina
effecttrait	2	size	form	palm	selectInput	NA	NA	Size	Form	palm	Grootte	Vorm	palm	Taille	Forme	palmier	Größe	Formular	Palme	Velikost	Formulář	palma
effecttrait	2	size	form	shrub	selectInput	NA	NA	Size	Form	shrub	Grootte	Vorm	struik	Taille	Forme	arbuste	Größe	Formular	Strauch	Velikost	Formulář	keř
effecttrait	2	size	form	succulent	selectInput	NA	NA	Size	Form	succulent	Grootte	Vorm	vetplant	Taille	Forme	succulent	Größe	Formular	Sukkulente	Velikost	Formulář	sukulentní
effecttrait	2	size	form	tree	selectInput	NA	NA	Size	Form	tree	Grootte	Vorm	boom	Taille	Forme	arbre	Größe	Formular	Baum	Velikost	Formulář	strom
effecttrait	2	size	form	vine	selectInput	NA	NA	Size	Form	vine	Grootte	Vorm	wijnstok	Taille	Forme	vigne	Größe	Formular	Weinstock	Velikost	Formulář	vinná réva
effecttrait	4	lifespan	lifespan	0	sliderInput	NA	NA	Lifespan	lifespan	-	Levensduur	levensduur	-	Durée de vie	durée de vie	-	Lebenserwartung	Lebensspanne	-	Délka života	životnost	-
effecttrait	4	lifespan	lifespan	1000	sliderInput	NA	NA	Lifespan	lifespan	-	Levensduur	levensduur	-	Durée de vie	durée de vie	-	Lebenserwartung	Lebensspanne	-	Délka života	životnost	-
effecttrait	3	size	height	0	sliderInput	NA	NA	Size	Height	-	Grootte	Lengte	-	Taille	Taille	-	Größe	Höhe	-	Velikost	Formulář	-
effecttrait	3	size	height	100	sliderInput	NA	NA	Size	Height	-	Grootte	Lengte	-	Taille	Taille	-	Größe	Höhe	-	Velikost	Formulář	-
