initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz
NA	responsetrait	4	soil	user_prof_sol_ara	sol_profond	selectInput	NA	Soil	Soil depth	Deep (>1m)	Bodem	Bodemdiepte	Tief (>1m)	Sol	Profondeur du sol arable de la parcelle	Profond (> 1m)	Boden	Tiefe des Bodens	Tief (>1m)	P?da	Hloubka p?dy	Hluboké (>1m)
NA	responsetrait	5	soil	user_hyd_sol	hydro_drainant	selectInput	NA	Soil	Hydromorphy	Draining	Bodem	Hydromorfie	Entwässernd	Sol	Hydromorphie du sol de la parcelle	drainant	Boden	Hydromorphie	Entwässernd	P?da	Hydromorfie	Odvodn?ní
NA	responsetrait	5	soil	user_hyd_sol	hydro_equilibre	selectInput	NA	Soil	Hydromorphy	Balanced	Grond	Hydromorfie	Ausgeglichen	Sol	Hydromorphie du sol de la parcelle	equilibre	Boden	Hydromorphie	Ausgeglichen	P?da	Hydromorfie	Vyvážený
NA	responsetrait	5	soil	user_hyd_sol	hydro_peu_hydromorphe	selectInput	NA	Soil	Hydromorphy	Slightly Hydromorphic	Grond	Hydromorfie	Geringfügig hydromorph	Sol	Hydromorphie du sol de la parcelle	peu hydromorphe	Boden	Hydromorphie	Geringfügig hydromorph	P?da	Hydromorfie	Mírn? hydromorfní
NA	responsetrait	5	soil	user_hyd_sol	hydro_tres_hydromorphe	selectInput	NA	Soil	Hydromorphy	Very hydromorphic	Grond	Hydromorfie	Sehr hydromorph	Sol	Hydromorphie du sol de la parcelle	tres hydromorphe	Boden	Hydromorphie	Sehr hydromorph	P?da	Hydromorfie	Velmi hydromorfní
NA	responsetrait	6	soil	user_ca_actif	usercaactif_high	selectInput	NA	Soil	active lime	<10%	Grond	actieve kalk	<10%	Sol	Taux de Calcaire actif sur la parcelle	< 10 %	Boden	Aktivkalk	<10%	P?da	aktivní vápno	<10%
NA	responsetrait	6	soil	user_ca_actif	usercaactif_low	selectInput	NA	Soil	active lime	>10%	Bodem	actieve kalk	>10%	Sol	Taux de Calcaire actif sur la parcelle	> 10 %	Boden	Aktivkalk	>10%	P?da	aktivní vápno	>10%
NA	effecttrait	7	species	especeuser_Pommiers	Pommiers	checkboxInput	NA	Fruit species	Apple	Apple	Fruitsoorten	Appel	Apfel	Quelles espèces souhaitez vous planter en particulier ?	Pommiers	Pommiers	Obstarten	Apfel	Apfel	Ovocné druhy	Jablko	Jablko
NA	effecttrait	7	species	especeuser_Poiriers	Poiriers	checkboxInput	NA	Fruit species	Pear	Pear	Fruitsoorten	Peer	Birne	Quelles espèces souhaitez vous planter en particulier ?	Poiriers	Poiriers	Obstarten	Birne	Birne	Ovocné druhy	Hruška	Hruška
NA	effecttrait	7	species	especeuser_Abricotiers	Abricotiers	checkboxInput	NA	Fruit species	Apricot	Apricot	Fruitsoorten	Abrikoos	Aprikose	Quelles espèces souhaitez vous planter en particulier ?	Abricotiers	Abricotiers	Obstarten	Aprikose	Aprikose	Ovocné druhy	Meru?ka	Meru?ka
NA	effecttrait	7	species	especeuser_Pêchers	Pêchers	checkboxInput	NA	Fruit species	Peach	Peach	Fruitsoorten	Perzik	Pfirsich	Quelles espèces souhaitez vous planter en particulier ?	Pêchers	Pêchers	Obstarten	Pfirsich	Pfirsich	Ovocné druhy	Broskev	Broskev
NA	effecttrait	7	species	especeuser_Pruniers	Pruniers	checkboxInput	NA	Fruit species	Plum	Plum	Fruitsoorten	Pruim	Pflaume	Quelles espèces souhaitez vous planter en particulier ?	Pruniers	Pruniers	Obstarten	Pflaume	Pflaume	Ovocné druhy	Švestka	Švestka
NA	effecttrait	7	species	especeuser_Cerisiers	Cerisiers	checkboxInput	NA	Fruit species	Cherry	Cherry	Fruitsoorten	Kers	Kirsche	Quelles espèces souhaitez vous planter en particulier ?	Cerisiers	Cerisiers	Obstarten	Kirsche	Kirsche	Ovocné druhy	T?eše?	T?eše?
NA	responsetrait	8	resources	user_dispo	userdispo_low	selectInput	NA	Resources	Available workforce	Low availability	Hulpbronnen	Beschikbaar personeelsbestand	Geringe Verfügbarkeit	Ressources	Disponibilité en temps (pour entretenir les arbres)	Faible	Ressourcen	Verfügbare Arbeitskräfte	Geringe Verfügbarkeit	Zdroje	Dostupná pracovní síla	Nízká dostupnost
NA	responsetrait	8	resources	user_dispo	userdispo_medium	selectInput	NA	Resources	Available workforce	Medium availability	Hulpbronnen	Beschikbaar personeelsbestand	Mittlere Verfügbarkeit	Ressources	Disponibilité en temps (pour entretenir les arbres)	Moyenne	Ressourcen	Verfügbare Arbeitskräfte	Mittlere Verfügbarkeit	Zdroje	Dostupná pracovní síla	St?ední dostupnost
NA	responsetrait	8	resources	user_dispo	userdispo_high	selectInput	NA	Resources	Available workforce	High availability	Middelen	Beschikbaar personeelsbestand	Hohe Verfügbarkeit	Ressources	Disponibilité en temps (pour entretenir les arbres)	Forte	Ressourcen	Verfügbare Arbeitskräfte	Hohe Verfügbarkeit	Zdroje	Dostupná pracovní síla	Vysoká dostupnost
NA	effecttrait	1	height	user_hauteur	hauteur_<3m	selectInput	NA	Height	Desired tree height	< 3m	Hoogte	Gewenste boomhoogte	< 3m	Hauteur	Hauteur de l'arbre souhaitée	< 3m	Höhe	Gewünschte Baumhöhe	< 3m	Výška	Požadovaná výška stromu	< 3m
NA	effecttrait	1	height	user_hauteur	hauteur_3 a 5m	selectInput	NA	Height	Desired tree height	3 to 5m	Hoogte	Gewenste boomhoogte	3 bis 5 m	Hauteur	Hauteur de l'arbre souhaitée	3 a 5m	Höhe	Gewünschte Baumhöhe	3 bis 5 m	Výška	Požadovaná výška stromu	3 až 5 m
NA	effecttrait	1	height	user_hauteur	hauteur_> 5m	selectInput	NA	Height	Desired tree height	5 to 8m	Hoogte	Gewenste boomhoogte	5 bis 8 m	Hauteur	Hauteur de l'arbre souhaitée	5 a 8m	Höhe	Gewünschte Baumhöhe	5 bis 8 m	Výška	Požadovaná výška stromu	5 až 8 m
NA	effecttrait	1	height	user_hauteur	hauteur_> 8m	selectInput	NA	Height	Desired tree height	> 8m	Hoogte	Gewenste boomhoogte	> 8m	Hauteur	Hauteur de l'arbre souhaitée	> 8m	Höhe	Gewünschte Baumhöhe	> 8m	Výška	Požadovaná výška stromu	> 8m
