Scientific_name                                              ;Czech_name                                   ;abbreviation ;fruit ;forage ;forest ;ornamental ;approval ;endengeredG ;endengeredU ;endengeredY ;height    ;habitus             ;growthspeed     ;coppice       ;Subsidy_anex2 ;Subsidy_anex1 ;No_subsidy ;Earliness of leaf emergence III-V (flowering date) ;climateclass ;altitude     ;soil_fertility_acidic ;soil_fertility_normal ;soil_fertility_rich ;soil_fertility_nitrogen ;soil_fertility_calcium ;soil_fertility_peat ;soil_water_waterlogged ;soil_water_normal ;soil_water_arid ;light_demanding ;light_normal ;light_undemanding ;wood                                                                                            ;food                                                                                                                           ;Usage                                                                                                                                                                                                                                                                                                              ;floweringdate ;earlinessleafing
Quercus petraea (Mart.) Liebl.                               ;dub zimní                                    ;DBZ          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(29)-(30) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;late (5)                                           ;(0)-(7)      ;(150)-(800)  ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              2 ;           3 ;                1 ;Versatile applications                                                                          ;Medicinal bark, fruits used for fodder                                                                                         ;Main production forest tree of upland to montane areas suitable for silvopastoral ALS (acorns), but also for silvo-ornamental systems. However, it requires good protection against biting when young, can also be grown in coppice.                                                                               ;5             ;late
Quercus banatus P. Kučera (dříve Quercus daleschampii Ten. ) ;dub žlutavý                                  ;DBŽ          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(20)-(30) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;late (5)                                           ;(0)-(5)      ;(150)-(600)  ;                    2 ;                    3 ;                  2 ;                        ;2                      ;                    ;                     0 ;                3 ;              2 ;              2 ;           3 ;                1 ;Versatile applications                                                                          ;Fruit used as forage                                                                                                           ;Production forest tree of lower elevations to uplands suitable for silvopasture ALS (acorns), but also for silvo-ornamental systems. However, it requires good protection against biting when young, can also be grown in coppice.                                                                                 ;5             ;late
Carpinus betulus L.                                          ;habr obecný                                  ;HBO          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(20)-(25) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;medium (4)                                         ;(2)-(6)      ;(150)-(600)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              2 ;              2 ;           2 ;                3 ;Used as fuel                                                                                    ;Used for hedges                                                                                                                ;Mainly functional tree (non-productive) suitable also for drier habitats (cannot tolerate humidity), can also be grown as a coppice for fuel and as a hedge.                                                                                                                                                       ;4             ;medium
Pyrus communis L.                                            ;hrušeň obecná                                ;HRO          ;VRAI  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(20)-(25) ;medium tree         ;medium          ;unsuitable    ;            1 ;            0 ;         0 ;medium (4)                                         ;(0)-(7)      ;(150)-(600)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              2 ;           3 ;                0 ;Used for musical instruments, furniture, and art objects                                        ;Tasty edible fruits, used for jam, cruciferous vegetables, powdered sugar, and brandy                                          ;Traditional flowering fruit tree (pears, bee forage, wood for musical instruments, carving, smoking), depending on the variety on a wide range of sites for silvopasture and silvo-plough ALS.                                                                                                                     ;4             ;medium
Pyrus pyraster (L.) Burgsd.                                  ;hrušeň polnička                              ;HRP          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(22)-(25) ;medium tree         ;slow            ;suitable      ;            1 ;            0 ;         0 ;medium (4)                                         ;(0)-(7)      ;(150)-(600)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              2 ;           3 ;                0 ;Used for musical instruments, furniture, and art objects                                        ;Fruit used as forage                                                                                                           ;Rather complementary fruit tree ALS for a wide range of habitats including drier ones.                                                                                                                                                                                                                             ;4             ;medium
Sorbopyrus auricularis C. K. Schneid.                        ;hruškojeřáb ouškatý                          ;HRJ          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(12)-(15) ;small tree          ;slow            ;suitable      ;            1 ;            0 ;         0 ;medium (5)                                         ;(1)-(6)      ;(150)-(500)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              2 ;           2 ;                0 ;                                                                                                ;Edible fruits, used to make brandy                                                                                             ;Rather complementary ALS fruit tree for warmer areas and drier habitats, resistant to pear pests and diseases.                                                                                                                                                                                                     ;5             ;medium
Malus domestica (Suckow) Borkh.                              ;jabloň domácí                                ;JBD          ;VRAI  ;VRAI   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(6)-(15)  ;small tree          ;medium          ;suitable      ;            1 ;            0 ;         0 ;medium (4)                                         ;(1)-(8)      ;(150)-(800)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              0 ;           2 ;                0 ;Used as smoking fuel                                                                            ;Edible fruits, used for calvados and drying                                                                                    ;Traditional flowering fruit tree (apples, bee grazing, wood for smoking) suitable, depending on variety, on a wide range of sites for both silvopastoral and silvo-herbaceous ALS.                                                                                                                                 ;4             ;medium
Malus sylvestris (L.) Mill.                                  ;jabloň lesní                                 ;JBL          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(10)-(12) ;small tree          ;slow            ;suitable      ;            1 ;            0 ;         0 ;medium (4)                                         ;(0)-(5)      ;(150)-(600)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              2 ;           3 ;                0 ;Used as smoking fuel                                                                            ;Fruits used for feeding                                                                                                        ;Functional (endangered) tree species for a wide range of habitats, especially richer soils in warmer areas.                                                                                                                                                                                                        ;4             ;medium
Fraxinus angustifolia Vahl.                                  ;jasan úzkolistý                              ;JSU          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(39)-(40) ;large tree          ;fast            ;very suitable ;            1 ;            0 ;         0 ;early (2/3)                                        ;(0)-(2)      ;(150)-(300)  ;                    0 ;                    2 ;                  3 ;2                       ;                       ;                    ;                     2 ;                2 ;              0 ;              0 ;           3 ;                0 ;Used for sports equipment and other applications                                                ;Sap used for syrup                                                                                                             ;Productive tree on wet to waterlogged sites (hardwood meadow), late growing with a thinner crown and therefore suitable for silvo-wood systems.                                                                                                                                                                    ;2,5           ;early
Fraxinus ornus L.                                            ;jasan zimnář (horský)                        ;JSH          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;VRAI     ;FAUX        ;FAUX        ;FAUX        ;(8)-(15)  ;shrub to tree       ;slow            ;very suitable ;            1 ;            0 ;         0 ;late (5/6)                                         ;(0)-(2)      ;(150)-(300)  ;                    0 ;                    2 ;                  3 ;                        ;2                      ;                    ;                     0 ;                2 ;              3 ;              2 ;           3 ;                0 ;                                                                                                ;Sap used for syrup                                                                                                             ;Functional, complementary tree species for warm and arid habitats.                                                                                                                                                                                                                                                 ;5,5           ;late
Fraxinus excelsior L.                                        ;jasan ztepilý                                ;JSZ          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(39)-(40) ;large tree          ;fast            ;very suitable ;            1 ;            0 ;         0 ;late (4/5)                                         ;(0)-(8)      ;(150)-(1000) ;                    0 ;                    2 ;                  2 ;2                       ;                       ;                    ;                     2 ;                2 ;              2 ;              2 ;           3 ;                2 ;Used for sports equipment and other applications                                                ;                                                                                                                               ;A productive tree in a wide range of habitats, especially wetter ones, late growing with a thinner crown and therefore suitable for silvo-ornamental systems, can also be grown as a coppice.                                                                                                                      ;4,5           ;late
Acer campestre L.                                            ;javor babyka                                 ;JVB          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(15)-(20) ;medium tree         ;slow            ;very suitable ;            1 ;            0 ;         0 ;early (5)                                          ;(0)-(6)      ;(150)-(600)  ;                    0 ;                    2 ;                  3 ;2                       ;                       ;                    ;                     2 ;                3 ;              3 ;              2 ;           2 ;                3 ;Used as fuel                                                                                    ;Thin maple syrup, honey syrup                                                                                                  ;Particularly functional (non-productive) suitable for extreme habitats (dry-wet), companion tree to mature production trees.                                                                                                                                                                                       ;5             ;early
Acer pseudoplatanus L.                                       ;javor klen                                   ;JVK          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(30)-(40) ;large tree          ;medium          ;suitable      ;            1 ;            0 ;         0 ;medium (5)                                         ;(3)-(9)      ;(300)-(1000) ;                    2 ;                    2 ;                  3 ;2                       ;                       ;                    ;                     0 ;                2 ;              0 ;              0 ;           2 ;                3 ;Used for musical instruments and decorative objects (maple)                                     ;Maple syrup and honey                                                                                                          ;Production and functional tree for foothill areas, but also for drier meadows, can also be grown as a coppice.                                                                                                                                                                                                     ;5             ;medium
Acer platanoides L.                                          ;javor mléč                                   ;JVM          ;FAUX  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(20)-(30) ;large tree          ;fast            ;suitable      ;            1 ;            0 ;         0 ;medium (4)                                         ;(3)-(8)      ;(200)-(1000) ;                    0 ;                    2 ;                  2 ;2                       ;                       ;                    ;                     0 ;                2 ;              2 ;              0 ;           2 ;                3 ;Used for musical instruments                                                                    ;Honeyberry                                                                                                                     ;A productive and functional tree for wetter and more fertile land, possibly in a denser canopy (tolerates moderate shading), possibly can be grown as a coppice.                                                                                                                                                   ;4             ;medium
Sorbus torminalis (L.) Crantz                                ;jeřáb břek                                   ;JŘB          ;VRAI  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(20)-(25) ;large tree          ;medium          ;suitable      ;            1 ;            0 ;         0 ;late (5/6)                                         ;(1)-(7)      ;(150)-(600)  ;                    2 ;                    3 ;                  2 ;                        ;2                      ;                    ;                     0 ;                3 ;              2 ;              1 ;           3 ;                2 ;Decorative, solid wood                                                                          ;Edible fruits after freezing, used for marmalade, cider, beer, and brandy                                                      ;Multifunctional and complementary fruit-feeding tree for drier habitats.                                                                                                                                                                                                                                           ;5,5           ;late
Sorbus aria (L.) Crantz                                      ;jeřáb muk                                    ;JŘM          ;VRAI  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(12)-(20) ;shrub to tree       ;slow            ;suitable      ;            1 ;            0 ;         0 ;medium (5)                                         ;(0)-(5)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;2                      ;                    ;                     0 ;                3 ;              2 ;              2 ;           2 ;                0 ;                                                                                                ;Ornamental variety 'Magnifica'                                                                                                 ;Multifunctional and complementary fruit tree for drier habitats.                                                                                                                                                                                                                                                   ;5             ;medium
Sorbus domestica L.                                          ;jeřáb oskeruše                               ;JŘO          ;VRAI  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;VRAI        ;FAUX        ;(15)-(20) ;medium tree         ;slow            ;suitable      ;            1 ;            0 ;         0 ;medium (4)                                         ;(0)-(6)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;2                      ;                    ;                     0 ;                3 ;              2 ;              3 ;           2 ;                1 ;Decorative, solid wood                                                                          ;Dried fruits, Oscherusovice                                                                                                    ;Multifunctional and fruit-bearing slow dew-forming tree for drier habitats.                                                                                                                                                                                                                                        ;4             ;medium
Sorbus aucuparia L.                                          ;jeřáb ptačí                                  ;JŘP          ;VRAI  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(12)-(20) ;medium tree         ;medium          ;suitable      ;            1 ;            0 ;         0 ;medium (5)                                         ;(1)-(9)      ;(150)-(1000) ;                    3 ;                    2 ;                  2 ;                        ;                       ;                    ;                     2 ;                3 ;              0 ;              2 ;           3 ;                2 ;                                                                                                ;Dried fruits used for jewelry making, Moravian sweet-fruit marmalade                                                           ;Multifunctional and complementary fruit tree (edible varieties) for various habitats up to mountain areas.                                                                                                                                                                                                         ;5             ;medium
Ulmus glabra Huds.                                           ;jilm drsný                                   ;JLD          ;FAUX  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;VRAI        ;FAUX        ;(15)-(20) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;medium (3/4)                                       ;(2)-(9)      ;(150)-(900)  ;                    2 ;                    2 ;                  2 ;2                       ;                       ;                    ;                     2 ;                2 ;              0 ;              2 ;           3 ;                2 ;Used for decorative purposes and furniture                                                      ;                                                                                                                               ;Productive tree species in a wide range of habitats, especially in wetter and cooler (foothill) areas, with a dense crown suitable for silvopastoral systems in a thinner canopy, can also be grown in coppice.                                                                                                    ;3,5           ;medium
Ulmus laevis Pall.                                           ;jilm vaz                                     ;JLV          ;FAUX  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(15)-(20) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;medium (3/4)                                       ;(0)-(7)      ;(150)-(600)  ;                    0 ;                    2 ;                  3 ;2                       ;                       ;                    ;                     2 ;                2 ;              0 ;              2 ;           2 ;                3 ;Used for decorative purposes and furniture                                                      ;                                                                                                                               ;Productive tree in a wide range of habitats, especially wetter habitats and warmer areas, with a dense crown and therefore suitable for thinner-canopy silvo-wood systems, can also be grown in coppice.                                                                                                           ;3,5           ;medium
Aesculus hippocastanum L.                                    ;jírovec maďal                                ;JÍM          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;VRAI     ;FAUX        ;FAUX        ;FAUX        ;(20)-(25) ;medium tree         ;slow            ;suitable      ;            1 ;            0 ;         0 ;early (5)                                          ;(1)-(7)      ;(150)-(700)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              3 ;           2 ;                0 ;Used for carving and decorative objects                                                         ;Feeding with chestnuts in fields, used in silvopasture systems                                                                 ;Traditional functional and aesthetic tree species with useful benefits (e.g. chestnut feeding in fields, silvopasture systems), in many ways irreplaceable in our cultural landscape, we recommend the use of resistant taxa against sprouting.                                                                    ;5             ;early
Castanea sativa Mill. a kříženci                             ;kaštanovnik jedlý                            ;KAJ          ;VRAI  ;VRAI   ;VRAI   ;VRAI       ;VRAI     ;FAUX        ;FAUX        ;FAUX        ;(29)-(30) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;medium (6)                                         ;(1)-(5)      ;(150)-(600)  ;                    3 ;                    2 ;                  2 ;                        ;2                      ;                    ;                     0 ;                2 ;              0 ;              0 ;           3 ;                2 ;Used for construction and decorative purposes                                                   ;Edible chestnuts, dried and ground into flour for bread, roasted as coffee substitute                                          ;Potentially interesting production (timber, chestnuts) and functional tree species with climate change, little proven on agricultural land.                                                                                                                                                                        ;6             ;medium
Tilia cordata Mill.                                          ;lípa malolistá (srdčitá)                     ;LPM          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(20)-(30) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;medium (7)                                         ;(0)-(8)      ;(150)-(900)  ;                    2 ;                    3 ;                  2 ;                        ;                       ;                    ;                     2 ;                3 ;              2 ;              2 ;           2 ;                3 ;Used for woodcarving                                                                            ;Medicinal fruits, edible young leaves and buds, used in gemotherapy                                                            ;Productive tree of mainly wetter habitats and less warm areas, but also tolerates slightly drier sites, with a dense crown suitable for silvopastoral systems in a thinner canopy, can also be grown as a coppice, to reduce the crown (pollarding, etc.).                                                         ;7             ;medium
Tilia platyphyllos Scop.                                     ;lípa velkolistá                              ;LPV          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(30)-(40) ;large tree          ;medium          ;very suitable ;            1 ;            0 ;         0 ;medium (6)                                         ;(0)-(8)      ;(150)-(800)  ;                    0 ;                    2 ;                  2 ;2                       ;                       ;                    ;                     0 ;                2 ;              0 ;              2 ;           3 ;                2 ;Used for woodcarving                                                                            ;Medicinal fruits, edible young leaves and buds, used in gemotherapy                                                            ;Productive tree species especially in wetter habitats and warmer areas, but can also tolerate slightly drier sites, with a dense crown suitable for thinner-canopy silvo-wood systems, can also be grown in coppice, crown reduction (pollarding etc.).                                                            ;6             ;medium
Corylus colurna L.                                           ;líska turecká                                ;LÍT          ;VRAI  ;FAUX   ;VRAI   ;VRAI       ;VRAI     ;FAUX        ;FAUX        ;FAUX        ;(20)-(25) ;large tree          ;medium          ;suitable      ;            1 ;            0 ;         0 ;early (3)                                          ;(1)-(5)      ;(150)-(600)  ;                    0 ;                    2 ;                  2 ;                        ;2                      ;                    ;                     0 ;                3 ;              2 ;              2 ;           3 ;                0 ;Used for turning and decorative purposes                                                        ;Difficult-to-peel nuts, kernels similar in quality to bush hazel                                                               ;                                                                                                                                                                                                                                                                                                                   ;3             ;early
Prunus mahaleb L.                                            ;mahalebka obecná                             ;MHO          ;VRAI  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(10)-(12) ;shrub to tree       ;slow            ;suitable      ;            1 ;            0 ;         0 ;medium (4)                                         ;(0)-(5)      ;(150)-(300)  ;                    0 ;                    2 ;                  3 ;                        ;2                      ;                    ;                     0 ;                2 ;              3 ;              3 ;           2 ;                0 ;                                                                                                ;Edible bitter fruits, used since the Stone Age, birds, fruits and leaves used for dye and maraska liquor                       ;Rather complementary ALS fruit tree for warmer areas and drier habitats.                                                                                                                                                                                                                                           ;4             ;medium
"Prunus dulcis (Mill.) D. A. Webb"                           ;mandloň obecná                               ;MNO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(7)-(8)   ;shrub to tree       ;slow            ;suitable      ;            1 ;            0 ;         0 ;early (2/3)                                        ;(0)-(5)      ;(150)-(300)  ;                    0 ;                    2 ;                  2 ;                        ;2                      ;                    ;                     0 ;                3 ;              2 ;              3 ;           2 ;                0 ;Used as smoking fuel                                                                            ;Tasty seeds, roasted                                                                                                           ;Fruit tree (almonds, spring bee grazing) and so far not widespread, according to practical experience suitable especially for drier areas and habitats of the Czech Republic for both silvopasture and silvo-ornamental ALS, due to climate change it is expected to expand its cultivation in the Czech Republic. ;2,5           ;early
Prunus armeniaca L.                                          ;meruňka obecná                               ;MRO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(8)-(10)  ;small tree          ;medium          ;suitable      ;            1 ;            0 ;         0 ;early (3)                                          ;(0)-(4)      ;(150)-(500)  ;                    0 ;                    2 ;                  2 ;                        ;2                      ;                    ;                     0 ;                3 ;              2 ;              3 ;           2 ;                0 ;Used for carving and smoking fuel                                                               ;Tasty edible fruits, used for jam and brandy                                                                                   ;Prouductive fruit tree (apricots, bee fodder, smoking wood) suitable according to variety on a wide range of sites for both silvopastoral and silvo-pastoral ALS.                                                                                                                                                  ;3             ;early
Morus alba L.                                                ;morušovník bílý                              ;MŠB          ;VRAI  ;VRAI   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(15)-(18) ;medium tree         ;medium          ;very suitable ;            1 ;            0 ;         0 ;late (5)                                           ;(0)-(5)      ;(150)-(400)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              2 ;           2 ;                0 ;Used for decorative purposes                                                                    ;Sweet fruits, dried as a raisin substitute                                                                                     ;Prouductive tree (fruit, timber) suitable for warmer areas and a wide range of habitats, including drier ones - for silvopasture and silvo-plough ALS.                                                                                                                                                             ;5             ;late
