Country	Region	Crop	precipitation	altitude	Tree_latin	locallyAdapted	food	erosionControl	pestControl	biodiversity	diseaseControl	microclimate	improvedCoffeeProductivity	improvedCoffeeLongevity	pruning	fallingBranches	nutrients	fuelwood	fodder	protecfromcold	fruit	growth	Income	improvedCoffeeQuality	mulch	improvedCocoaLongevity	lowCompetition	improvedMacaboProduction	medicinal	protectfromhail	windbreak	protectfromheat	otherproducts	shade	for workers	soilMoisture	soilFertility	timber	weedControl
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Cocos nucifera	0.25	2.47	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.04	NA	NA	NA	0.6	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.41	0	0.02	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Psidium guajava	1.2	2.37	NA	NA	NA	NA	NA	NA	NA	1.28	NA	NA	2.73	NA	NA	NA	1.67	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	NA	0.7	1.85	0.1	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Gliricidia sepium	5	1.39	NA	NA	NA	NA	NA	NA	NA	2.01	NA	NA	1.82	NA	NA	NA	2.1	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.95	NA	1.75	2.68	0.38	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Carapa guianensis	3.48	0.86	NA	NA	NA	NA	NA	NA	NA	3.04	NA	NA	1.4	NA	NA	NA	0.99	1.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.88	NA	1.54	1.64	2.71	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Lonchocarpus rugosus	3.97	1.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.73	NA	NA	NA	1.23	0.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77	NA	NA	NA	0.19	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Ficus spp.	4.28	0.47	NA	NA	NA	NA	NA	NA	NA	2.03	NA	NA	1.38	NA	NA	NA	2.32	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.83	NA	5	4.91	0.71	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Mangifera indica	0.97	3.24	NA	NA	NA	NA	NA	NA	NA	1.21	NA	NA	1.46	NA	NA	NA	1.9	1.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.02	NA	1.87	2.19	0.11	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Platymiscium pinnatum	3.01	1.12	NA	NA	NA	NA	NA	NA	NA	1.97	NA	NA	2.38	NA	NA	NA	1.55	2.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	1.95	3.06	3.31	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Musa spp. 'platano'	2	5	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	0.24	NA	NA	NA	4.73	4.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.89	NA	3.32	3.89	0.06	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Juglans olanchana	3.3	1.43	NA	NA	NA	NA	NA	NA	NA	1.76	NA	NA	1.25	NA	NA	NA	1.26	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.38	NA	2.37	3.29	3.38	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Ceiba pentandra	2.88	0.28	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	0.48	NA	NA	NA	2	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.3	NA	3.8	2.68	1.09	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Erythrina fusca	3.43	0.39	NA	NA	NA	NA	NA	NA	NA	2.3	NA	NA	0.82	NA	NA	NA	2.92	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.27	5	0.47	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Musa spp. 'guineo'	3.39	4.87	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	0.08	NA	NA	NA	5	3.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.05	NA	3.39	4.31	0.06	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Pachira quinata	3.15	1.43	NA	NA	NA	NA	NA	NA	NA	2.15	NA	NA	1.59	NA	NA	NA	0.35	1.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.47	NA	1.28	2.4	4.38	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Bactris gasipaes	1.92	3.26	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	0	NA	NA	NA	1.09	3.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0.55	0.18	0	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Annona muricata	0	2.7	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	0.67	NA	NA	NA	1.05	1.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86	NA	1.13	1.01	0.06	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Theobroma cacao	0.39	3.07	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	1.27	NA	NA	NA	2.72	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.58	NA	1.65	2.46	0.07	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Syzygium malaccense	1.8	3.09	NA	NA	NA	NA	NA	NA	NA	1.33	NA	NA	1.05	NA	NA	NA	2.35	1.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.57	NA	2.75	3.54	0.14	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Citrus spp. 'naranja'	1.89	3.54	NA	NA	NA	NA	NA	NA	NA	1.22	NA	NA	2.53	NA	NA	NA	2.01	3.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.95	NA	1.05	1.68	0.15	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Citrus spp. 'limon'	2.43	3.64	NA	NA	NA	NA	NA	NA	NA	1.25	NA	NA	2.04	NA	NA	NA	2.22	3.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	0.5	0.82	0.1	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Cedrela odorata	2.09	1.48	NA	NA	NA	NA	NA	NA	NA	2.47	NA	NA	1.69	NA	NA	NA	1.29	2.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.74	NA	1.06	1.95	5	NA
Nicaragua	Nicaragua (Central)	Arabica coffee	All precipitation zones	All altitudes	Inga edulis	3.47	2.95	NA	NA	NA	NA	NA	NA	NA	2.06	NA	NA	4.94	NA	NA	NA	3.02	1.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.18	NA	2.88	4.91	0.06	NA
Laos	Laos (South)	Arabica coffee	All precipitation zones	All altitudes	Senna siamea	NA	NA	3.57	NA	2.94	NA	3.49	2.25	3.5	NA	NA	NA	NA	NA	3.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.72	NA	NA	3.59	NA	NA	2.65	NA	3.79
Laos	Laos (South)	Arabica coffee	All precipitation zones	All altitudes	Azadirachta indica 	NA	NA	3.92	NA	1.31	NA	4.28	2.01	3.35	NA	NA	NA	NA	NA	4.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.13	NA	NA	3.62	NA	NA	2.14	NA	3.96
Laos	Laos (South)	Arabica coffee	All precipitation zones	All altitudes	Artocarpus heterophyllus	NA	NA	4.58	NA	2.45	NA	4.3	1.98	3.22	NA	NA	NA	NA	NA	4.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.69	NA	NA	3.35	NA	NA	2.43	NA	4.46
Laos	Laos (South)	Arabica coffee	All precipitation zones	All altitudes	Mangifera indica	NA	NA	4.11	NA	2.84	NA	3.52	1.07	2	NA	NA	NA	NA	NA	4.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7	NA	NA	2.4	NA	NA	1.31	NA	3.29
Laos	Laos (South)	Arabica coffee	All precipitation zones	All altitudes	Dimocarpus longan	NA	NA	3.87	NA	2.79	NA	2.57	0.88	1.41	NA	NA	NA	NA	NA	2.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.37	NA	NA	2.25	NA	NA	0.93	NA	2.41
Laos	Laos (South)	Arabica coffee	All precipitation zones	All altitudes	Tamarindus indica	NA	NA	4.4	NA	1.56	NA	2.17	0.81	1.59	NA	NA	NA	NA	NA	2.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.74	NA	NA	1.84	NA	NA	1.2	NA	2.2
Laos	Laos (South)	Arabica coffee	All precipitation zones	All altitudes	Bischofia javanica	NA	NA	5	NA	1.91	NA	5	1.8	3.3	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	3.46	NA	NA	2.31	NA	4.18
Laos	Laos (South)	Arabica coffee	All precipitation zones	All altitudes	Phyllanthus emblica	NA	NA	3.66	NA	0.57	NA	1.86	0.9	1.36	NA	NA	NA	NA	NA	1.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.84	NA	NA	1.54	NA	NA	0.92	NA	1.32
Laos	Laos (South)	Arabica coffee	All precipitation zones	All altitudes	Diospyros glandulosa	NA	NA	3.8	NA	1.79	NA	3.92	2.42	3.66	NA	NA	NA	NA	NA	3.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.88	NA	NA	3.76	NA	NA	3.02	NA	3.94
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Ficus natalensis	NA	0	NA	5	NA	NA	4.59	4.35	NA	NA	NA	4.71	4.49	NA	NA	NA	2.79	NA	NA	3.91	NA	NA	NA	NA	NA	NA	NA	NA	4.15	NA	4.89	NA	2.08	4.48
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Annona muricata	NA	0	NA	4.5	NA	NA	1.7	1.11	NA	NA	NA	1.66	2.07	NA	NA	NA	1.12	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	1.74	NA	0.78	1.72
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Moringa oleifera	NA	0	NA	4.75	NA	NA	0.98	0.82	NA	NA	NA	1.81	1.41	NA	NA	NA	2.99	NA	NA	2.68	NA	NA	NA	NA	NA	NA	NA	NA	1.97	NA	2.09	NA	0.98	0.84
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Maesopsis eminii	NA	0	NA	4.35	NA	NA	2.57	2.72	NA	NA	NA	2.51	4.81	NA	NA	NA	3.09	NA	NA	2.99	NA	NA	NA	NA	NA	NA	NA	NA	2.58	NA	2.7	NA	3.97	2.62
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Persea americana	NA	2.62	NA	3.02	NA	NA	2.89	1.48	NA	NA	NA	3.39	2.5	NA	NA	NA	2.57	NA	NA	1.64	NA	NA	NA	NA	NA	NA	NA	NA	1.47	NA	2.65	NA	1.29	3.15
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Musa paradisiaca	NA	5	NA	4.19	NA	NA	1.1	2.99	NA	NA	NA	0	0	NA	NA	NA	5	NA	NA	2.23	NA	NA	NA	NA	NA	NA	NA	NA	2.22	NA	3.73	NA	0	1.65
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Citrus reticulata	NA	2.98	NA	0	NA	NA	1.43	0	NA	NA	NA	1.24	0	NA	NA	NA	2.46	NA	NA	2.06	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	2.28	NA	0	0.6
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Pinus caribaea	NA	0	NA	0	NA	NA	0.64	0	NA	NA	NA	1.85	3.31	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.32	NA	0	NA	3.56	2.73
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Ficus ovata	NA	0	NA	3.81	NA	NA	3.76	3.03	NA	NA	NA	3.64	3.77	NA	NA	NA	1.99	NA	NA	2.13	NA	NA	NA	NA	NA	NA	NA	NA	2.35	NA	3.19	NA	2.86	3.42
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Canarium schweinfurthii	NA	1.29	NA	4.53	NA	NA	3.22	2.22	NA	NA	NA	4.04	3.33	NA	NA	NA	1.1	NA	NA	1.87	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	2.06	NA	3.75	3.13
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Annona muricata	NA	0	NA	4.5	NA	NA	1.7	1.11	NA	NA	NA	1.66	2.07	NA	NA	NA	1.12	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	1.74	NA	0.78	1.72
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Mangifera indica	NA	2.85	NA	2.84	NA	NA	5	0.79	NA	NA	NA	5	3.61	NA	NA	NA	2.18	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA	2.21	NA	2.21	5
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Mangifera indica	NA	2.85	NA	2.84	NA	NA	5	0.79	NA	NA	NA	5	3.61	NA	NA	NA	2.18	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA	2.21	NA	2.21	5
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Canarium schweinfurthii	NA	1.29	NA	4.53	NA	NA	3.22	2.22	NA	NA	NA	4.04	3.33	NA	NA	NA	1.1	NA	NA	1.87	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	2.06	NA	3.75	3.13
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Psidium guajava	NA	1.33	NA	1.72	NA	NA	1.73	1.16	NA	NA	NA	1.52	3.25	NA	NA	NA	2.14	NA	NA	1.21	NA	NA	NA	NA	NA	NA	NA	NA	0.24	NA	1.55	NA	1.7	1.47
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Albizia zygia	NA	0	NA	3.74	NA	NA	1.95	1.97	NA	NA	NA	2.77	3.79	NA	NA	NA	1.4	NA	NA	3.99	NA	NA	NA	NA	NA	NA	NA	NA	2.37	NA	2.73	NA	2.5	2.4
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Carica papaya	NA	3.01	NA	2.39	NA	NA	1.03	1.19	NA	NA	NA	0.55	0.94	NA	NA	NA	4.69	NA	NA	2.71	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	1.86	NA	0.51	0
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Albizia zygia	NA	0	NA	3.74	NA	NA	1.95	1.97	NA	NA	NA	2.77	3.79	NA	NA	NA	1.4	NA	NA	3.99	NA	NA	NA	NA	NA	NA	NA	NA	2.37	NA	2.73	NA	2.5	2.4
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Syzygium cumini	NA	2.24	NA	2.5	NA	NA	2.43	1.32	NA	NA	NA	3.41	3.35	NA	NA	NA	1.9	NA	NA	1.65	NA	NA	NA	NA	NA	NA	NA	NA	1.41	NA	2.18	NA	2.77	3.27
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Milicia excelsa	NA	0	NA	4.39	NA	NA	3.27	2.14	NA	NA	NA	4.46	4.05	NA	NA	NA	0	NA	NA	1.63	NA	NA	NA	NA	NA	NA	NA	NA	1.87	NA	2.34	NA	5	3.88
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Vanguiera apiculata	NA	0.35	NA	0	NA	NA	1.66	2.4	NA	NA	NA	0.31	0.88	NA	NA	NA	1.96	NA	NA	2.97	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	0.4	NA	1.98	0
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Milicia excelsa	NA	0	NA	3.85	NA	NA	3.44	2.44	NA	NA	NA	4.39	4.49	NA	NA	NA	0	NA	NA	1.16	NA	NA	NA	NA	NA	NA	NA	NA	1.91	NA	2.4	NA	5	4.15
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Ficus ovata	NA	0	NA	4.57	NA	NA	3.62	2.76	NA	NA	NA	4.34	3.54	NA	NA	NA	2.01	NA	NA	2.06	NA	NA	NA	NA	NA	NA	NA	NA	2.65	NA	3.49	NA	2.6	4.3
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Musa paradisiaca	NA	5	NA	4.19	NA	NA	1.1	2.99	NA	NA	NA	0	0	NA	NA	NA	5	NA	NA	2.23	NA	NA	NA	NA	NA	NA	NA	NA	2.22	NA	3.73	NA	0	1.65
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Milicia excelsa	NA	0	NA	4.39	NA	NA	3.27	2.14	NA	NA	NA	4.46	4.05	NA	NA	NA	0	NA	NA	1.63	NA	NA	NA	NA	NA	NA	NA	NA	1.87	NA	2.34	NA	5	3.88
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Citrus reticulata	NA	2.98	NA	0	NA	NA	1.43	0	NA	NA	NA	1.24	0	NA	NA	NA	2.46	NA	NA	2.06	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	2.28	NA	0	0.6
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Moringa oleifera	NA	0	NA	4.75	NA	NA	0.98	0.82	NA	NA	NA	1.81	1.41	NA	NA	NA	2.99	NA	NA	2.68	NA	NA	NA	NA	NA	NA	NA	NA	1.97	NA	2.09	NA	0.98	0.84
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Grevillea robusta	NA	0	NA	3.58	NA	NA	2.02	1.53	NA	NA	NA	2.42	3.25	NA	NA	NA	2.54	NA	NA	1.53	NA	NA	NA	NA	NA	NA	NA	NA	1.37	NA	1.37	NA	3.79	3.1
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Maesopsis eminii	NA	0	NA	4.35	NA	NA	2.57	2.72	NA	NA	NA	2.51	4.81	NA	NA	NA	3.09	NA	NA	2.99	NA	NA	NA	NA	NA	NA	NA	NA	2.58	NA	2.7	NA	3.97	2.62
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Markhamia lutea	NA	0	NA	2.3	NA	NA	1.61	0.82	NA	NA	NA	2.29	3.83	NA	NA	NA	1.16	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	1.03	NA	2.94	2.11
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Calliandra calothyrsus	NA	0	NA	4.62	NA	NA	1.58	2.69	NA	NA	NA	1.52	3.47	NA	NA	NA	3.92	NA	NA	4.05	NA	NA	NA	NA	NA	NA	NA	NA	2.32	NA	3.64	NA	1.34	1.21
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Albizia coriaria	NA	0	NA	4.86	NA	NA	4.69	5	NA	NA	NA	4.82	5	NA	NA	NA	1.38	NA	NA	4.52	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	5	NA	4.76	4.44
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Ficus natalensis	NA	0	NA	5	NA	NA	4.59	4.35	NA	NA	NA	4.71	4.49	NA	NA	NA	2.79	NA	NA	3.91	NA	NA	NA	NA	NA	NA	NA	NA	4.15	NA	4.89	NA	2.08	4.48
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Citrus reticulata	NA	2.98	NA	0	NA	NA	1.43	0	NA	NA	NA	1.24	0	NA	NA	NA	2.46	NA	NA	2.06	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	2.28	NA	0	0.6
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Syzygium cumini	NA	0.87	NA	2.34	NA	NA	3.4	2.31	NA	NA	NA	2.72	3.75	NA	NA	NA	1.82	NA	NA	1.16	NA	NA	NA	NA	NA	NA	NA	NA	1.17	NA	2.61	NA	3.01	2.64
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Vanguiera apiculata	NA	0.35	NA	0	NA	NA	1.66	2.4	NA	NA	NA	0.31	0.88	NA	NA	NA	1.96	NA	NA	2.97	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	0.4	NA	1.98	0
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Pinus caribaea	NA	0	NA	0	NA	NA	0.64	0	NA	NA	NA	1.85	3.31	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.32	NA	0	NA	3.56	2.73
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Carica papaya	NA	3.13	NA	2.77	NA	NA	0	1.02	NA	NA	NA	0.07	1.11	NA	NA	NA	4.6	NA	NA	2.91	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	2.53	NA	0.13	0.51
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Spathodea campanulata	NA	0	NA	3.42	NA	NA	2.8	2.11	NA	NA	NA	3.07	2.63	NA	NA	NA	2.07	NA	NA	2.12	NA	NA	NA	NA	NA	NA	NA	NA	1.76	NA	2.79	NA	1.77	2.91
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Calliandra calothyrsus	NA	0	NA	1.28	NA	NA	2.36	2.5	NA	NA	NA	1.92	3.7	NA	NA	NA	4.82	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	1.59	NA	2.85	NA	1.02	1.65
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Vanguiera apiculata	NA	0.35	NA	0	NA	NA	1.66	2.4	NA	NA	NA	0.31	0.88	NA	NA	NA	1.96	NA	NA	2.97	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	0.4	NA	1.98	0
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Mangifera indica	NA	2.85	NA	2.84	NA	NA	5	0.79	NA	NA	NA	5	3.61	NA	NA	NA	2.18	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA	2.21	NA	2.21	5
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Albizia chinensis	NA	0	NA	4.05	NA	NA	2.92	4.55	NA	NA	NA	4.82	4.53	NA	NA	NA	2.87	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	4.32	NA	4.28	NA	2.85	2.9
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Persea americana	NA	2.62	NA	3.02	NA	NA	2.89	1.48	NA	NA	NA	3.39	2.5	NA	NA	NA	2.57	NA	NA	1.64	NA	NA	NA	NA	NA	NA	NA	NA	1.47	NA	2.65	NA	1.29	3.15
