Soort	Botanisch	Onderstam	Toepassingen	Voedselproductie - veel toegepaste soorten	Voedselproductie - bijzondere soorten	Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	EcoVW kleinFltr	BodemVW kleinFltr	WaterVW KleinFltr	Waarde Bodem	Waarde Water	AND/OR BW	AND/OR BWH	description
Tamme kastanje (hybride)	Castanea sativa (x crenata)	molissima / sativa (x crenata)	noten	Voedselproductie - veel toegepaste soorten					zand	zavel / leem	4	NEE	7	NEE	NEE	2	2	laag	0	7	laag	7	FAUX	VRAI	FAUX	Tamme kastanje (hybride)
Sierkwee	Chaenomeles spp		fruit		Voedselproductie - bijzondere soorten	Systeem-ondersteunende soorten			zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Sierkwee
Kornoelje kers	Cornus mas	C. mas	fruit		Voedselproductie - bijzondere soorten				3	zavel / leem	lichte klei	zware klei	7	2	2	middelmatigstabiel	middelmatigfluctuerend	laag	0	7	laag	7	FAUX	VRAI	FAUX	Kornoelje kers
Gele kornoelje	Cornus mas		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Gele kornoelje
Rode kornoelje	Cornus sanquinea		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	5	5	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Rode kornoelje
Hazelaar	Corylus avellana		noten	Voedselproductie - veel toegepaste soorten					zand	zavel / leem	lichte klei	4	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	0	7	1	7	1	VRAI	FAUX	Hazelaar
Hazelaar	Corylus avellana		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	zware klei	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	7	laag	7	FAUX	VRAI	VRAI	Hazelaar
Hazelaar	Corylus avellana	C. colurna	noten	Voedselproductie - veel toegepaste soorten					zand	zavel / leem	4	4	7	NEE	NEE	middelmatigstabiel	middelmatigfluctuerend	laag	0	7	laag	7	FAUX	VRAI	FAUX	Hazelaar
Éénstijlige meidoorn	Crataegus monogyna		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Éénstijlige meidoorn
Kweepeer	Cydonia oblonga	C. monogyna	fruit		Voedselproductie - bijzondere soorten				zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	0	veen	laag	FAUX	FAUX	FAUX	FAUX	Kweepeer
Kweepeer	Cydonia oblonga	C. oblonga	fruit		Voedselproductie - bijzondere soorten				3	3	lichte klei	4	7	2	2	middelmatigstabiel	middelmatigfluctuerend	NEE	0	7	NEE	7	FAUX	FAUX	FAUX	Kweepeer
Herfstolijf	Elaeagnus umbellata		kleinfruit		Voedselproductie - bijzondere soorten				zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	0	veen	laag	FAUX	FAUX	FAUX	FAUX	Herfstolijf
Beuk	Fagus sylvatica		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	3	3	3	3	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	7	1	7	1	VRAI	VRAI	Beuk
Vijg	Ficus carica		fruit		Voedselproductie - bijzondere soorten	Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	7	laag	7	FAUX	VRAI	VRAI	Vijg
Gewone es 	Fraxinus excelsior		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	3	zavel / leem	lichte klei	zware klei	7	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	7	1	7	1	VRAI	VRAI	Gewone es 
Valse christusdoorn	Gleditsia triacanthos		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	4	4	NEE	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	NEE	laag	FAUX	FAUX	FAUX	FAUX	Valse christusdoorn
Duindoorn	Hippophae rhamnoides		kleinfruit		Voedselproductie - bijzondere soorten	Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	NEE	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	NEE	laag	FAUX	FAUX	FAUX	FAUX	Duindoorn
Gewone hulst	Ilex aquifolium		-			Systeem-ondersteunende soorten		voederhaag	3	zavel / leem	4	4	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	7	1	7	1	VRAI	VRAI	Gewone hulst
Japanse walnoot	Juglans ailantifolia	J. regia	noten		Voedselproductie - bijzondere soorten				3	zavel / leem	lichte klei	4	NEE	NEE	NEE	2	2	laag	0	NEE	laag	FAUX	FAUX	FAUX	FAUX	Japanse walnoot
Zwarte walnoot	Juglans nigra	J. regia	hoogwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	3	zavel / leem	lichte klei	4	NEE	NEE	NEE	2	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	NEE	laag	FAUX	FAUX	FAUX	FAUX	Zwarte walnoot
Walnoot	Juglans regia	J. regia	notenlaagwaardig hout	Voedselproductie - veel toegepaste soorten			Houtproductie		3	zavel / leem	lichte klei	4	NEE	NEE	NEE	2	2	laag	0	NEE	laag	FAUX	FAUX	FAUX	FAUX	Walnoot
Walnoot	Juglans regia		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	3	zavel / leem	lichte klei	4	NEE	NEE	NEE	2	2	laag	Systeem-ondersteunende soorten	NEE	laag	FAUX	FAUX	FAUX	FAUX	Walnoot
Wilde liguster	Ligustrum vulgare		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Wilde liguster
Honingbes	Lonicera caerulea		kleinfruit		Voedselproductie - bijzondere soorten				3	zavel / leem	lichte klei	4	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	1	1	0	veen	1	FAUX	1	VRAI	FAUX	Honingbes
Appel 	Malus domestica	zwak groeiend	fruit	Voedselproductie - veel toegepaste soorten					6	6	6	6	6	6	6	6	6	NEE	0	6	NEE	6	FAUX	FAUX	FAUX	Appel 
Appel 	Malus domestica	gemiddeld groeiend	fruit	Voedselproductie - veel toegepaste soorten					zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	1	middelmatigstabiel	middelmatigfluctuerend	1	0	veen	1	FAUX	1	VRAI	FAUX	Appel 
Appel 	Malus domestica	sterk groeiend	fruit	Voedselproductie - veel toegepaste soorten					zand	zavel / leem	lichte klei	zware klei	2	2	1	middelmatigstabiel	middelmatigfluctuerend	1	0	2	1	2	1	VRAI	FAUX	Appel 
Wilde appel	Malus sylvestris		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	2	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	2	1	2	1	VRAI	VRAI	Wilde appel
Mispel	Mespilus germanica	C. monogyna	fruit		Voedselproductie - bijzondere soorten				zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	0	veen	laag	FAUX	FAUX	FAUX	FAUX	Mispel
Mispel	Mespilus germanica	eigen wortel / M. germanica	fruit		Voedselproductie - bijzondere soorten	Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	4	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	7	1	7	1	VRAI	VRAI	Mispel
Mispel	Mespilus germanica	C. oblonga	fruit		Voedselproductie - bijzondere soorten				3	3	lichte klei	4	NEE	2	2	middelmatigstabiel	middelmatigfluctuerend	NEE	0	NEE	NEE	FAUX	FAUX	FAUX	FAUX	Mispel
Moerbei (hybride)	Morus spp	M. alba / eigen wortel	kleinfruitblad		Voedselproductie - bijzondere soorten				3	zavel / leem	lichte klei	4	7	2	2	middelmatigstabiel	middelmatigfluctuerend	laag	0	7	laag	7	FAUX	VRAI	FAUX	Moerbei (hybride)
Witte moerbei	Morus alba					Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	4	7	2	2	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	7	laag	7	FAUX	VRAI	VRAI	Witte moerbei
Paulownia	Paulownia elongata		-			Systeem-ondersteunende soorten		voederhaag	5	5	5	5	5	5	5	5	5	5	Systeem-ondersteunende soorten	5	5	5	5	VRAI	VRAI	Paulownia
Fijnspar	Picea abies		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	4	4	NEE	2	2	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	NEE	1	FAUX	1	FAUX	FAUX	Fijnspar
Grove den	Pinus sylvestris		hoogwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	4	4	7	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	7	laag	7	FAUX	VRAI	VRAI	Grove den
Gewone plataan	Platanus x hispanica		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	zware klei	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	7	laag	7	FAUX	VRAI	VRAI	Gewone plataan
Populier (specifieke klonen)	Populus spp		hoogwaardig hout				Houtproductie		zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	0	veen	1	FAUX	1	VRAI	FAUX	Populier (specifieke klonen)
Zwarte populier	Populus nigra		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	veen	1	FAUX	1	VRAI	VRAI	Zwarte populier
Zoete kers	Prunus avium	sterk groeiend	fruitlaagwaardig hout	Voedselproductie - veel toegepaste soorten		Systeem-ondersteunende soorten	Houtproductie	voederhaag	3	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	1	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	veen	1	FAUX	1	VRAI	VRAI	Zoete kers
Zoete kers	Prunus avium	zwak groeiend	fruit	Voedselproductie - veel toegepaste soorten					6	6	6	6	NEE	6	6	6	6	NEE	0	NEE	NEE	FAUX	FAUX	FAUX	FAUX	Zoete kers
Zoete kers	Prunus avium	gemiddeld groeiend	fruit	Voedselproductie - veel toegepaste soorten					3	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	1	middelmatigstabiel	1	1	0	veen	1	FAUX	1	VRAI	FAUX	Zoete kers
Kerspruim	Prunus cerasifera	P. cerasifera	fruit		Voedselproductie - bijzondere soorten	Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Kerspruim
Pruim	Prunus domestica	zwak groeiend	fruit	Voedselproductie - veel toegepaste soorten					6	6	6	6	6	6	6	6	6	NEE	0	6	NEE	6	FAUX	FAUX	FAUX	Pruim
Pruim	Prunus domestica	gemiddeld groeiend	fruit	Voedselproductie - veel toegepaste soorten					3	zavel / leem	lichte klei	zware klei	2	2	2	middelmatigstabiel	middelmatigfluctuerend	1	0	2	1	2	1	VRAI	FAUX	Pruim
Pruim	Prunus domestica	sterk groeiend	fruit	Voedselproductie - veel toegepaste soorten				voederhaag	zand	zavel / leem	lichte klei	zware klei	2	2	2	middelmatigstabiel	middelmatigfluctuerend	laag	0	2	laag	2	FAUX	VRAI	FAUX	Pruim
Amandel	Prunus dulcis	voor vochtige en zware grond	noten		Voedselproductie - bijzondere soorten				3	zavel / leem	lichte klei	zware klei	7	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	0	7	1	7	1	VRAI	FAUX	Amandel
Amandel	Prunus dulcis	voor droge en lichte grond	noten		Voedselproductie - bijzondere soorten				zand	zavel / leem	4	NEE	NEE	NEE	NEE	middelmatigstabiel	middelmatigfluctuerend	laag	0	NEE	laag	FAUX	FAUX	FAUX	FAUX	Amandel
Gewone vogelkers	Prunus padus		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	7	1	7	1	VRAI	VRAI	Gewone vogelkers
Perzik	Prunus persica	voor droge en lichte grond	fruit		Voedselproductie - bijzondere soorten				zand	zavel / leem	4	NEE	NEE	NEE	NEE	middelmatigstabiel	middelmatigfluctuerend	laag	0	NEE	laag	FAUX	FAUX	FAUX	FAUX	Perzik
Sleedoorn	Prunus spinosa		-			Systeem-ondersteunende soorten		voederhaag	5	5	5	5	5	5	5	5	5	5	Systeem-ondersteunende soorten	5	5	5	5	VRAI	VRAI	Sleedoorn
Peer	Pyrus communis	sterk groeiend	fruitlaagwaardig hout	Voedselproductie - veel toegepaste soorten			Houtproductie		zand	zavel / leem	lichte klei	4	2	2	2	middelmatigstabiel	middelmatigfluctuerend	laag	0	2	laag	2	FAUX	VRAI	FAUX	Peer
Peer	Pyrus communis	zwak groeiend	fruit	Voedselproductie - veel toegepaste soorten					6	6	6	6	6	6	6	6	6	NEE	0	6	NEE	6	FAUX	FAUX	FAUX	Peer
Peer	Pyrus communis	gemiddeld groeiend	fruit	Voedselproductie - veel toegepaste soorten					3	zavel / leem	lichte klei	4	2	2	2	middelmatigstabiel	1	1	0	2	1	2	1	VRAI	FAUX	Peer
Wilde peer	Pyrus pyraster		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	2	2	2	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	2	laag	2	FAUX	VRAI	VRAI	Wilde peer
Aziatische peer	Pyrus pyrifolia	sterk groeiend	fruit		Voedselproductie - bijzondere soorten				3	zavel / leem	lichte klei	4	7	2	2	middelmatigstabiel	middelmatigfluctuerend	laag	0	7	laag	7	FAUX	VRAI	FAUX	Aziatische peer
Moeraseik	Quercus palustris		hoogwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	3	zavel / leem	lichte klei	4	7	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	7	1	7	1	VRAI	VRAI	Moeraseik
Wintereik	Quercus petraea		hoogwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	3	zavel / leem	lichte klei	zware klei	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	7	laag	7	FAUX	VRAI	VRAI	Wintereik
Zomereik	Quercus robur		hoogwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	zware klei	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	7	laag	7	FAUX	VRAI	VRAI	Zomereik
Zwarte bes	Ribes nigrum (x uva-crispa)		kleinfruit	Voedselproductie - veel toegepaste soorten		Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	veen	1	FAUX	1	VRAI	VRAI	Zwarte bes
Aalbes	Ribes rubrum		kleinfruit	Voedselproductie - veel toegepaste soorten		Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Aalbes
Kruisbes	Ribes uva-crispa 		kleinfruit	Voedselproductie - veel toegepaste soorten		Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	4	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Kruisbes
Robinia	Robinia pseudoacacia		hoogwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	5	5	5	5	5	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	5	laag	5	FAUX	VRAI	VRAI	Robinia
Hondsroos	Rosa canina		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Hondsroos
Braam	Rubus fruticosus (x idaeus)		kleinfruit	Voedselproductie - veel toegepaste soorten					zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	0	veen	laag	FAUX	FAUX	FAUX	FAUX	Braam
Braam	Rubus fruticosus (x idaeus)		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Braam
Framboos	Rubus idaeus		kleinfruit	Voedselproductie - veel toegepaste soorten		Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	4	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	veen	1	FAUX	1	VRAI	VRAI	Framboos
Schietwilg	Salix alba		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	veen	1	FAUX	1	VRAI	VRAI	Schietwilg
Kraakwilg	Salix fragilis		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	veen	1	FAUX	1	VRAI	VRAI	Kraakwilg
Boswilg	Salix caprea		-			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	veen	1	FAUX	1	VRAI	VRAI	Boswilg
Wilg "Belders"	Salix alba 		laagwaardig hout				Houtproductie		zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	0	veen	1	FAUX	1	VRAI	FAUX	Wilg "Belders"
Vlier	Sambucus nigra		kleinfruitbloemen		Voedselproductie - bijzondere soorten				3	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	0	veen	1	FAUX	1	VRAI	FAUX	Vlier
Vlier	Sambucus nigra		kleinfruitbloemen			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Vlier
Gewone lijsterbes	Sorbus aucuparia		kleinfruit			systeem-ondersteunend		voederhaag	zand	zavel / leem	lichte klei	4	7	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	systeem-ondersteunend	7	laag	7	FAUX	VRAI	FAUX	Gewone lijsterbes
Peervormige lijsterbes	Sorbus domestica	S. domestica	fruit		Voedselproductie - bijzondere soorten	systeem-ondersteunend			3	zavel / leem	lichte klei	4	NEE	NEE	NEE	2	2	laag	systeem-ondersteunend	NEE	laag	FAUX	FAUX	FAUX	FAUX	Peervormige lijsterbes
Westerse levensboom	Thuja occidentalis		laagwaardig hout			systeem-ondersteunend	Houtproductie	voederhaag	3	zavel / leem	lichte klei	zware klei	7	NEE	2	middelmatigstabiel	middelmatigfluctuerend	laag	systeem-ondersteunend	7	laag	7	FAUX	VRAI	FAUX	Westerse levensboom
Winterlinde	Tilia cordata		blad		Voedselproductie - bijzondere soorten	systeem-ondersteunend		voederhaag	zand	zavel / leem	lichte klei	zware klei	7	2	2	middelmatigstabiel	middelmatigfluctuerend	1	systeem-ondersteunend	7	1	7	1	VRAI	FAUX	Winterlinde
Zomerlinde	Tilia platyphyllos		-			systeem-ondersteunend		voederhaag	3	zavel / leem	lichte klei	zware klei	7	2	2	middelmatigstabiel	middelmatigfluctuerend	1	systeem-ondersteunend	7	1	7	1	VRAI	FAUX	Zomerlinde
Chinese mahonie	Toona sinensis		bladstengels		Voedselproductie - bijzondere soorten	systeem-ondersteunend			3	zavel / leem	lichte klei	zware klei	NEE	2	2	middelmatigstabiel	middelmatigfluctuerend	1	systeem-ondersteunend	NEE	1	FAUX	1	FAUX	FAUX	Chinese mahonie
Fladderiep	Ulmus laevis		-			Systeem-ondersteunende soorten		voederhaag	3	zavel / leem	lichte klei	4	NEE	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	1	Systeem-ondersteunende soorten	NEE	1	FAUX	1	FAUX	FAUX	Fladderiep
Blauwe bes	Vaccinium corymbosum		kleinfruit		Voedselproductie - bijzondere soorten				3	zavel / leem	4	NEE	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	1	NEE	0	veen	NEE	FAUX	FAUX	FAUX	FAUX	Blauwe bes
Cranberry	Vaccinium macrocarpos		kleinfruit		Voedselproductie - bijzondere soorten				3	zavel / leem	4	NEE	veen	hoogstabiel	hoogfluctuerend	1	1	NEE	0	veen	NEE	FAUX	FAUX	FAUX	FAUX	Cranberry
Gelderse roos	Viburnum opulus		haag			Systeem-ondersteunende soorten		voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoogstabiel	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX	Gelderse roos
Druif	Vitis vinifera	V. vinifera (x ...)	kleinfruit	Voedselproductie - veel toegepaste soorten					zand	zavel / leem	lichte klei	4	7	NEE	NEE	2	2	laag	0	7	laag	7	FAUX	VRAI	FAUX	Druif
Szechuan peper	Zanthoxylum spp		pepers		Voedselproductie - bijzondere soorten				zand	zavel / leem	lichte klei	zware klei	veen	2	hoogfluctuerend	middelmatigstabiel	middelmatigfluctuerend	laag	0	veen	laag	FAUX	FAUX	FAUX	FAUX	Szechuan peper
