numberinit	nameCommon	genus	species	family	climate	humidity	form	height	lifespan	utilities	classsyntropic_strata	classsyntropic_lifecycle	precipitation_min	precipitation_max	temperature_min	temperature_max	price	nutrients	precipitation	temperature
77	Black alder	alnus	glutinosa	betulaceae			tree	25					null	null	null	null			NA	NA
346	Grey Alder	alnus	incana	betulaceae			tree	18	null	nitrogen	emergent	placenta	450	1600	-46	-18	null		(450)-(1600)	(-46)-(-18)
199	Red Alder	alnus	rubra	betulaceae			tree	null	null	biomass; nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
198	Green Alder	alnus	viridis	betulaceae			shrub	null	null	biomass; nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
228	Cape Aloe	aloe	ferox	asphodelaceae			succulent	3	150	food	emergent	placenta	50	300	-9	10	null		(50)-(300)	(-9)-(10)
229	Aloe Vera	aloe	vera	asphodelaceae			succulent	0.8	null	biomass	emergent	placenta	500	1300	-7	10	null		(500)-(1300)	(-7)-(10)
213	Amaranth (purple)	amaranthus	cruentus	amaranthaceae			herb	2	1	food	emergent	placenta	null	null	-40	10	null		NA	(-40)-(10)
185	Saskatoon serviceberry	amelanchier	alnifolia	rosaceae			shrub	4	60	food	emergent	placenta	350	553	-34	-17	null		(350)-(553)	(-34)-(-17)
443	False Indigo	amorpha	fruticosa	fabaceae			shrub	4	null	nitrogen	medium	secondary	300	700	-34	-7	1		(300)-(700)	(-34)-(-7)
86	Cashew	anacardium	occidentale	anacardiaceae			tree	12	50	food	medium	secondary	500	3500	-1	16			(500)-(3500)	(-1)-(16)
91	Pineapple	ananas	comosus	bromeliaceae			succulent	1					600	3000	-7	10			(600)-(3000)	(-7)-(10)
151	Big Bluestem	andropogon	gerardi	poaceae			grass	2	1	biomass; fodder	emergent	placenta	250	1000	null	null			(250)-(1000)	NA
67	Cherimoya	annona	cherimola	annonaceae			tree	9					700	1100	null	null			(700)-(1100)	NA
63	Soursop	annona	muricata	annonaceae			tree	7	null	food	emergent	placenta	1000	12000	-1	16	null		(1000)-(12000)	(-1)-(16)
65	Sweetsop	annona	squamosa	annonaceae			tree	6					800	4500	null	null			(800)-(4500)	NA
403	Celery	apium	graveolens	apiaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
292	Agarwood	aquilaria	malaccensis	thymelaeaceae			tree	20	80	spice	emergent	placenta	1500	6500	-1	16	null		(1500)-(6500)	(-1)-(16)
144	Groundnut	arachis	hypogaea	fabaceae			herb	0.5	1	food	medium	placenta	null	null	null	null			NA	NA
108	Bunya pine	araucaria	bidwillii	araucariaceae			tree	35	500		high	climax	1100	1400	-7	10			(1100)-(1400)	(-7)-(10)
217	Strawberry tree	arbutus	unedo	ericaceae			tree	9	200	food	emergent	placenta	400	800	-18	10	null		(400)-(800)	(-18)-(10)
6	Betel nut	areca	catechu	arecaceae	tropic	humid	palm	20	80		high	secondary	1200	5000	4	16			(1200)-(5000)	(4)-(16)
187	Argan tree	argania	spinosa	sapotaceae			tree	10	300	food; fodder	high	climax	100	400	-1	16	null		(100)-(400)	(-1)-(16)
334	Broom (Morrocan)	argyrocytisus	battandieri	fabaceae			tree	null	null	nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
377	Maqui	aristotelia	chilensis	elaeocarpaceae			tree	5	null		emergent	placenta	null	null	null	null	null		NA	NA
19	Black chokeberries	aronia	melanocarpa	rosaceae			shrub	2.5											()-()	()-()
57	Breadfruit	artocarpus	altilis	moraceae			tree	24					1500	2500	-1	16			(1500)-(2500)	(-1)-(16)
172	Breadnut	artocarpus	camansi	moraceae			tree	15	55	food	high	secondary	1300	3800	-1	16			(1300)-(3800)	(-1)-(16)
56	Jackfruit	artocarpus	heterophyllus	moraceae			tree	15					900	4000	-1	16			(900)-(4000)	(-1)-(16)
105	Cempedak	artocarpus	integer	rosaceae			tree	28	65		high	secondary	1250	4000	4	16			(1250)-(4000)	(4)-(16)
97	Pawpaw	asimina	tribola	annonaceae			tree	11	null	food	medium	secondary	750	1200	-29	-7	33		(750)-(1200)	(-29)-(-7)
79	Asparagus	asparagus	officinalis	asparagoideae			herb	1.5	8	food	emergent	placenta	600	3000	-46	-1			(600)-(3000)	(-46)-(-1)
22	Oat	avena	sativa	poaceae			grass	1											()-()	()-()
261	Neem	azadirachta	indica	meliaceae			tree	15	150	food; biomass	emergent	placenta	400	1200	-1	16	null		(400)-(1200)	(-1)-(16)
117	Peach palm	bactris	gasipaes	arecaceae			tree	24	100		high	climax	1500	4000	4	16			(1500)-(4000)	(4)-(16)
239	Desert Date	balanites	aegyptiaca	zygophyllaceae			tree	6	30	food	emergent	placenta	200	1700	-1	16	null		(200)-(1700)	(-1)-(16)
236	White Bauhinia	bauhinia	petersiana	fabaceae			tree	7	40	food	emergent	placenta	350	700	-7	16	null		(350)-(700)	(-7)-(16)
103	Brazil nut	bertholletia	excelsa	lecythidaceae			tree	50	500		emergent	climax	1400	3500	-1	16			(1400)-(3500)	(-1)-(16)
212	Beet	beta	vulgaris	amaranthaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
285	Kenai Birch	betula	kenaica	betulaceae			tree	null	null		emergent	placenta	null	null	null	null	null		NA	NA
288	Paper Birch	betula	papyrifera	betulaceae			tree	20	70	food	emergent	placenta	300	1520	-51	-18	null		(300)-(1520)	(-51)-(-18)
295	Silver Birch	betula	pendula	betulaceae			tree	20	90	timber; food	emergent	placenta	480	1800	-46	-17	null		(480)-(1800)	(-46)-(-17)
69	White Birch	betula	pubescens	betulaceae			tree	20	50	timber	emergent	placenta	450	1400	-45	-7	null		(450)-(1400)	(-45)-(-7)
48	Palmyrah	borassus	flabellifer	arecaceae			palm	20	120		high	climax	500	5000	1	13			(500)-(5000)	(1)-(13)
235	Abyssinian cabbage	brassica	carinata	brassicaceae			herb	1	1	food	emergent	placenta	800	1700	-7	16	null		(800)-(1700)	(-7)-(16)
128	Canola	brassica	napus	brassicaceae			herb	1.2	1	food	high	placenta	300	2800	-23	-1			(300)-(2800)	(-23)-(-1)
203	Cabbage	brassica	oleracea	brassicaceae			herb	null	2	food	emergent	placenta	null	null	null	null	null		NA	NA
422	Cauliflower	brassica	oleracea botrytis	brassicaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
405	Broccoli	brassica	oleracea var. italica	brassicaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
106	Breadnut (Maya nut)	brosimum	alicastrum	moraceae			tree	30	100	fodder; food	high	climax	500	5000	-1	16	null		(500)-(5000)	(-1)-(16)
134	Chironji	buchanania	lanzan	anacardiaceae			tree	13	null	food	medium	secondary	750	2200	-1	16			(750)-(2200)	(-1)-(16)
113	Pigeon pea	cajanus	cajan	fabaceae			shrub	4	4	fodder; food; biomass; nitrogen	medium	secondary	500	1200	-7	16	null	{\protein\:20,\fat\:1,\carb\:65}	(500)-(1200)	(-7)-(16)
195	Red Calliandra	calliandra	calothyrsus	fabaceae			shrub	6	null	biomass; fodder; nitrogen	emergent	placenta	700	5000	-1	16	null		(700)-(5000)	(-1)-(16)
426	Calpurnia aurea	calpurnia	aurea	fabaceae			shrub	4	null	nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
168	Tea	camellia	sinensis	theaceae			shrub	4	110	food	low	secondary	700	3100	-17	-1			(700)-(3100)	(-17)-(-1)
175	Pili nut	canarium	ovatum	burseraceae			tree	25	500	food	high	climax	1000	4000	-1	16	null		(1000)-(4000)	(-1)-(16)
404	FeijÄo de porco	canavalia	ensiformis	fabaceae			herb	null	null	food; nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
148	Hemp	cannabis	sativa	cannabaceae			herb	2.5	1	food; biomass; fiber	emergent	placenta	400	4000	-12	10			(400)-(4000)	(-12)-(10)
231	Caper	capparis	spinosa	capparaceae			shrub	1	30	food	emergent	placenta	200	680	-12	4	null		(200)-(680)	(-12)-(4)
412	Pepper	capsicum	annuum	solanaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
413	Aji Pepper	capsicum	baccatum	solanaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
268	Siberian pea tree	caragana	arborescens	fabaceae			tree	6	50	food; biomass; nitrogen	emergent	placenta	305	1397	-46	-12	null		(305)-(1397)	(-46)-(-12)
115	Andiroba	carapa	guianensis	meliaceae			tree	35	400		high	climax	3000	6000	-1	16			(3000)-(6000)	(-1)-(16)
96	Papaya	carica	papaya	caricaceae			tree	10	5	food	emergent	secondary	1000	3000	-7	16			(1000)-(3000)	(-7)-(16)
214	Karanda	carissa	carandas	apocynaceae			shrub	4	null	food	emergent	placenta	800	2400	-1	16	null		(800)-(2400)	(-1)-(16)
351	Common Hornbeam	carpinus	betulus	betulaceae			tree	23	null		emergent	placenta	500	1200	-29	-12	null		(500)-(1200)	(-29)-(-12)
226	Sour fig / Hottentot-fig	carpobrotus	edulis	aizoaceae			succulent	0.1	null	food	emergent	placenta	null	null	-18	5	null		NA	(-18)-(5)
38	Pecan	carya	illinoinensis	juglandaceae			tree	30	300	food	high	secondary	760	2010	-30	-1	54		(760)-(2010)	(-30)-(-1)
222	Shellbark Hickory	carya	laciniosa	juglandaceae			tree	30	300	timber; food	emergent	placenta	750	1500	-29	-2	null		(750)-(1500)	(-29)-(-2)
221	Shagbark Hickory	carya	ovata	juglandaceae			tree	30	350	timber; food	emergent	placenta	760	2030	-35	-7	null		(760)-(2030)	(-35)-(-7)
431	Casearia battiscombei	casearia	battiscombei	salicaceae			tree	40	null		emergent	placenta	null	null	null	null	null		NA	NA
354	Japanese Chestnut	castanea	crenata	fagaceae			tree	9	null	food	emergent	placenta	null	null	-35	-7	null		NA	(-35)-(-7)
277	American Sweet Chestnut	castanea	dentata	fagaceae			tree	30	150	food	emergent	placenta	812	1524	-35	-7	null		(812)-(1524)	(-35)-(-7)
353	Chinese Chestnut	castanea	mollissima	fagaceae			tree	25	null	food	emergent	placenta	null	null	-35	-7	null		NA	(-35)-(-7)
18	Sweet chestnut	castanea	sativa	Fagaceae			tree	30	500	timber; food	emergent	climax	500	1600	-30	-7	47		(500)-(1600)	(-30)-(-7)
147	Moreton Bay Chestnut	castanospermum	 australe	fabaceae			tree	25	40	food	medium	secondary	1000	3800	-12	16			(1000)-(3800)	(-12)-(16)
85	River sheoak	casuarina	cunninghamiana	casuarinaceae			tree	18					360	2200	-9	10			(360)-(2200)	(-9)-(10)
145	Australian pine	casuarina	equisetifolia	casuarinaceae			tree	31	50	timber	emergent	secondary	200	3500	-7	16			(200)-(3500)	(-7)-(16)
391	Cedro	cedrela	fissilis	meliaceae			tree	25	100	timber	high	climax	800	2000	-1	16	null		(800)-(2000)	(-1)-(16)
364	Atlas Cedar	cedrus	atlantica	pinaceae			tree	30	null	timber	emergent	placenta	null	null	null	null	null		NA	NA
366	Deodar Cedar	cedrus	deodara	pinaceae			tree	45	null	timber	emergent	placenta	null	null	null	null	null		NA	NA
365	Lebanon cedar	cedrus	libani	pinaceae			tree	40	null	timber; oil	emergent	placenta	null	null	null	null	null		NA	NA
177	Kapok	ceiba	pentandra	malvaceae			tree	40	70	fodder; food; shade; fiber	high	secondary	800	5500	-1	16	null		(800)-(5500)	(-1)-(16)
259	Mediterranean hackberry	celtis	australis	cannabaceae			tree	20	null	food	emergent	placenta	null	null	-29	-1	null		NA	(-29)-(-1)
283	Common Hackberry	celtis	occidentalis	cannabaceae			tree	20	200	food	emergent	placenta	360	1520	-40	-1	null		(360)-(1520)	(-40)-(-1)
101	Carob	ceratonia	siliqua	fabaceae			tree	15	100		high	climax	200	600	-7	10			(200)-(600)	(-7)-(10)
323	Peruvian apple cactus	cereus	repandus	cactaceae			cactus	10	20	food	emergent	placenta	180	500	-7	16	null		(180)-(500)	(-7)-(16)
200	Chiranthodendron	chiranthodendron	pentadactylon	malvaceae			tree	28	null		emergent	placenta	null	null	null	null	null		NA	NA
438	Chrysophyllum Gorungosanum	chrysophyllum	gorungosanum	sapotaceae			tree	null	null		emergent	placenta	null	null	null	null	null		NA	NA
255	Vetiver	chrysopogon	zizanioides	poaceae			grass	2	null	biomass	emergent	placenta	200	5000	-18	10	null		(200)-(5000)	(-18)-(10)
10	Chickpea	cicer	arietinum	fabaceae			herb	0.5	1	food	medium	placenta	400	1600	-12	-1	null		(400)-(1600)	(-12)-(-1)
390	Watermelon	citrullus	lanatus	cucurbitaceae			herb	0.5	1	food	low	placenta	400	900	-12	10	null		(400)-(900)	(-12)-(10)
43	Lemon	citrus	limon	rutaceae			shrub	3	60		medium	secondary	800	3000	-12	10			(800)-(3000)	(-12)-(10)
45	Pomelo	citrus	maxima	rutaceae			tree	10					1500	1800	-1	10			(1500)-(1800)	(-1)-(10)
44	Mandarin	citrus	reticulata	rutaceae			tree	4.5	50	food	emergent	placenta	1500	2500	-7	10			(1500)-(2500)	(-7)-(10)
401	Orange	citrus	x sinensis	rutaceae			tree	null	null	food	medium	secondary	null	null	null	null	null		NA	NA
402	Tangerine	citrus	x tangerina	rutaceae			tree	null	null	food	medium	secondary	null	null	null	null	null		NA	NA
5	Coconut palm	cocos	nucifera	arecaceae	tropic	humid	palm	30	70	food	high	secondary	1100	4000	-1	16	2		(1100)-(4000)	(-1)-(16)
3	Arabian coffee	coffea	arabica	rubiaceae	tropic	humid	shrub	10	50	spice	low	secondary	1300	3000	-7	10	2		(1300)-(3000)	(-7)-(10)
47	Robusta coffee	coffea	canephora	rubiaceae			tree	8	70		low	secondary	1200	3000	-7	10			(1200)-(3000)	(-7)-(10)
293	Liberian coffee	coffea	liberica	rubiaceae			tree	null	null	spice	emergent	placenta	null	null	null	null	null		NA	NA
107	Yeheb	cordeauxia	edulis	fabaceae			tree	4	200	food	medium	secondary	100	600	-1	16	null		(100)-(600)	(-1)-(16)
305	Cordia Africana	cordia	africana	boraginaceae			tree	25	null	food	emergent	placenta	null	null	-1	16	null		NA	(-1)-(16)
131	Ecuador laurel	cordia	alliodora	boraginaceae			tree	30	null	timber	high	secondary	750	4000	-1	16			(750)-(4000)	(-1)-(16)
324	Assyrian plum	cordia	myxa	boraginaceae			tree	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
418	Coriander	coriandrum	sativum	apiaceae			herb	null	null	spice	emergent	placenta	null	null	null	null	null		NA	NA
269	Dogwood (redosier)	cornus	sericea	cornaceae			shrub	2.5	100	biomass	emergent	placenta	457	1524	-46	-12	null		(457)-(1524)	(-46)-(-12)
271	American Hazel	corylus	americana	betulaceae			tree	3	null	food	emergent	placenta	null	null	-34	-2	null		NA	(-34)-(-2)
28	Common Hazel	corylus	avellana	betulaceae			shrub	6	70	food; biomass	medium	secondary	500	1000	-35	-6	20		(500)-(1000)	(-35)-(-6)
360	Turkish Hazel	corylus	colurna	betulaceae			tree	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
215	Hawthorn	crataegus	monogyna	rosaceae			shrub	6	null		emergent	placenta	null	null	-35	-6	null		NA	(-35)-(-6)
197	Sunn hemp	crotalaria	juncea	fabaceae			herb	2	1	biomass; fodder; nitrogen; fiber	emergent	placenta	250	4000	-1	16	null		(250)-(4000)	(-1)-(16)
309	Broad-Leaved Croton	croton	macrostachyus	euphorbiaceae			tree	30	null		emergent	placenta	150	1200	-1	16	null		(150)-(1200)	(-1)-(16)
163	Gherkin	cucumis	anguria	cucurbitaceae			vine	1	1	food	medium	placenta	300	1500	-7	10			(300)-(1500)	(-7)-(10)
149	Buffalo Gourd	cucurbita	foetidissima	cucurbitaceae			herb	0.5	1	food	low	placenta	300	600	-7	10			(300)-(600)	(-7)-(10)
407	Pumpkin	cucurbita	maxima	cucurbitaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
406	Winter Squash	cucurbita	moschata	cucurbitaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
208	Zucchini	cucurbita	pepo	cucurbitaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
94	Cypress (Mediterranean)	cupressus	sempervirens	cupressaceae			tree	35	1000		emergent	climax	450	900	-18	10	null		(450)-(900)	(-18)-(10)
201	Quince	cydonia	oblonga	rosaceae			tree	8	50	food	emergent	placenta	null	null	-28	-1	null		NA	(-28)-(-1)
425	Cylicomorpha parviflora	cylicomorpha	parviflora	caricaceae			tree	35	null		emergent	placenta	null	null	null	null	null		NA	NA
169	Lemon grass	cymbopogon	citratus	poaceae			grass	1.5	4	food	emergent	secondary	800	4000	-1	16			(800)-(4000)	(-1)-(16)
99	Cardoon	cynara	cardunculus	asteraceae			herb	2	4	food; biomass	high	secondary	205	1000	-29	-1	null		(205)-(1000)	(-29)-(-1)
254	Artichoke	cynara	scolymus	asteraceae			herb	1.5	null	food; biomass	emergent	placenta	null	null	-29	-1	null		NA	(-29)-(-1)
395	Bermuda grass	cynodon	dactylon	poaceae			grass	null	5	fodder	low	placenta	null	null	null	null	null		NA	NA
298	Papyrus	cyperus	papyrus	cyperaceae			herb	null	null	fiber	emergent	placenta	null	null	null	null	null		NA	NA
372	Tagasaste	cytisus	proliferus	fabaceae			tree	null	null	fodder; nitrogen	emergent	placenta	300	3000	null	null	null		(300)-(3000)	NA
335	Broom (Common)	cytisus	scoparius	fabaceae			shrub	3	null	nitrogen	emergent	placenta	null	null	-29	-7	null		NA	(-29)-(-7)
124	Safou	dacryodes	edulis	burseraceae			tree	19	55		medium	secondary	1000	4000	4	16			(1000)-(4000)	(4)-(16)
262	North Indian Rosewood	dalbergia	sissoo	fabaceae			tree	25	null	timber; nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
209	Carrot	daucus	carota	apiaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
167	Calcutta bamboo	dendrocalamus	strictus	poaceae			bamboo	15	55	biomass	emergent	secondary	750	4000	-7	16			(750)-(4000)	(-7)-(16)
234	Tickclover	desmodium	cinereum	fabaceae			shrub	2	null	food; nitrogen	emergent	placenta	1500	4000	-7	10	null		(1500)-(4000)	(-7)-(10)
173	Persimmon	diospyros	kaki	ebenaceae			tree	12	50	food	medium	secondary	300	3000	-18	-1	36		(300)-(3000)	(-18)-(-1)
322	Black Sapote	diospyros	nigra	ebenaceae			tree	15	65	food	emergent	placenta	1000	2400	-1	16	null		(1000)-(2400)	(-1)-(16)
327	Texas Persimmon	diospyros	texana	ebenaceae			tree	null	null		emergent	placenta	null	null	null	null	null		NA	NA
321	American Persimmon	diospyros	virginiana	ebenaceae			tree	20	65	food	emergent	placenta	1000	1800	-35	-8	null		(1000)-(1800)	(-35)-(-8)
150	Baru	dipteryx	alata	fabaceae			tree	25	75	food	emergent	placenta	900	1200	-1	16			(900)-(1200)	(-1)-(16)
55	Durian	durio	zibethinus	malvaceae			tree	30	null	food	emergent	secondary	1300	3500	-1	16			(1300)-(3500)	(-1)-(16)
186	Autumn Olive	elaeagnus	umbellata	elaeagnaceae			shrub	5	40	food	emergent	placenta	450	4000	-40	-12	null		(450)-(4000)	(-40)-(-12)
135	African oil palm	elaeis	guineensis	arecaceae			palm	15	40	food	medium	secondary	1200	8000	-1	16			(1200)-(8000)	(-1)-(16)
136	American Oil Palm	elaeis	oleifera	arecaceae			tree	4	40	food	medium	secondary	1200	3500	-1	16			(1200)-(3500)	(-1)-(16)
142	Cardamom	elettaria	cardamomum	zingiberaceae			herb	2	10	food	low	secondary	1500	5800	-1	16			(1500)-(5800)	(-1)-(16)
306	Enset	ensete	ventricosum	musaceae			giantherb	6	6	food; fiber	emergent	placenta	1100	1500	-7	10	null		(1100)-(1500)	(-7)-(10)
388	Huanacaste	enterolobium	cyclocarpum	fabaceae			tree	30	300	food; biomass; fodder; nitrogen	emergent	placenta	600	3000	-1	16	null		(600)-(3000)	(-1)-(16)
440	Teff	eragrostis	tef	poaceae			grass	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
325	Loquat	eriobotrya	japonica	rosaceae			tree	8	30	food	emergent	placenta	700	1500	-12	10	null		(700)-(1500)	(-12)-(10)
417	Rocket - Arugula - Rucola	eruca	vesicaria	brassicaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
304	Erythrina Brucei	erythrina	brucei	fabaceae			tree	18	null	biomass; nitrogen	emergent	placenta	null	null	-1	16	null		NA	(-1)-(16)
8	Mountain Immortelle	erythrina	poeppigiana	fabaceae			tree	25	null	fodder; biomass	high	secondary	900	4500	-1	16			(900)-(4500)	(-1)-(16)
98	River red gum	eucalyptus	camaldulensis	myrtaceae			tree	30	300		emergent	secondary	400	2060	-12	16			(400)-(2060)	(-12)-(16)
84	Red Ironbark	eucalyptus	crebra	myrtaceae			tree	30					600	2000	null	null			(600)-(2000)	NA
314	Flooded Gum	eucalyptus	grandis	myrtaceae			tree	50	90	timber	emergent	placenta	1020	1780	-7	10	null		(1020)-(1780)	(-7)-(10)
83	Red Ironbark	eucalyptus	sideroxylon	myrtaceae			tree	30					375	625	-1	10			(375)-(625)	(-1)-(10)
313	Timor White Gum	eucalyptus	urophylla	myrtaceae			tree	30	null		emergent	placenta	null	null	null	null	null		NA	NA
328	Brazil Cherry	eugenia	uniflora	myrtaceae			shrub	6	120	food	emergent	placenta	700	2700	-1	16	null		(700)-(2700)	(-1)-(16)
382	Jussara Palm	euterpe	edulis	arecaceae			palm	30	null	food	emergent	placenta	1500	3000	-1	16	null		(1500)-(3000)	(-1)-(16)
13	Acai	euterpe	oleracea	arecaceae			palm	25	25		high	secondary	1300	3000	-1	16			(1300)-(3000)	(-1)-(16)
337	Beech (Common)	fagus	sylvatica	fagaceae			tree	null	null		emergent	placenta	500	1300	null	null	null		(500)-(1300)	NA
193	White Acacia	faidherbia	albida	fabaceae			tree	25	45	fodder; food; nitrogen	emergent	placenta	300	1100	-1	16	null		(300)-(1100)	(-1)-(16)
92	Fig	ficus	carica	moraceae			tree	7	200	food	medium	climax	350	2500	-23	7	21		(350)-(2500)	(-23)-(7)
302	Socotran Fig	ficus	vasta	moraceae			tree	25	null	food	emergent	placenta	null	null	-1	16	null		NA	(-1)-(16)
233	Flemingia	flemingia	macrophylla	fabaceae			shrub	2.4	null	nitrogen	emergent	placenta	1100	3500	1	16	null		(1100)-(3500)	(1)-(16)
249	Fennel	foeniculum	vulgare	apiaceae			herb	1.5	2	food	emergent	placenta	250	750	-40	4	null		(250)-(750)	(-40)-(4)
363	Wild strawberry	fragaria	vesca	rosaceae			herb	0.2	null	food	emergent	placenta	null	null	null	null	null		NA	NA
258	Ash (narrow-leafed)	fraxinus	angustifolia	olaeceae			tree	25	null		emergent	placenta	null	null	-29	-1	null		NA	(-29)-(-1)
342	Ash	fraxinus	excelsior	olaeceae			tree	30	null		emergent	placenta	null	null	-29	-7	null		NA	(-29)-(-7)
347	Manna Ash	fraxinus	ornus	olaeceae			tree	9	null	food	emergent	placenta	550	1000	-29	-18	null		(550)-(1000)	(-29)-(-18)
266	Green Ash	fraxinus	pennsylvanica	olaeceae			tree	20	200		emergent	placenta	380	1520	-40	-1	null		(380)-(1520)	(-40)-(-1)
320	Huckleberry	gaylussacia	baccata	ericaceae			shrub	1	null	food	emergent	placenta	null	null	-29	-1	null		NA	(-29)-(-1)
