Common.name	Species.name	High.temperatures	Unseasonal.frosts	Wind.exposure	Drought.risk	Seasonal.waterlogging	North.facing	Upland	Main.products	Livestock.fodder	Max.size.of.shadow	Leaf.emergence.time	Avoid.suckering.roots	Fast.growth	Coppice	Pollard	Nutrient.OM.accumulation	Nitrogen.fixation	Minimise.acidification	Carbon.sequestration	Native.status	Wildlife.value	Low.disease.risk	Low.pest.risk	Low.vertebrate.pest.damage	Climate.resilience
Plum	Prunus domestica ssp. domestica	1	1	0	1	0	0	0	Food products	0.67	Low	Early (Apr to Nov)	0	0.5	0	0	0	0	0	130	0.6	3	0	0	1	0.5
Bird Cherry	Prunus padus	1	1	0.5	0.33	0.67	1	0.5	Food products	0	Low	Early (Apr to Nov)	0	0.75	1	1	0	0	1	130	1	2.777777778	0.5	0.5	0.75	0
Pear	Pyrus communis	1	1	0	0.5	0	0	0	Food products	0.67	Low	Early (Apr to Nov)	1	0.25	0	0	0.5	0	NaN	130	0.6	3.222222222	0	0	0.5	0.5
Sessile Oak	Quercus petraea	1	0.5	1	0.67	0	1	1	Wood products;Biomass;Speciality products	0.67	High	Late (May to Nov)	1	0.25	1	1	1	0	0	270	1	4.333333333	0	0.5	0	0.25
Pedunculate Oak	Quercus robur	0.67	0.5	1	0.16	0.5	1	0	Wood products;Biomass;Speciality products	0.67	High	Late (May to Nov)	1	0	1	1	1	0	0	270	1	4.333333333	0	0.5	0	0.25
Red Oak	Quercus rubra	1	0.5	1	0.67	0	0	0	Wood products;Biomass	0.33	Moderate	Late (May to Nov)	1	0.75	1	0	1	0	0	109	0.2	NaN	0.5	0.75	0	1
White Willow	Salix alba	0.67	1	1	0	1	1	0	Wood products;Biomass;Speciality products	0.83	High	Early (Apr to Nov)	0	1	1	1	0.25	0	0.75	313	0.6	3	0	0	0.25	0.5
Goat Willow	Salix caprea	0.67	1	1	0.33	0.33	1	1	Biomass;Speciality products	0.83	Low	Early (Apr to Nov)	1	0.75	1	0	0	0	0.75	130	1	3.333333	0	0	0.25	0.75
Grey Willow	Salix cinerea	0.67	1	1	0	1	0	1	Biomass	0.83	Low	Early (Apr to Nov)	1	1	1	0	0	0	0.75	130	1	3.333333	0	0	0.25	0.5
Willow varieties (SRC)	Salix spp.	1	1	0.5	0	0.33	1	1	Biomass	0.83	Low	Early (Apr to Nov)	1	1	1	0	0	0	0.75	442	0.2	3	0	0	0.25	0.5
Rowan	Sorbus aucuparia	0.33	1	1	0.33	0	1	1	Food products	0.83	Low	Early (Apr to Nov)	1	0.5	1	0	0	0	1	130	1	2.555555556	0.5	0.25	0	0
Small-leaved Lime	Tilia cordata	0.67	1	0	0.33	0	1	0	Wood products	1	High	Late (May to Nov)	1	0.75	1	1	1	0	1	381	1	2.777777778	1	0.5	0	1
