initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz
	effecttrait		growth	habitus	shrub	selectInput		Growth	habitus (in AFS)	shrub to tree	Groei	habitus (in AFS)	struik naar boom	Croissance	Croissance, habitus (en ALS)	Arbuste à arbre	Wachstum	Habitus (in AFS)	Strauch bis Baum	Růstové charakteristiky	Vzrůst, habitus (v ALS)	keř až strom
	effecttrait		growth	habitus	small	selectInput		Growth	habitus (in AFS)	small tree	Groei	habitus (in AFS)	kleine boom	Croissance	Hauteur, habitus (en ALS)	petit arbre	Wachstum	Habitus (in AFS)	kleiner Baum	Růstové charakteristiky	Vzrůst, habitus (v ALS)	malý strom
	effecttrait		growth	habitus	medium	selectInput		Growth	habitus (in AFS)	medium tree	Groei	habitus (in AFS)	middelgrote boom	Croissance	Hauteur, habitus (en ALS)	arbre moyen	Wachstum	Habitus (in AFS)	mittlerer Baum	Růstové charakteristiky	Vzrůst, habitus (v ALS)	střední strom
	effecttrait		growth	habitus	large	selectInput		Growth	habitus (in AFS)	large tree	Groei	habitus (in AFS)	grote boom	Croissance	Hauteur, habitus (en ALS)	arbre mature	Wachstum	Habitus (in AFS)	großer Baum	Růstové charakteristiky	Vzrůst, habitus (v ALS)	vzrůstný strom
	effecttrait		growth	growthspeed	slow	selectInput		Growth	Growth rate on suitable habitats	slow	Groei	Groeisnelheid op geschikte habitats	langzame	Croissance	Taux de croissance dans les habitats appropriés	lent	Wachstum	Wachstumsrate in geeigneten Habitaten	langsam	Růstové charakteristiky	Rychlost růstu na vhodných stanovištích	pomalý
	effecttrait		growth	growthspeed	medium	selectInput		Growth	Growth rate on suitable habitats	medium	Groei	Groeisnelheid op geschikte habitats	middelgrote	Croissance	Taux de croissance dans les habitats appropriés	moyen	Wachstum	Wachstumsrate in geeigneten Habitaten	mittel	Růstové charakteristiky	Rychlost růstu na vhodných stanovištích	střední
	effecttrait		growth	growthspeed	fast	selectInput		Growth	Growth rate on suitable habitats	fast	Groei	Groeisnelheid op geschikte habitats	snel	Croissance	Taux de croissance dans les habitats appropriés	rapide	Wachstum	Wachstumsrate in geeigneten Lebensräumen	schnell	Růstové charakteristiky	Rychlost růstu na vhodných stanovištích	rychlý
	effecttrait		growth	growthspeed	veryfast	selectInput		Growth	Growth rate on suitable habitats	very fast (SRC)	Groei	Groeisnelheid op geschikte habitats	zeer snel (SRC)	Croissance	Taux de croissance dans les habitats appropriés	très rapide (RRD)	Wachstum	Wachstumsrate an geeigneten Standorten	sehr schnell (SRC)	Růstové charakteristiky	Rychlost růstu na vhodných stanovištích	velmi rychlý (RRD)
	effecttrait		climate	earlinessleafing	early	selectInput		Climate	Earliness of leaf emergence III-V	early	Klimaat	Vroegheid bladopkomst III-V	vroeg	Climat	Apparition précoce des feuilles III-V	précoce	Klima	Frühzeitigkeit des Blattaustriebs III-V	früh	Klimatické	Ranost rašení listů III-V	ranější
	effecttrait		climate	earlinessleafing	medium	selectInput		Climate	Earliness of leaf emergence III-V	medium	Klimaat	Vroegtijdige bladopkomst III-V	gemiddeld	Climat	Apparition précoce des feuilles III-V	moyen	Klima	Frühzeitigkeit des Blattaustriebs III-V	mittel	Klimatické	Ranost rašení listů III-V	střední
	effecttrait		climate	earlinessleafing	late	selectInput		Climate	Earliness of leaf emergence III-V	late	Klimaat	Vroegheid van bladopkomst III-V	laat	Climat	Apparition précoce des feuilles III-V	plus tard	Klima	Frühzeitigkeit des Blattaustriebs III-V	spät	Klimatické	Ranost rašení listů III-V	pozdější
	effecttrait		climate	earlinessleafing	conifer	selectInput		Climate	Earliness of leaf emergence III-V	Conifer	Klimaat	Vroegheid bladopkomst III-V	Conifeer	Climat	Précocité de l'apparition des feuilles III-V	conifère	Klima	Frühzeitigkeit des Blattaustriebs III-V	Konifere	Klimatické	Ranost rašení listů III-V	jehličnan
	effecttrait		climate	floweringdate	0	sliderInput		Climate	flowering month	0	Klimaat	bloeimaand	0	Climat	date de floraison	0	Klima	Blühmonat	0	Klimatické	termín kvetení	0
	effecttrait		climate	floweringdate	12	sliderInput		Climate	flowering month	12	Klimaat	bloeimaand	12	Climat	date de floraison	12	Klima	Blühmonat	12	Klimatické	termín kvetení	12
	#responsetrait		climate	climateclass	climateclass	numericInput		Climate	Climate region	Climate region	Klimaat	Klimaat	Klimaatgebied	Climat	région climatique (BPEJ)	Région climatique (BPEJ)	Klima	Klimaregion	Klimaregion	Klimatické	klimatický region (BPEJ)	klimatický region (BPEJ)
	responsetrait		climate	altitude	altitude	numericInput		Climate	Altitude	Altitude	Klimaat	Hoogte	Hoogte	Climat	Altitude	Altitude	Klima	Höhenlage	Höhenlage	Klimatické	Rozpětí nadm. výšek	Rozpětí nadm. výšek
	responsetrait		soil	soil_fertility	soil_fertility_acidic	selectInput		Soil	Soil requirements-fertility	acidic	Bodem	Bodemvereisten - vruchtbaarheid	zuur	Sol	Exigences du sol - fertilité	Acide	Boden	Bodenansprüche-Fertilität	sauer	Půdní	Půdní nároky-úrodnost	kyselé
	responsetrait		soil	soil_fertility	soil_fertility_soil_normal	selectInput		Soil	Soil requirements-fertility	normal	Bodem	Bodemvereisten-vruchtbaarheid	normaal	Sol	Besoins du sol - fertilité	normal	Boden	Bodenanforderungen-Fertilität	normal	Půdní	Půdní nároky-úrodnost	normální
	responsetrait		soil	soil_fertility	soil_fertility_rich	selectInput		Soil	Soil requirements-fertility	rich	Bodem	Bodemvereisten-vruchtbaarheid	rijk	Sol	Fertilité du sol	riche	Boden	Anforderungen an den Boden - Fruchtbarkeit	reich	Půdní	Půdní nároky-úrodnost	bohaté
	responsetrait		soil	soil_fertility	soil_fertility_other	selectInput		Soil	Soil requirements-fertility	other	Bodem	Bodemvereisten-vruchtbaarheid	overig	Sol	Exigences du sol - fertilité	autre	Boden	Bodenbedarf-Fertilität	andere	Půdní	Půdní nároky-úrodnost	jiné
	responsetrait		climate	light	light_demanding	selectInput		Climate	Light requirements	demanding (light-loving)	Klimaat	Lichte eisen	veeleisend (lichtminnend)	Climat	Besoins en lumière	"difficile (aimant la lumière)"	Klima	Anforderungen an das Licht	anspruchsvoll (lichtliebend)	Klimatické	Nároky na světlo	"náročný (světlomilné)"
	responsetrait		climate	light	light_normal	selectInput		Climate	Light requirements	normal	Klimaat	Lichtvereisten	normaal	Climat	Besoins en lumière	normal	Klima	Anforderungen an das Licht	normal	Klimatické	Nároky na světlo	normální
	responsetrait		climate	light	light_undemanding	selectInput		Climate	Light requirements	Undemanding (shade tolerant)	Klimaat	Lichtvereisten	Niet veeleisend (schaduwtolerant)	Climat	Besoins en lumière	Peu exigeant (tolérant à l'ombre)	Klima	Anforderungen an das Licht	Anspruchslos (schattentolerant)	Klimatické	Nároky na světlo	Nenáročný (stín snášející)
	responsetrait		soil	soil_water	soil_water_waterlogged	selectInput		Soil	Soil requirements-water regime	waterlogged	Bodem	Bodemvereisten-waterhuishouding	waterrijk	Sol	Besoins en sol - Régime hydrique	gorgé d'eau	Boden	Bodenbedarf-Wasserhaushalt	wasserhaltig	Půdní	Půdní nároky-vodní režim	podmáčené
	responsetrait		soil	soil_water	soil_water_normal	selectInput		Soil	Soil requirements-water regime	normal	Grond	Bodem eisen-waterhuishouding	normaal	Sol	Besoins en sol - Régime hydrique	normal	Boden	Anforderungen an den Boden-Wasserhaushalt	normal	Půdní	Půdní nároky-vodní režim	normální
	responsetrait		soil	soil_water	soil_water_arid	selectInput		Soil	Soil requirements-water regime	arid	Bodem	Bodemvereisten-waterhuishouding	droog	Sol	Besoins en eau du sol - régime hydrique	aride	Boden	Bodenansprüche-Wasserhaushalt	trocken	Půdní	Půdní nároky-vodní režim	vysýchavé
	effecttrait		food	food	under_reconstruction	checkboxInput		Food use	Food use - under_reconstruction	under_reconstruction	Voedselgebruik	Voedselgebruik	under_reconstruction	Aliments	Utilisation alimentaire	under_reconstruction	Verwendung von Nahrungsmitteln	Verwendung von Nahrungsmitteln	under_reconstruction	Využití potravinové - v rekonstrukci	Využití potravinové - v rekonstrukci	under_reconstruction
	effecttrait		wood	wood	under_reconstruction	checkboxInput		Wood use	Wood use - under_reconstruction	under_reconstruction	Houtgebruik	Houtgebruik	under_reconstruction	Bois	Utilisation du bois	under_reconstruction	Holznutzung	Holznutzung	under_reconstruction	Využití dřeva - v rekonstrukci	Využití dřeva - v rekonstrukci	under_reconstruction
	#effecttrait		wood	wood	art objects	checkboxGroupInput		Wood use	Wood use	art objects	Houtgebruik	Houtgebruik	kunstobjecten	Bois	Utilisation du bois	Objets d'art	Holznutzung	Holznutzung	Kunstobjekte	Využití dřeva	Využití dřeva	umělecké předměty
	#effecttrait		wood	wood	carving	checkboxGroupInput		Wood use	Wood use	carving	Houtgebruik	Houtgebruik	snijwerk	Bois	Utilisation du bois	Sculpture	Holznutzung	Holznutzung	Schnitzerei	Využití dřeva	Využití dřeva	řezbářství
	#effecttrait		wood	wood	cellulose	checkboxGroupInput		Wood use	Wood use	cellulose	Houtgebruik	Houtgebruik	cellulose	Bois	Utilisation du bois	cellulose	Holznutzung	Holznutzung	Zellulose	Využití dřeva	Využití dřeva	celulóza
	#effecttrait		wood	wood	construction	checkboxGroupInput		Wood use	Wood use	construction	Houtgebruik	Houtgebruik	bouw	Bois	Utilisation du bois	construction	Holznutzung	Holznutzung	Konstruktion	Využití dřeva	Využití dřeva	stavební
	#effecttrait		wood	wood	decking	checkboxGroupInput		Wood use	Wood use	decking	Houtgebruik	Houtgebruik	terrasbouw	Bois	Utilisation du bois	platelage	Holznutzung	Holznutzung	Belag	Využití dřeva	Využití dřeva	palubky
	#effecttrait		wood	wood	decoration	checkboxGroupInput		Wood use	Wood use	decoration	Houtgebruik	Houtgebruik	decoratie	Bois	Utilisation du bois	décoration	Holznutzung	Holznutzung	Dekoration	Využití dřeva	Využití dřeva	dekorace
	#effecttrait		wood	wood	decorative	checkboxGroupInput		Wood use	Wood use	decorative	Houtgebruik	Houtgebruik	decoratief	Bois	Utilisation du bois	décoration	Holznutzung	Holznutzung	dekorativ	Využití dřeva	Využití dřeva	dekorativní
	#effecttrait		wood	wood	decorative furniture	checkboxGroupInput		Wood use	Wood use	decorative furniture	Houtgebruik	Houtgebruik	decoratieve meubelen	Bois	Utilisation du bois	meubles décoratifs	Holznutzung	Holznutzung	dekorative möbel	Využití dřeva	Využití dřeva	dekorativní nábytek
	#effecttrait		wood	wood	decorative furniture and objects	checkboxGroupInput		Wood use	Wood use	decorative furniture and objects	Houtgebruik	Houtgebruik	decoratieve meubels en voorwerpen	Bois	Utilisation du bois	meubles et objets décoratifs	Holznutzung	Holznutzung	dekorative möbel und gegenstände	Využití dřeva	Využití dřeva	dekorativní nábytek a předměty
	#effecttrait		wood	wood	decorative jewellery	checkboxGroupInput		Wood use	Wood use	decorative jewellery	Houtgebruik	Houtgebruik	decoratieve sieraden	Bois	Utilisation du bois	bijoux décoratifs	Holznutzung	Holznutzung	dekorativer schmuck	Využití dřeva	Využití dřeva	dekorativní šperky
	#effecttrait		wood	wood	decorative objects	checkboxGroupInput		Wood use	Wood use	decorative objects	Houtgebruik	Houtgebruik	decoratieve voorwerpen	Bois	Utilisation du bois	objets décoratifs	Holznutzung	Holznutzung	Dekorationsgegenstände	Využití dřeva	Využití dřeva	dekorativní předměty
	#effecttrait		wood	wood	firewood	checkboxGroupInput		Wood use	Wood use	firewood	Houtgebruik	Houtgebruik	brandhout	Bois	Utilisation du bois	combustible	Holznutzung	Holznutzung	Brennholz	Využití dřeva	Využití dřeva	palivové
	#effecttrait		wood	wood	fuel	checkboxGroupInput		Wood use	Wood use	fuel	Houtgebruik	Houtgebruik	brandstof	Bois	Utilisation du bois	combustible	Holznutzung	Holznutzung	Brennstoff	Využití dřeva	Využití dřeva	palivo
	#effecttrait		wood	wood	furniture	checkboxGroupInput		Wood use	Wood use	furniture	Houtgebruik	Houtgebruik	meubels	Bois	Utilisation du bois	meubles	Holznutzung	Holznutzung	Möbel	Využití dřeva	Využití dřeva	nábytek
	#effecttrait		wood	wood	furniture wood	checkboxGroupInput		Wood use	Wood use	furniture wood	Houtgebruik	Houtgebruik	meubelhout	Bois	Utilisation du bois	meubles en bois	Holznutzung	Holznutzung	Möbelholz	Využití dřeva	Využití dřeva	nábytkářské dřevo
	#effecttrait		wood	wood	hockey	checkboxGroupInput		Wood use	Wood use	hockey	Houtgebruik	Houtgebruik	hockey	Bois	Utilisation du bois	hockey sur gazon	Holznutzung	Holznutzung	Eishockey	Využití dřeva	Využití dřeva	pozemní hokej
	#effecttrait		wood	wood	hokey	checkboxGroupInput		Wood use	Wood use	hokey	Houtgebruik	Houtgebruik	hokey	Bois	Utilisation du bois	hockey	Holznutzung	Holznutzung	Hokey	Využití dřeva	Využití dřeva	hokej
	#effecttrait		wood	wood	lightweight solid and plywood	checkboxGroupInput		Wood use	Wood use	lightweight solid and plywood	Houtgebruik	Houtgebruik	lichtgewicht massief en multiplex	Bois	Utilisation du bois	bois massif léger et contreplaqué	Holznutzung	Holznutzung	leichtes Massiv- und Sperrholz	Využití dřeva	Využití dřeva	lehký masiv i překližka
	#effecttrait		wood	wood	maple	checkboxGroupInput		Wood use	Wood use	maple	Houtgebruik	Houtgebruik	esdoorn	Bois	Utilisation du bois	Erable à œillets	Holznutzung	Holznutzung	Ahorn	Využití dřeva	Využití dřeva	očkový javor
	#effecttrait		wood	wood	matches	checkboxGroupInput		Wood use	Wood use	matches	Houtgebruik	Houtgebruik	lucifers	Bois	Utilisation du bois	allumettes	Holznutzung	Holznutzung	Streichhölzer	Využití dřeva	Využití dřeva	zápalky
	#effecttrait		wood	wood	musical instruments	checkboxGroupInput		Wood use	Wood use	musical instruments	Houtgebruik	Houtgebruik	muziekinstrumenten	Bois	Utilisation du bois	instruments de musique	Holznutzung	Holznutzung	Musikinstrumente	Využití dřeva	Využití dřeva	hudební nástroje
	#effecttrait		wood	wood	pencils	checkboxGroupInput		Wood use	Wood use	pencils	Houtgebruik	Houtgebruik	potloden	Bois	Utilisation du bois	crayons	Holznutzung	Holznutzung	Bleistifte	Využití dřeva	Využití dřeva	tužky
	#effecttrait		wood	wood	pine resin	checkboxGroupInput		Wood use	Wood use	pine resin	Houtgebruik	Houtgebruik	dennenhars	Bois	Utilisation du bois	résine de pin	Holznutzung	Holznutzung	Kiefernharz	Využití dřeva	Využití dřeva	borová pryskyřice
	#effecttrait		wood	wood	smoking fuel	checkboxGroupInput		Wood use	Wood use	smoking fuel	Houtgebruik	Houtgebruik	brandstof voor roken	Bois	Utilisation du bois	combustible pour fumeurs	Holznutzung	Holznutzung	Räucherstoff	Využití dřeva	Využití dřeva	palivo na uzení
	#effecttrait		wood	wood	solid wood	checkboxGroupInput		Wood use	Wood use	solid wood	Houtgebruik	Houtgebruik	massief hout	Bois	Utilisation du bois	bois massif	Holznutzung	Holznutzung	Massivholz	Využití dřeva	Využití dřeva	masív
	#effecttrait		wood	wood	sports equipment	checkboxGroupInput		Wood use	Wood use	sports equipment	Houtgebruik	Houtgebruik	sportuitrusting	Bois	Utilisation du bois	équipement de sport	Holznutzung	Holznutzung	Sportgeräte	Využití dřeva	Využití dřeva	sportovní náčiní
	#effecttrait		wood	wood	tiles	checkboxGroupInput		Wood use	Wood use	tiles	Houtgebruik	Houtgebruik	tegels	Bois	Utilisation du bois	tuiles	Holznutzung	Holznutzung	Fliesen	Využití dřeva	Využití dřeva	obklady
	#effecttrait		wood	wood	turning	checkboxGroupInput		Wood use	Wood use	turning	Houtgebruik	Houtgebruik	draaien	Bois	Utilisation du bois	tournage	Holznutzung	Holznutzung	Drehen	Využití dřeva	Využití dřeva	soustružení
	#effecttrait		wood	wood	versatile applications	checkboxGroupInput		Wood use	Wood use	versatile applications	Houtgebruik	Houtgebruik	veelzijdige toepassingen	Bois	Utilisation du bois	applications polyvalentes	Holznutzung	Holznutzung	vielseitige Anwendungen	Využití dřeva	Využití dřeva	všestranné uplatnění
	#effecttrait		wood	wood	wide use	checkboxGroupInput		Wood use	Wood use	wide use	Houtgebruik	Houtgebruik	breed gebruik	Bois	Utilisation du bois	large gamme d'applications	Holznutzung	Holznutzung	breite Anwendung	Využití dřeva	Využití dřeva	široké využití
	#effecttrait		wood	wood	woodcarving	checkboxGroupInput		Wood use	Wood use	woodcarving	Houtgebruik	Houtgebruik	houtsnijwerk	Bois	Utilisation du bois	sculpture	Holznutzung	Holznutzung	Holzschnitzerei	Využití dřeva	Využití dřeva	řezbářství
	#effecttrait		food	food	bark salicyl	checkboxGroupInput		Food use, etc.	Food use, etc.	bark salicyl	Voedselgebruik, enz.	Voedselgebruik, enz.	schors-salicyl	Aliments	Utilisation alimentaire	écorce de salicyl	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Rindensalicyl	Využití potravinové, a další	Využití potravinové, a další	kůra salicyl
	#effecttrait		food	food	bark-wine	checkboxGroupInput		Food use, etc.	Food use, etc.	bark-wine	Voedselgebruik, enz.	Voedselgebruik, enz.	schors-wijn	Aliments	Utilisation alimentaire	écorce-vin	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Rinde-Wein	Využití potravinové, a další	Využití potravinové, a další	kůra-víno
	#effecttrait		food	food	Beeches - feeding	checkboxGroupInput		Food use, etc.	Food use, etc.	Beeches - feeding	Voedselgebruik, enz.	Voedselgebruik, enz.	Beuken - voeding	Aliments	Utilisation alimentaire	Hêtres - fourrage	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Buche - Fütterung	Využití potravinové, a další	Využití potravinové, a další	bukvice - krmení
	#effecttrait		food	food	beekeeping	checkboxGroupInput		Food use, etc.	Food use, etc.	beekeeping	Voedselgebruik, enz.	Voedselgebruik, enz.	bijenteelt	Aliments	Utilisation alimentaire	apiculture	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Bienenzucht	Využití potravinové, a další	Využití potravinové, a další	včelařství
	#effecttrait		food	food	beer	checkboxGroupInput		Food use, etc.	Food use, etc.	beer	Voedselgebruik, enz.	Voedselgebruik, enz.	bier	Aliments	Utilisation alimentaire	bière	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Bier	Využití potravinové, a další	Využití potravinové, a další	břekové pivo
	#effecttrait		food	food	birds	checkboxGroupInput		Food use, etc.	Food use, etc.	birds	Voedselgebruik, enz.	Voedselgebruik, enz.	vogels	Aliments	Utilisation alimentaire	oiseaux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Vögel	Využití potravinové, a další	Využití potravinové, a další	ptáci
	#effecttrait		food	food	brandy	checkboxGroupInput		Food use, etc.	Food use, etc.	brandy	Voedselgebruik, enz.	Voedselgebruik, enz.	brandewijn	Aliments	Utilisation alimentaire	eau de vie	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Branntwein	Využití potravinové, a další	Využití potravinové, a další	pálenka
	#effecttrait		food	food	buds in gemotherapy	checkboxGroupInput		Food use, etc.	Food use, etc.	buds in gemotherapy	Voedselgebruik, enz.	Voedselgebruik, enz.	knoppen in gemotherapie	Aliments	Utilisation alimentaire	bourgeons en gemmothérapie	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Knospen in der Gemotherapie	Využití potravinové, a další	Využití potravinové, a další	pupeny v gemoterapii
	#effecttrait		food	food	calvados	checkboxGroupInput		Food use, etc.	Food use, etc.	calvados	Voedselgebruik, enz.	Voedselgebruik, enz.	calvados	Aliments	Utilisation alimentaire	calvados	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Calvados	Využití potravinové, a další	Využití potravinové, a další	kalvados
	#effecttrait		food	food	cider	checkboxGroupInput		Food use, etc.	Food use, etc.	cider	Voedselgebruik, enz.	Voedselgebruik, enz.	cider	Aliments	Utilisation alimentaire	cidre	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Apfelwein	Využití potravinové, a další	Využití potravinové, a další	mošt
	#effecttrait		food	food	cruciferous vegetables	checkboxGroupInput		Food use, etc.	Food use, etc.	cruciferous vegetables	Voedselgebruik, enz.	Voedselgebruik, enz.	kruisbloemige groenten	Aliments	Utilisation alimentaire	crucifères	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	kreuzblütiges Gemüse	Využití potravinové, a další	Využití potravinové, a další	křížaly
	#effecttrait		food	food	Difficult to peel nuts	checkboxGroupInput		Food use, etc.	Food use, etc.	Difficult to peel nuts	Voedselgebruik, enz.	Voedselgebruik, enz.	Moeilijk te pellen noten	Aliments	Utilisation alimentaire	fruits à coque difficiles à éplucher	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Schwierig zu schälende Nüsse	Využití potravinové, a další	Využití potravinové, a další	obtížně loupatelné ořechy
	#effecttrait		food	food	dried fruits-jewellery making	checkboxGroupInput		Food use, etc.	Food use, etc.	dried fruits-jewellery making	Voedselgebruik, enz.	Voedselgebruik, enz.	gedroogde vruchten - sieraden maken	Aliments	Utilisation alimentaire	fruits secs - fabrication de bijoux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Trockenfrüchte - Schmuckherstellung	Využití potravinové, a další	Využití potravinové, a další	sušené plody-výroba šperků
	#effecttrait		food	food	dried ground into flour for bread	checkboxGroupInput		Food use, etc.	Food use, etc.	dried ground into flour for bread	Voedselgebruik, enz.	Voedselgebruik, enz.	gedroogd gemalen tot meel voor brood	Aliments	Utilisation alimentaire	les fruits secs sont moulus en farine pour le pain	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	getrocknete Früchte, gemahlen zu Mehl für Brot	Využití potravinové, a další	Využití potravinové, a další	sušené se melou na mouku na chleba
	#effecttrait		food	food	drying	checkboxGroupInput		Food use, etc.	Food use, etc.	drying	Voedselgebruik, enz.	Voedselgebruik, enz.	drogen	Aliments	Utilisation alimentaire	séchage	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Trocknen	Využití potravinové, a další	Využití potravinové, a další	sušení
	#effecttrait		food	food	drying of fruits	checkboxGroupInput		Food use, etc.	Food use, etc.	drying of fruits	Voedselgebruik, enz.	Voedselgebruik, enz.	drogen van fruit	Aliments	Utilisation alimentaire	séchage des fruits	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Trocknung von Früchten	Využití potravinové, a další	Využití potravinové, a další	sušení plodů
	#effecttrait		food	food	edible bitter fruits	checkboxGroupInput		Food use, etc.	Food use, etc.	edible bitter fruits	Voedselgebruik, enz.	Voedselgebruik, enz.	eetbare bittere vruchten	Aliments	Utilisation alimentaire	fruits amers comestibles	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	eßbare bittere Früchte	Využití potravinové, a další	Využití potravinové, a další	jedlé hořké plody
