initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_nl	BigCriteria_en	BigCriteria_fr	BigCriteria_de	BigCriteria_cz	criteria_nl	criteria_en	criteria_fr	criteria_de	criteria_cz	choice_nl	choice_en	choice_fr	choice_de	choice_cz
	effecttrait		UsedOrgan	Toepassingen	haag	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	haag	hedge	haie	Hecke	živý plot
	effecttrait		UsedOrgan	Toepassingen	hoogwaardig hout	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	hoogwaardig hout	high-grade wood	bois de qualité supérieure	Hochwertiges Holz	vysoce kvalitní dřevo
	effecttrait		UsedOrgan	Toepassingen	kleinfruit	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	kleinfruit	berry	petits fruits	kleine Früchte	drobné ovoce
	effecttrait		UsedOrgan	Toepassingen	bloemen	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	bloemen	flowers	fleurs	Blumen	květy
	effecttrait		UsedOrgan	Toepassingen	noten	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	noten	nuts	noix	Nüsse	ořechy
	effecttrait		UsedOrgan	Toepassingen	pepers	checkboxGroupInput		Gebruikt orgaan	Organ used	Organe utilisé	Verwendetes Organ	Použitý orgán	Toepassingen	Applications	Applications	Anwendungen	Použití	pepers	peppers	poivrons	Paprika	papriky
	responsetrait		capacities	capacities	MITS1	checkboxGroupInput		capaciteiten	Capacities	Capacités	Kapazitäten	kapacity	capaciteiten	I have the capacity to correct…	J'ai la capacité de corriger…	Kapazitäten	kapacity	MITS 1: Droogtestress	Drought stress	Stress dû à la sécheresse	MITS 1: Trockenheitsstress	MITS 1: Stres suchem
	responsetrait		capacities	capacities	MITS2	checkboxGroupInput		capaciteiten	Capacities	Capacités	Kapazitäten	kapacity	capaciteiten	I have the capacity to correct…	J'ai la capacité de corriger…	Kapazitäten	kapacity	MITS 2: Vochtgevoelig	Moisture stress	Stress anoxique	MITS 2: Feuchtigkeitsstress	MITS 2: stres z nedostatku vláhy
	responsetrait		capacities	capacities	MITS3	checkboxGroupInput		capaciteiten	Capacities	Capacités	Kapazitäten	kapacity	capaciteiten	I have the capacity to correct…	J'ai la capacité de corriger…	Kapazitäten	kapacity	MITS 3: Bodemkwaliteit	Bad soil quality	mauvaise qualité du sol	MITS 3: Bodenqualität	MITS 3: Kvalita půdy
	responsetrait		capacities	capacities	MITS4	checkboxGroupInput		capaciteiten	Capacities	Capacités	Kapazitäten	kapacity	capaciteiten	I have the capacity to correct…	J'ai la capacité de corriger…	Kapazitäten	kapacity	MITS 4: Luchtige bodem	Compacted soil	Sol compacté	MITS 4: Luftiger Boden	MITS 4: vzdušná půda
	responsetrait		capacities	capacities	MITS5	checkboxGroupInput		capaciteiten	Capacities	Capacités	Kapazitäten	kapacity	capaciteiten	I have the capacity to correct…	J'ai la capacité de corriger…	Kapazitäten	kapacity	MITS 5: Invasiviteit	Invasiveness	Caractère envahissant	MITS 5: Invasivität	MITS 5: Invazivita
	responsetrait		capacities	capacities	MITS6	checkboxGroupInput		capaciteiten	Capacities	Capacités	Kapazitäten	kapacity	capaciteiten	I have the capacity to correct…	J'ai la capacité de corriger…	Kapazitäten	kapacity	MITS 6: Intensieve verzorging	Intensive care needs	Forts besoins de soins	MITS 6: Intensive Pflege	MITS 6: intenzivní péče
	responsetrait		capacities	capacities	MITS7	checkboxGroupInput		capaciteiten	Capacities	Capacités	Kapazitäten	kapacity	capaciteiten	I have the capacity to correct…	J'ai la capacité de corriger…	Kapazitäten	kapacity	MITS 7: Praktijkervaring op veen	Constraints of cultivation on peat	Contraintes spécifiques de la culture sur la tourbe	MITS 7: Praktische Erfahrungen mit Torf	MITS 7: Praktické zkušenosti s rašelinou
