initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz
3	responsetrait	1	soil	texture	Sandy.loam	selectInput	NA	Soil	Texture	Sandy.loam	Bodem	Bodemtextuur	Zandige.leem	Sol	Texture	Sablo-limoneux	Boden	Beschaffenheit	Sandiger.Lehm	Půda	Textura	Písčitá.hlína
4	responsetrait	1	soil	texture	Loamy.sand	selectInput	NA	Soil	Texture	Loamy.sand	Bodem	Bodemtextuur	Leemhoudend.zand	Sol	Texture	Limono-sableux	Boden	Textur	Lehmiger.Sand	Půda	Textura	Hlinitý písek
5	responsetrait	1	soil	texture	Sand	selectInput	NA	Soil	Texture	Sand	Bodem	Bodemtextuur	Zand	Sol	Texture	Sableux	Boden	Textur	Sand	Půda	Textura	Písek
6	responsetrait	2	soil	wateravailability	Wet	selectInput	NA	Soil	Humidity	Wet	Bodem	Bodemvochtigheid	Nat	Sol	Humidité du sol	Humide	Boden	Luftfeuchtigkeit	Nass	Půda	Vlhkost	Mokrý
7	responsetrait	2	soil	wateravailability	Moist	selectInput	NA	Soil	Humidity	Moist	Bodem	Bodemvochtigheid	Vochtig	Sol	Humidité du sol	Frais	Boden	Luftfeuchtigkeit	feucht	Půda	Vlhkost	Vlhký
8	responsetrait	2	soil	wateravailability	Dry	selectInput	NA	Soil	Humidity	Dry	Bodem	Bodemvochtigheid	Droog	Sol	Humidité du sol	Sec	Boden	Luftfeuchtigkeit	Trocken	Půda	Vlhkost	Suchý
9	responsetrait	3	soil	pH	Acidic.(pH.<.5)	selectInput	NA	Soil	pH	Acidic.(pH.<.5)	Bodem	Bodem-pH	Zuur.(pH.<.5)	Sol	pH	Acide (pH<5)	Boden	pH-Wert	Sauer.(pH.<.5)	Půda	pH	Kyselý (pH.<.5)
10	responsetrait	3	soil	pH	Neutral.(.5,5.<.pH.<.7,5)	selectInput	NA	Soil	pH	Neutral.(.5,5.<.pH.<.7,5)	Bodem	Bodem-pH	Neutraal.(.5,5.<.pH.<.7,5)	Sol	pH	Neutre (pH entre 5.5 et 7.5)	Boden	pH-Wert	Neutral (.5,5.<.pH.<.7,5)	Půda	pH	Neutrální.(.5,5.<.pH.<.7,5)
11	responsetrait	3	soil	pH	Calcerous.(pH.>.7,5)	selectInput	NA	Soil	pH	Calcerous.(pH.>.7,5)	Bodem	Bodem-pH	Kalkhoudend.(pH.>.7,5)	Sol	pH	Basique (pH>7.5)	Boden	pH-Wert	kalkhaltig.(pH.>.7,5)	Půda	pH	Vápenaté (pH.>.7,5)
16	responsetrait	4	soil	compaction	Tolerates.pavement.in.cities	checkboxInput	NA	Soil	compaction	Compacted	Bodem	Bodemverdichting	Verdicht	Sol	Compaction	tolère un sol goudronné	Boden	Verdichtung	Verdichtet	Půda	zhutnění	Zhutněný
34	responsetrait	5	climate	drought	Drought	checkboxInput	NA	Climate	Drought	Drought	Klimaat	Droogte	Droogte	Climat	Sécheresse	Sécheresse	Klima	Trockenheit	Trockenheit	Klima	Sucho	Suché
36	responsetrait	6	climate	floods	Floods	checkboxInput	NA	Climate	Floods	Floods	Klimaat	Overstromingen	Overstromingen	Climat	Innondations	Innondations	Klima	Überschwemmungen	Überschwemmungen	Klima	Záplavy	Povodně
27	responsetrait	7	climate	lightrequirement	Low	selectInput	NA	Climate	Level of sunshine	Low	Klimaat	Lichtbehoefte	Laag	Climat	Ensoleillement	Faible	Klima	Sonnenscheindauer	Niedrig	Klima	Úroveň slunečního svitu	Nízké
28	responsetrait	7	climate	lightrequirement	Neutral	selectInput	NA	Climate	Level of sunshine	Neutral	Klimaat	Lichtbehoefte	Neutraal	Climat	Ensoleillement	Moyen	Klima	Sonnenscheindauer	Neutral	Klima	Úroveň slunečního svitu	Neutrální
29	responsetrait	7	climate	lightrequirement	High	selectInput	NA	Climate	Level of sunshine	High	Klimaat	Lichtbehoefte	Hoog	Climat	Ensoleillement	Fort	Klima	Sonnenscheindauer	Hoch	Klima	Úroveň slunečního svitu	Vysoká
31	responsetrait	8	climate	Strong.wind	Strong.wind	checkboxInput	NA	Climate	Strong wind	Strong.wind	Klimaat	Sterke wind	Sterke.wind	Climat	Vent fort	Vent fort	Klima	Starker Wind	Starker.Wind	Klima	Silný vítr	Silný.vítr
32	responsetrait	9	climate	Salty.sea.breeze	Salty.sea.breeze	checkboxInput	NA	Climate	Salty sea breeze	Salty.sea.breeze	Klimaat	Zilte zeebries	Zilte.zeewind	Climat	Brise salée	Brise salée	Klima	Salzige Meeresbrise	Salzige.Meeresbrise	Klima	Slaný mořský vánek	Slaný.mořský.vánek
33	responsetrait	10	climate	Wind.resistance	Wind.resistance	checkboxInput	NA	Climate	Wind resistance	Wind.resistance	Klimaat	Weerstand tegen wind	Wind.weerstand	Climat	Vent	Vent	Klima	Windwiderstand	Wind.widerstand	Klima	Odpor větru	Odpor větru
35	responsetrait	11	climate	Heat	Heat	checkboxInput	NA	Climate	Heat	Heat	Klimaat	Hitte	Hitte	Climat	Chaleur	Chaleur	Klima	Hitze	Hitze	Klima	Teplo	Teplo
37	responsetrait	12	climate	Early.Autumn.frost	Early.Autumn.frost	checkboxInput	NA	Climate	Early Autumn frost	Early.Autumn.frost	Klimaat	Vroege najaarsvorst	Vroege.najaars.vorst	Climat	Gelées automnales	Gelées automnales	Klima	Frühherbstlicher Frost	Frühherbstlicher.Frost	Klima	Časný podzimní mráz	Časný.podzimní.mráz
38	responsetrait	13	climate	Extreme.freezing.in.winter.(<.-.15°C)	Extreme.freezing.in.winter.(<.-.15°C)	checkboxInput	NA	Climate	Extreme freezing in winter (<-15°C)	Extreme.freezing.in.winter.(<.-.15°C)	Klimaat	Extreme vorst in de winter (<15°C)	Extreme.vorst.in.de.winter.(<.-.15C)	Climat	Froid extrême	Froid extrême	Klima	Extreme Fröste im Winter (<-15°C)	Extremer.Gefrierpunkt.im.Winter.(<.-.15°C)	Klima	Extrémní mrazy v zimě (<-15 °C)	Extrémní.mrazy.v.zimě.(<.-.15°C)
39	responsetrait	14	climate	Late.Spring.frost	Late.Spring.frost	checkboxInput	NA	Climate	Late Spring frost	Late.Spring.frost	Klimaat	Late voorjaarsvorst	Late.voorjaars.vorst	Climat	Gelées printanières	Gelées printanières	Klima	Spätfrost im Frühjahr	Später.Frühlingsfrost	Klima	Pozdní jarní mráz	Pozdní.jarní.mráz
45	responsetrait	15	bioticenvironment	bioticenvironment1	Resistance.to.damage.from.wild.animals	checkboxInput	NA	Biotic environment	Grazers	Wild grazers	Biotisch milieu	Resistentie.tegen.Wildschade	Environnement biotique	Environnement biotique	Gibier	Gibier	Biotische Umwelt	Weidegänger	Wilde Weidetiere	Biotické prostředí	Pastevci	Volně žijící pastevci
59	responsetrait	16	bioticenvironment	bioticenvironment2	No.large.disease.risks	checkboxInput	NA	Biotic environment	Diseases	Diseases	Biotisch milieu	Ziekten	Ziekten	Environnement biotique	Maladies	Maladies	Biotische Umwelt	Krankheiten	Krankheiten	Biotické prostředí	Nemoci	Nemoci
