ID	Name	Lateinischer.Name	Kategorie	Verwendung	Ökologie	Mykorrhiza	Bemerkung	Empfohlene.Sorte	Befruchtung.(bspw..mehrere.Sorten)	Pflanzabstand.und.Position.in.der.Hecke	Bemerkungen	Height	Width	Comments	Blütezeit	Erntezeit	Boden	soil.wetness_dry	soil.wetness_well-drained	soil.wetness_fresh	soil.wetness_moist	soil.wetness_wet	waterlogging	soil.structure_light	soil.structure_medium	soil.structure_heavy	soil.structure_compacted	soil.texture_sandy	soil.texture_loamy	soil.texture_clayey	soil.depth_deep	soil.depth_superficial	soil.richness_nutrient-poor	soil.richness_medium.nutrient.content	soil.richness_nutrient-rich	humus	stony	calcareous	soil.acidity_alkaline	soil.acidity_slightly.alkaline	soil.acidity_slightly.acidic	soil.acidity_acidic	pH	Standortanspruch	climate.change	orientation	orientation.when.young	cold.winter	spring.frost	waterlogging	drought	heavy.soil	hot.summer	shallow.soil
20	Gemeine Hainbuche	Carpinus betulus	Trüffelanbau		Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger	EM	Hartes Holz, gut hobel-, schleif- und biegbar. Hoher Brennwert. Wirtspflanze für Trüffel. Oft in Windschutzhecken angebaut.							25 m hoch. Langsames Jugendwachstum, sonst schnellwachsend, Herzwurzler, rasche Blattzersetzung, bodenverbessernd, hohe Stockausschlagfähigkeit, Wurzelbrut möglich. 			Frische Lehm- und Tonböden bevorzugt, gut an sehr trockene Standorte angepasst. Mittlerer Nährstoffgehalt, gute Kalktoleranz. pH: 4.5 – 7.5 			+									+	+				+				+					(4.5)–(7.5) 	Potenzielles Klimawandelgehölz, hohe Trockenheits- und Sturmresistenz. Halbschattige Standorte, idealerweise sommerwarme Lagen.	yes	semi-shaded					2		1	
21	Gemeine Hainbuche	Carpinus betulus	Alley-Cropping	Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger		Sehr schnittverträglich. Hartes Holz, gut hobel-, schleif- und biegbar. u.a. für Werkzeug, Holzkohle, Parkett. Heizkräftiges Kaminholz. Wirtspflanze für Trüffel. Oft in Windschutzhecken angebaut.							25 m , anspruchsloses, langsames Jugendwachstum, sonst schnellwachsend, Herzwurzler, rasche Blattzersetzung, bodenverbessernd, hohe Stockausschlagfähigkeit, Wurzelbrut möglich.			Frische Lehm- und Tonböden bevorzugt, jedoch gut an sehr trockene Standorte angepasst. Mittlerer Nährstoffgehalt, gute Kalktoleranz. pH: 4.5 – 7.5 (widersprüchliche Angaben)			+									+	+				+				+					(4.5)–(7.5) 	Halbschattige Standorte, idealerweise sommerwarme Lagen.		semi-shaded								
22	Pekannussbaum	Carya illinoiensis	Nussbäume und -sträucher	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente	Lebensraum Vögel; Lebensraum Kleinsäuger			Choctaw; Pawnee; (wenig Erfahrungen in der Schweiz)			Gilt als Klimagehölz. Wissen zu Standortanforderungen, Anbau etc. in der Schweiz noch ungenügend. Hohe Standhaftigkeit selbst bei Starkwinden.  Zweigeschlechtlich, selbstunfrunchtbar, windbestäubt. Geschmack ähnlich der Walnuss, jedoch milder und leicht süsslich. Es sollten frühe bis mittelfrühe Sorten gepflanzt werden, dabei dichogam, zu besseren Befruchtung beide Typen (protandrisch, protogyn) pflanzen				(4)-(5)	(10)-NA	Bevorzugt lockere, humose Böden, lehmig, eher kalkarm.							+					+							+		-						S, hs. Braucht Wärme, erträgt aber Fröste und länger anhaltende Trockenheit. .		sunny; semi-shaded		1			1			
23	Edelkastanie	Castanea sativa	Nussbäume und -sträucher	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente; Biodiversität / Bodenschutz							Gefährdung durch pathogene. Hartes Holz. Kastanien bilden sowohl männliche als auch weibliche Blüten aus – diese blühen aber zu unterschiedlichen Zeitpunkten. Deshalb sollten auch bei Kastanien unbedingt verschiedene Sorten gepflanzt werden.  				(5)-(6)	(9)-(10)	Leicht saure, durchlässige Böden; Kalkböden und schwere tonige Böden schwieriger. Nördlich der Alpen kommen Kastanien auch auf kalkhaltigen Böden vor.		+																						+			Trocken, sonnig, warm; 		sunny		-100		-100				
24	Edelkastanie	Castanea sativa	Vitiforst Umrandung	Biodiversität / Bodenschutz; Biodiversität / Bodenschutz; Früchte / Konfiture / Konserve; Medizinalpflanze / Duftstoffe / Imkerei; 		EM	Ausreichend Pflanzabstand für mächtige Kronenentwicklung, selbststeril, Kastaniengallwespe gefährlicher Schädling					(15)-(30)	(10)-(15)	Höhe, Breite	(6)-(7)	(10)-NA	Sauer, humos																			+						+		Sonnig bis halbschattig 		sunny; semi-shaded								
25	Edelkastanie	Castanea sativa	Biomassenutzung	Biodiversität / Bodenschutz; Früchte / Konfiture / Konserve; Medizinalpflanze / Duftstoffe / Imkerei			Ausreichend Pflanzabstand für mächtige Kronenentwicklung, selbststeril, Kastaniengallwespe gefährlicher Schädling.					(15)-(30)	(10)-(15)	Höhe, Breite	(6)-(7)		Sauer, humos																			+						+		Sonnig bis halbschattig 		sunny; semi-shaded								
26	Blasenstrauch	Colutea arborescens	Vitiforst in der Parzelle	Biodiversität / Bodenschutz	Biodiversität / Bodenschutz; Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger		Samen und Blätter für Menschen giftig, sehr anspruchslos, eignet sich für trockene Böden					(1)-(4)		Höhe	(5)-(8)	(8)-(10)	Sandig, trocken	+										+																Sonnig		sunny								
27	Kornelkirsche / Gelber Hartriegel	Cornus mas	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl; Biomasse / Energie	Lebensraum Insekten; Biodiversität / Bodenschutz; Lebensraum Vögel			Cornella kasanlaker Flava, P5, Macrocarpa, Jolico	Selbstfruchtbar aber höhere Erträge mit Befruchtungspartner	2 m, W	Gute Schnittverträglichkeit				(2)-(4)	(8)-(9)	Frischer, idealerweise neutral bis basischer Boden, mittlerer Nährstoffgehalt. Keine Staunässe. pH: 4.5-7.5			+			-											+					+	+			(4.5)–(7.5) 	s, hs		sunny; semi-shaded								
28	Kornelkirsche / Gelber Hartriegel	Cornus mas	Vitiforst in der Parzelle	Früchte / Konfiture / Konserve; Saft / Likör / öl; Biodiversität / Bodenschutz	Lebensraum Insekten; Lebensraum Vögel	AM	Fördert Nützlinge, Futter für Reh und Hase					(3)-(8)		Höhe	(2)-(3)	(8)-(9)	Durchlässig, kalkhaltig		+																			+						Sonnig bis halbschattig		sunny; semi-shaded								
29	Gemeine Hasel	Corylus avellana	Vitiforst Umrandung	Biomasse / Energie; Früchte / Konfiture / Konserve	Biodiversität / Bodenschutz; Lebensraum Vögel; Lebensraum Kleinsäuger	EM	Dank dem weitreichenden Wurzelsystem sehr geeignet zur Bodenbefestigung. Einst in Europa als Futtergehölz und Windschutzhecke sehr verbreitet.					(3)-(7)		Schnellwachsender Grossstrauch, hoch. Weitreichendes und in die tiefe gehendes Wurzelsystem. Neigt zu Stockausschlag	(2)-(4)	(9)-NA	Basisch bis leicht saure, frische bis mässig feuchte Böden. Mittlerer Nährstoffgehalt. pH: 4.5 – 7.5			+	+													+					+	+	+		(4.5)–(7.5)	S, hs.; Mittlerer Wasserbedarf, tw. Trockenheitsresistent		sunny; semi-shaded					1			
30	Gemeine Hasel	Corylus avellana	Stock-/Biomassehecke	Biomasse / Energie; Früchte / Konfiture / Konserve	Biodiversität / Bodenschutz; Lebensraum Vögel; Lebensraum Kleinsäuger		Dank dem weitreichenden Wurzelsystem sehr geeignet zur Bodenbefestigung. Einst in Europa als Futtergehölz und Windschutzhecke sehr verbreitet.					(3)-(7)		Schnellwachsender Grossstrauch, hoch. Weitreichendes und in die tiefe gehendes Wurzelsystem. Neigt zu Stockausschlag	(2)-(4)		Basisch bis leicht saure, frische bis mässig feuchte Böden. Mittlerer Nährstoffgehalt. pH: 4.5 – 7.5			+	+													+					+	+	+		(4.5)–(7.5)	S, hs. Mittlerer Wasserbedarf, tw. Trockenheitsresistent		sunny; semi-shaded					1			
31	Gemeine Hasel	Corylus avellana	Nussbäume und -sträucher	Früchte / Konfiture / Konserve; Biomasse / Energie	Biodiversität / Bodenschutz; Lebensraum Vögel; Lebensraum Kleinsäuger			Webb’s Preosnuss, Rote Zellernuss			Einhäusig Fremdbestäubung. Für gute Befruchtung und Ertrag zwei verschiedene Sorten anbauen. Dank dem weitreichenden Wurzelsystem sehr geeignet zur Bodenbefestigung.				(2)-(4)	(9)-NA	Basisch bis leicht saure, frische bis mässig feuchte Böden. Mittlerer Nährstoffgehalt. pH: 4.5 – 7.5			+	+													+					+	+	+		(4.5)–(7.5)	S, hs. Mittlerer Wasserbedarf, tw. trockenheitsresistent										
32	Gemeine Hasel	Corylus avellana	Trüffelanbau		Biodiversität / Bodenschutz; Lebensraum Vögel; Lebensraum Kleinsäuger	EM	Einhäusig Fremdbestäubung. Für gute Befruchtung und Ertrag zwei verschiedene Sorten anbauen. Dank dem weitreichenden Wurzelsystem sehr geeignet zur Bodenbefestigung.					(3)-(7)		Schnellwachsender Grossstrauch, hoch. Weitreichendes und in die tiefe gehendes Wurzelsystem. Neigt zu Stockausschlag			Basisch bis leicht saure, frische bis mässig feuchte Böden. Mittlerer Nährstoffgehalt. pH: 4.5 – 7.5			+	+													+					+	+	+		(4.5)–(7.5)	S, hs. Mittlerer Wasserbedarf, tw. trockenheitsresistent										
33	Baumhasel	Corylus colurna	Nussbäume und -sträucher	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente											(2)-(4)	(9)-NA	Trockenheitsresistent, erträgt auch Überflutung, bevorzugt basenreiche aber stickstoffarme Böden, pH 5.5-8	+															+						+				(5.5)–(8)	Kontinentales Klima, wärmebegünstigte und niederschlagreiche Regionen				-100			-100			
34	Baumhasel	Corylus colurna	Trüffelanbau		Biodiversität / Bodenschutz; Lebensraum Vögel; Lebensraum Kleinsäuger	EM	Holz geeignet für Möbel- und Wasserbau, hoher Brennwert, Nüsse sind essbar 					(10)-(20)	(5)-(7)	Sommergrüner Baum, gerader Stamm, hoch, 1.breit, kann-40 m hoch werden			Trockenheitsresistent, erträgt auch Überflutung, keine Staunässe bevorzug basenreiche aber stickstoffarme Böden, pH 5.5-8	+					-										+						+				(5.5)–(8)	Kontinentales Klima, wärmebegünstigte und niederschlagreiche Regionen				-100			-100			
35	Weissdorn	Crataegus sp.	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten; Lebensraum Vögel			Viele eingrifflige und zweigrifflige grossfrüchtige Sorten, z.B. Aurora, Fireball, Fruchtsorte: Zbigniew (Ukraine)	Selbstfruchtbar	1 m, O	z.T. dornig. Starke anfällig auf Feuerbrand. Anspruchslos: C. monogyna in wärmeren und trockeneren Lagen als C. laevigata. 				(4)-(6)	(8)-NA	Mässig feuche Böden, toleriert Trockenheit. Kalk- und Nährstoffreiche Standorte bevorzugt. Sehr empfindlich auf Bodenverdichtung. pH: 5.5-8.5	+	+	+	+						--								+			+					(5.5)–(8.5)	s,hs		sunny; semi-shaded								
36	Quitte	Cydonia oblonga	Vitiforst in der Parzelle	Früchte / Konfiture / Konserve; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten	AM	Pflegeleicht, hitzeverträglich					(4)-(8)	(4)-(6)	Höhe, breit	(4)-(5)	(9)-(11)	Durchlässig, nährstoffreich		+																+									Sonnig bis halbschattig		sunny; semi-shaded								
37	Quitte	Cydonia oblonga	Obstbäume veredelt						Selbstbefruchtung		Pflegeleicht, hitzeverträglich				(4)-(5)	(9)-(11)	Durchlässig, nährstoffreich		+																+									s, hs		sunny; semi-shaded								
38	Vielblaettige Oelweide 	Elaeagnus multiflora	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Vögel			Pointilla Fruithunters® Cherrific	selbstfruchtbar	1 m, O	Stickstoff bindend. Gut schnittverträglich. Wärmeliebend. Schmalblättrige Ölweide ist invasiv				(4)-(5)	(6)-NA	Wächst auf nährstoffarmen Standorten, Herzwurzel verträgt Trockenheit. Leichter, leicht saurer Boden, keine Vernässung	+					-	+									+								+			s, hs		sunny; semi-shaded								
39	Korallen-/ Doldige Oelweide	Elaeagnus umbellata	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten; Lebensraum Vögel			Pointilla® Fortunella®, Sweet‘n‘sour® 	selbstunfruchtbar	1 m, O	Stickstoff bindend. Gut schnittverträglich. Wärmeliebend				(4)-(5)	(9)-(11)	Wächst auf nährstoffarmen Standorten, verträgt Trockenheit. Leichter, leicht saurer Boden, keine Vernässung	+					-	+									+								+			s, hs		sunny; semi-shaded								
40	Gemeine Esche	Fraxinus excelsior	Stock-/Biomassehecke	Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel		Holz sehr hart, elastisch, sehr gefragt. Bedrohung durch Eschentriebsterben (Chalara fraxinea)							Schnelles (Jugend-)Wachstum, konkurrenzstark. Kräftiger Stockausschlag. Tiefwurzler mit flachen, weitreichenden Seitenwurzeln. Bodenstabilisierend. Rasche Zersetzung der Blätter,  humusbildend	(4)-(5)		Feucht-frisch, kalkhaltig, Mittlerer Nährstoffgehalt. Sehr empfindlich auf Bodenverdichtung und Grundwasserabsenkung. pH: 5.5 – 8.5			+	+						-							+				+						Hs. Kältetolerant. 		semi-shaded		1						
41	Gemeine Esche	Fraxinus excelsior	Biomassenutzung	Holz / Möbel / Instrumente; Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel		Bedrohung durch Eschentriebsterben (Chalara fraxinea). Alternative: Fraxinus ornus. Schnittnutzung kann zu starkem Stamm-Dickenwachstum führen. Holz sehr hart, elastisch, sehr gefragt. Im Innenausbau.							Schnelles (Jugend-)Wachstum, konkurrenzstark. Kräftiger Stockausschlag. Tiefwurzler it flachen, weitreichenden Seitenwurzeln. Bodenstabilisierend. Rasche Zersetzung der Blätter, humusbildend	(4)-(5)		Feucht-frisch, kalkhaltig, mittlerer Nährstoffgehalt. Sehr empfindlich auf Bodenverdichtung und Grundwasserabsenkung. pH: 5.5 – 8.5																											Hs. Kältetolerant. 		semi-shaded		1						
42	Blumenesche / Mannaesche	Fraxinus ornus	Alley-Cropping	Biodiversität / Bodenschutz; Biomasse / Energie; Holz / Möbel / Instrumente; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten		Pionierbaumart, soll nicht durch Eschentriebsterben gefährdet sein. Manna-Gewinnung aus dem Saft (Mannitol), Futtergehölz.					(10)-(15)		, schnellwüchsig			Gut durchlüftete Böden, gedeiht besser auf ärmeren Böden. Kalkhaltig. Widerstandsfähig gegen Trockenheit. pH: Neutral, 7							+									+					+					7	Sonnig, verträgt keinen Schatten, wärmebedürftig, hitzetolerant. Heimisch im Mittelmeergebiet. Pionierbaum		sunny		-1000	-1000				1	
43	Blumenesche / Mannaesche	Fraxinus ornus	Biomassenutzung	Biomasse / Energie; Holz / Möbel / Instrumente; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten		Soll nicht/weniger anfällig auf das Eschentriebsterben (Chalara fraxinea) sein. Guter Wiederaustrieb, Holzqualität ähnlich wie andere Eschenarten, mit geringerer Dichte, jedoch schlecht geformte Stämme. Höhere Gehalte an Mannitol, ansonsten ähnliche Inhaltsstoffe wie Ornus excelsior. Bei Futterversuchen mit Ziegen ähnliche Akzeptanz wie Ornus excelsior. Wird als Laubfutter für Rinder, Schafe und Ziegen genutzt. Grosse morphologische Variationen ausserhalb des Verbreitungsgebietes							Bis 25 m, schnellwachsend	(5)-(6)		Gut durchlüftete Böden, gedeiht besser auf ärmeren Böden. Widerstandsfähig gegen Trockenheit. pH: Neutral, 7							+									+										7	Sonnig, verträgt keinen Schatten, wärmebedürftig, Heimisch im Mittelmeergebiet. Pionierbaum		sunny		-1000	-1000					
