Wissenschaftlicher.Artname	Deutscher.Artname	Gattung	X3	Familienzugehörigkeit	Giftigkeit	Herkunft	Frosthärte.x	Holzwert	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Habitus	Höhe..m	Breite..m	X6	Wurzelsystem	Frosthärte.y	Lebensbereich.der.Gehölze	Zugehörigkeit.zu.Pflanzengesellschaften.und.Verbänden..Feldhecken.und.Feldgehölzen.	Zugehörigkeit.zu.Pflanzengesellschaften.und.Verbänden..Gehölze.an.Fließgewässer.und.in.Auen.	Bodenreaktion	Substrat	Bodenfeuchte	Besonnung	Fruchtbesatz..Monate	Fruchtschmuck	Fruchtfarbe.oder..Form	zur.Lärmminderung	zur.Staubminderung	zur.Pflanzung.von	Blütezeit..Monat	Blütefarbe	Herbstfärbung	Lichtzahl	Kontinentalitätszahl	Feuchtezahl	Reaktionszahl	Stickstoffzahl	Temperaturzahl
Carpinus betulus	Gewöhnliche Hainbuche	Hainbuchen (Carpinus)	Carpinus betulus	Birkengewächse (Betulaceae)	NA	einheimisch	-20	1;2;5	Nussfrucht	aufrecht	(10)-(20)	(7)-(12)		Herzwurzler	Frosthart	3	5;8;10;11;12;13;14;15;16;17;18	2;4;5	alkalisch	leicht (sandig);schwer (tonig);humos	-	sonnig;halbschattig;schattig	8;9	1	nussartig	2	0	Lärmschutzwellen	5	gelbgrün	gelb	4	4				6
Castanea sativa	Edelkastanie	Kastanien (Castanea)	Castanea sativa	Buchengewächse (Fagaceae)	NA	einheimisch	-20	1;2;3	Kapselfrucht	breitkronig	(15)-(30)	(12)-(20)		Tiefwurzler	Frosthart	6	11;12;13;14;15	NA	sauer	leicht (sandig);schwer (tonig);durchlässig	-	sonnig	9;10	1	stachelig	0	0		6;7	creme	gelb	5	2		4		8
Cornus mas	Gewöhnliche Kornelkirsche	Hartriegel (Cornus)	Cornus mas	Hartriegelgewächse (Cornaceae)	NA	einheimisch		NA	Steinfrucht	rundlich;breitbuschig	(4)-(7)	(4)-(7)	s	Flachwurzler;Herzwurzler	Frosthart	6;9	9;10;22;23	5	alkalisch	schwer (tonig);humos	feucht bis frisch	sonnig;halbschattig	8;9	1	rot	0	0		3;4	gelb	gelb	6	4	4	8	4	7
Cornus sanguinea	Roter Hartriegel	Hartriegel (Cornus)	Cornus sanguinea	hartriegelgewächse (Cornaceae)	giftig	einheimisch		NA	Steinfrucht	breitbuschig	(4)-(6)	(4)-(6)	s	Flachwurzler;Herzwurzler	Frosthart	2;9	1;2;3;5;8;9;10;11;12;13;15;16;17;18;19;22	1;3;4;5	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig;halbschattig	8;9;10	1	schwarzviolett	1	0	Lärmschutzwellen	5;6	weiß	rot;orange	7	4	5	7		5
Corylus avellana	Gewöhnliche Haselnuss	Haseln (Corylus)	Corylus avellana	birkengewächse (Betulaceae)	NA	einheimisch	-28	3	Nussfrucht	rundlich;breitbuschig	(5)-(7)	(5)-(7)	s	Flachwurzler	Frosthart	3	1;2;3;5;7;9;10;11;12;13;14;15;16;17;19	2;3;4;5	-	schwer (tonig)	feucht bis frisch;trocken	sonnig;halbschattig	8;9;10	1	braun	1	2	Lärmschutzwellen	3;4	gelb	gelb;orange	6	3			5	5
Crataegus laevigata	Zweigriffelige Weißdorn	Weißdorne (Crataegus)	Crataegus laevigata	rosengewächse (Rosaceae)	NA	einheimisch	-24	3;5	Apfelfrucht	straff aufrecht	(2)-(6)	(2)-(5)	s	Tiefwurzler	Frosthart	3	1;2;3;5;8;9;10;11;12;13;14;15;16;18;19;20	NA	alkalisch	durchlässig	feucht bis frisch;trocken	sonnig;halbschattig	8;9;10;11;12	1	rot	0	2	Lärmschutzwellen	5	weiß	gelb;orange	6	4	5	7	5	6
Crataegus monogyna	Eingriffliger Weißdorn	Weißdorne (Crataegus)	Crataegus monogyna	rosengewächse (Rosaceae)	NA	einheimisch	-24	3;5	Apfelfrucht	rundlich;breitbuschig	(2)-(6)	(3)-(7)	s	Tiefwurzler	Frosthart	3;9	1;2;3;5;8;9;10;11;12;13;14;15;16;18;19;20	3;5	alkalisch	durchlässig	feucht bis frisch;trocken	sonnig;halbschattig	8;9;10	1	rot	0	0		5;6	weiß	gelb	7	3	4	8	4	5
Cytisus scoparius	Besenginster	Geißklee (Cytisus)	Cytisus scoparius	Hülsenfrüchtler (Fabaceae)	giftig	einheimisch		NA	Hülsenfrüchte	straff aufrecht;stark überhägend	()-(2)	()-(2)	s	Herzwurzler	Frosthart	4	NA	4	-	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig	8;9;10	1	schwarz	0	0	Lärmschutzwellen;Steilwällen	5;6	gelb	NA	8	2	4	3	4	5
Elaeagnus angustifolia	Schmalblättrige Ölweide	Ölweiden (Elaeagnus)	Elaeagnus angustifolia	Ölweidengewächse (Elaeagnaceae)	NA	Südeuropa/Mittelmeer	-24	NA	Steinfrucht	breitbuschig;stark überhängend	(5)-(7)	(5)-(7)	s	Flachwurzler;Tiefwurzler	Frosthart	6	NA	NA	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig	7;8;9	1	silbrig	0	0		5;6	gelb	NA						
Euonymus europaeus	Europäisches Pfaffenhütchen	Spindelsträucher (Euonymus)	Euonymus europaeus	Spindelbaumgewächse (Celastraceae)	stark giftig	einheimisch		NA	Kapselfrucht	straff aufrecht	(2)-(6)	()-(4)	s	Flachwurzler	Frosthart	2	1;2;3;5;8;10;11;12;16;17;21	2;3;4;5	alkalisch	schwer (tonig)	feucht bis frisch;trocken	sonnig;halbschattig	8;9;10	1	rot	0	0	Lärmschutzwellen	5;6	grüngelb	gelb;rot	6	3	5	8	5	5
Fagus sylvatica	Rot-Buche	Buchen (Fagus)	Fagus sylvatica	Buchengewächse (Fagaceae)	leicht giftig	einheimisch	-20	1;4	Nussfrucht	breitkronig	(25)-(30)	(25)-(30)		Flachwurzler;Herzwurzler	Frosthart	3	5;9;10;11;12;13;14;15;16;17;18;19	2;3;5	-	leicht (sandig);schwer (tonig)	feucht bis frisch	sonnig;halbschattig	9;10;11	1	braun	2	2		5	gelb	gelb;orange	3	2	5			5
Frangula alnus	Gewöhnlicher Faulbaum	Kreuzdorn (Rhamnus)	"Frangula alnus 
(Rhamnus frangula)"	Kreuzdorngewächse (Rhamnaceae)	giftig	einheimisch		NA	Steinfrucht	straff aufrecht;breitbuschig	(2)-(4)	()-(3)		NA	NA	1;7	NA	NA	sauer	humos	feucht bis frisch	sonnig;halbschattig	NA	0	NA	0	0		5;6	gelbgrün	gelb	6	5	8	4		6
Fraxinus excelsior	Gewöhnliche Esche	Eschen (Fraxinus)	Fraxinus excelsior	Ölbaumgewächse (Oleaceae)	NA	einheimisch	-32	1;5	-	lockerkronig;breitkronig	(25)-(40)	(20)-(30)		Herzwurzler;Tiefwurzler	Frosthart	2	1;2;5;8;9;10;11;12;15;16;17;19;21;22;23	1;2;3;4;5	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch	sonnig	9;10	1	flügelartig	0	1		4;5	NA	gelb	4	3		7	7	5
Hippophae rhamnoides	Gewöhnlicher Sanddorn	Sanddorne (Hippophae)	Hippophae rhamnoides	Ölweidengewächse (Elaeagnaceae)	NA	einheimisch		NA	Steinfrucht	NA	()-(0)	()-(0)		Flachwurzler	Frosthart	5	3;4;19;20	NA	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig	9;10	1	orange	0	0		3;4	NA	NA	9	6	4	8	3	6
Juglans regia	Echte Walnuss	Walnüsse (Juglans)	Juglans regia	Walnussgewächse (Juglandaceae)	NA	einheimisch	-20	1	Nussfrucht	NA	()-(0)	()-(0)		Tiefwurzler	Frosthart	3	NA	NA	alkalisch	schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig	9;10;11	1	kugelig	0	0		5	gelbgrün	NA	6	2	6	7	7	8
Ligustrum vulgare	Gewöhnlicher Liguster	Liguster (Ligustrum)	Ligustrum vulgare	ölbaumgewächse (Oleaceae)	giftig	einheimisch		NA	Beerenfrüchte	straff aufrecht;breitbuschig	(2)-(5)	(2)-(5)	s	Flachwurzler	Frosthart	9	1;2;3;4;5;9;10;11;12;13;14;17;18;19;20;22;23	2;3;4;5	alkalisch	schwer (tonig);humos	feucht bis frisch;trocken	sonnig;halbschattig	9;10;11;12	1	schwarz	0	2	Lärmschutzwellen;Steilwällen	6;7	weiß	NA	7	3	4	8	3	6
Lonicera xylosteum	Rote Heckenkirsche	Heckenkirschen (Lonicera)	Lonicera xylosteum	Geißblattgewächse (Caprifoliaceae)	giftig	einheimisch		NA	Beerenfrüchte	straff aufrecht;breitbuschig	(2)-(3)	(2)-(3)	s	Flachwurzler	Frosthart	3	1;2;3;4;5;9;10;11;12;13;19;20	2;3;5	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	halbschattig	8;9	1	rot	0	0	Lärmschutzwellen;Steilwällen	5;6	weiß	gelb	5	4	5	7	6	6
Malus domestica	Kultur-Apfel	Äpfel (Malus)	Malus domestica	rosengewächse (Rosaceae)	NA	einheimisch	-32	1;5	Apfelfrucht	NA	()-(0)	()-(0)		Flachwurzler;Herzwurzler	Frosthart	-	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0		NA	NA	NA						
Malus sylvestris	Holz-Apfel	Äpfel (Malus)	Malus sylvestris	rosengewächse (Rosaceae)	NA	einheimisch		NA	Apfelfrucht	breitbuschig	(6)-(10)	(5)-(8)	s	Flachwurzler;Herzwurzler	Frosthart	2	NA	5	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig;halbschattig	8;9;10;11;12	1	gelb	0	0		5;6	weißrosa	gelb;orange	7	3	5	7	5	6
Populus × canescens	Grau-Pappel	Pappeln (Populus)	Populus × canescens	Weidengewächse (Salicaceae)	NA	einheimisch	-32	3;4	Kapselfrucht	breitkronig	(20)-(25)	(15)-(20)		Flachwurzler	Frosthart	2	1;2;5;9;10;13	5	-	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig	5;6	0	wollartig	1	0		3	gelbgrün	NA						
Populus ×canadensis	Bastard-Schwarz-Pappel	Pappeln (Populus)	Populus ×canadensis	?	NA	NA		NA	Kapselfrucht	breitkronig	(20)-(25)	(15)-(20)	s	NA	NA	-	NA	NA	NA	NA	NA	NA	5;6	1	wollartig	0	0		NA	NA	NA						
Populus alba "Nivea"	Silber-Pappel	Pappeln (Populus)	Populus alba "Nivea"	Weidengewächse (Salicaceae)	NA	einheimisch	-32	3;4	Kapselfrucht	breitkronig	(20)-(35)	(15)-(18)		Flachwurzler	Frosthart	2	20	4;5	-	leicht (sandig);schwer (tonig)	feucht bis frisch	sonnig	5;6	1	wollartig		1		4	gelbgrün	NA	5	7	7	8	6	7
Populus nigra	Schwarz-Pappel	Pappeln (Populus)	Populus nigra	weidengewächse (Salicaceae)	NA	einheimisch		NA	Kapselfrucht	breitkronig	(20)-(25)	(15)-(20)		Flachwurzler	Frosthart	2	4	3;4;5	alkalisch	schwer (tonig);durchlässig	feucht bis frisch	sonnig	5;6	1	wollartig	0	0		3;4	rot	gelb	5	6	8	7	7	6
Populus tremula	Zitter-Pappel	Pappeln (Populus)	Populus tremula	weidengewächse (Salicaceae)	NA	einheimisch	-36	3;4	Kapselfrucht	lockerkronig	(10)-(20)	(7)-(10)		Flachwurzler	Frosthart	4	1;2;5;6;8;9;10;11;13;14;16;17;18	4;5	alkalisch	leicht (sandig);humos;durchlässig	feucht bis frisch	sonnig	5;6	1	wollartig	0	1		3;4	rot	gelb	6	5	5			5
Prunus avium	Vogel-Kirsche	Prunus	Prunus avium	rosengewächse (Rosaceae)	NA	Asien	-32	1;2;5	Steinfrucht	aufrecht	(15)-(20)	(10)-(15)		Herzwurzler	Frosthart	3	1;3;5;9;10;11;12;13;15;16;17	2;4;5	alkalisch	schwer (tonig);durchlässig	feucht bis frisch	sonnig	7;8	1	rot	0	1	Lärmschutzwellen	4;5	weiß	gelb;rot;orange	4	4	5	7	5	5
Prunus cerasifera "Nigra"	Kirschpflaume	Prunus	Prunus cerasifera "Nigra"	rosengewächse (Rosaceae)	NA	einheimisch		NA	Steinfrucht	straff aufrecht;breitbuschig	(5)-(7)	(3)-(6)	s	Herzwurzler	Frosthart	9	NA	NA	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig	7;8	1	dunkelrot	0	0		3;4	rosa	NA						
Prunus domestica	Kultur-Pflaume	Prunus		rosengewächse (Rosaceae)	NA	Asien	-28	1	Steinfrucht	NA	()-(0)	()-(0)		NA	NA	-	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0		NA	NA	NA						
Prunus mahaleb	Steinweichsel	Prunus		rosengewächse (Rosaceae)	NA	einheimisch		NA	Steinfrucht	aufrecht;breitbuschig	(4)-(6)	(4)-(6)	s	Herzwurzler	Frosthart	6	2;9;10	NA	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig	7;8;9	1	schwarzrot	0	0		4;5	weiß	NA	7	4	3	8	2	7
Prunus padus	Gewöhnliche Traubenkirsche	Prunus	Prunus padus	rosengewächse (Rosaceae)	NA	einheimisch	-36	NA	Steinfrucht	aufrecht	(6)-(10)	(4)-(8)		Herzwurzler	Frosthart	2	6;8;11;12;17	1;2;3;4;5	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig;halbschattig	8;9	1	schwarzrot	0	1	Lärmschutzwellen	4;5	weiß	gelb	5	3	8	7	6	5
Prunus serotina	Späte Traubenkirsche	Prunus	Prunus serotina	rosengewächse (Rosaceae)	NA	Nordamerika	-32	1;5	Steinfrucht	straff aufrecht;breitbuschig	(5)-(15)	(5)-(12)	s	Herzwurzler	Frosthart	4	NA	NA	-	leicht (sandig);schwer (tonig)	feucht bis frisch	sonnig	8;9	1	purpur	0	0	Lärmschutzwellen	4;5	weiß	gelb	6		5			6
Prunus spinosa	Gewöhnliche Schlehe	Prunus	Prunus spinosa	rosengewächse (Rosaceae)	NA	einheimisch	-28	NA	Steinfrucht	straff aufrecht;breitbuschig	(1)-(3)	(2)-(4)	s	Herzwurzler	Frosthart	6	1;2;3;5;9;10;11;12;13;16;18;19	4;5	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig	9;10;11;12	1	blau	0	0		4;5	weiß	NA	7	5	4	7		5
Pyrus communis	Kultur-Birne	Birnen (Pyrus)	Pyrus communis	rosengewächse (Rosaceae)	NA	einheimisch		NA	Apfelfrucht	NA	()-(0)	()-(0)		NA	NA	-	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0		NA	NA	NA	6	5	5	8		6
Pyrus pyraster	Wild-Birne	Birnen (Pyrus)	Pyrus pyraster	rosengewächse (Rosaceae)	NA	einheimisch	-24	1	Apfelfrucht	lockerkronig	(8)-(12)	(4)-(6)		Tiefwurzler	Frosthart	6	10;13;19;20;21	5	alkalisch	schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig;halbschattig	9;10	1	graugrün	0	0		4;5	weiß	gelb;orange						
Quercus petraea	Trauben-Eiche	Eichen (Quercus)	Quercus petraea	buchengewächse (Fagaceae)	NA	einheimisch	-28	1;2;3;5	Nussfrucht	breitkronig;aufrecht	(20)-(30)	(15)-(20)		Tiefwurzler	Frosthart	4	1;5;9;10;11;12;13;14;15;16;17;18;19;22	NA	alkalisch	schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig	10	1	eichelförmig	0	2		5;6	NA	gelb	6	2	5			6
Quercus robur	Stiel-Eiche	Eichen (Quercus)	Quercus robur	buchengewächse (Fagaceae)	NA	einheimisch	-28	1;2;3;5	Nussfrucht	breitkronig;aufrecht	(25)-(35)	(15)-(20)		Tiefwurzler	Frosthart	3	3;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;22	2;3;4;5	alkalisch	leicht (sandig);schwer (tonig);humos;durchlässig	feucht bis frisch;trocken	sonnig	10	1	eichelförmig	2	2		4	NA	gelb	7	6				6
Quercus rubra	Rot-Eiche	Eichen (Quercus)	Quercus rubra	buchengewächse (Fagaceae)	NA	Nordamerika	-28	1;2;3;5	Nussfrucht	breitkronig	(20)-(25)	(12)-(18)		Flachwurzler	Frosthart	4	NA	NA	-	leicht (sandig);schwer (tonig);humos;durchlässig	feucht bis frisch	sonnig;halbschattig	10	1	eichelförmig	0	0		4;5	NA	rot;orange						
Rhamnus cathartica	Echter Kreuzdorn	Kreuzdorn (Rhamnus)	Rhamnus catharticus	kreuzdorngewächse (Rhamnaceae)	stark giftig	einheimisch		NA	Steinfrucht	straff aufrecht;breitbuschig	(2)-(6)	(2)-(6)	s	Tiefwurzler	Frosthart	6	1;2;3;5;8;9;10;11;13;16;19;22	3	alkalisch	durchlässig	feucht bis frisch;trocken	sonnig;halbschattig	9;10;11	1	schwarzrot	0	0		5;6	gelbgrün	gelb	7	5	4	8	4	5
Ribes nigrum	Schwarze Johannisbeere	Johannisbeeren (Ribes)	Ribes nigrum	Stachelbeerengewächse (Grossulariaceae)	NA	NA		NA	Beerenfrüchte	NA	()-(0)	()-(0)		NA	NA	-	12;13;16;17	NA	NA	NA	NA	NA	NA	0	NA	0	0		NA	NA	NA	4	7	9	6	5	
Ribes rubrum	Rote Johannisbeere	Johannisbeeren (Ribes)	Ribes rubrum	Stachelbeerengewächse (Grossulariaceae)	NA	einheimisch		NA	Beerenfrüchte	NA	()-(0)	()-(0)		NA	NA	-	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0		NA	NA	NA	4	7	8	6	6	6
Robinia pseudoacacia	Gewöhnliche Robinie	Robinien (Robinia)	Robinia pseudoacacia	Hülsenfrüchtler (Fabaceae)	stark giftig	Nordamerika	-32	1;2;3	Hülsenfrüchte	lockerkronig;breitkronig	(20)-(25)	(12)-(18)		Flachwurzler	Frosthart	6	12	5	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig	NA	0	NA	0	1		5;6	weiß	gelb	5	4	4		8	6
Rosa canina	Hunds-Rose	Rosen (Rosa)	Rosa canina	rosengewächse (Rosaceae)	NA	einheimisch		NA	Nussfrucht	straff aufrecht;stark überhägend	()-(3)	()-(3)	s	Tiefwurzler	Frosthart	5	1;2;3;4;5;9;10;13	5	alkalisch	durchlässig	feucht bis frisch;trocken	sonnig	7;8;9;10;11;12	1	rot	0	0	Lärmschutzwellen;Steilwällen	5;6;7	weißrosa	NA	8	3	4			5
Rubus sect;Rubus	Brombeere	Brombeeren (Rubus)	"Rubus sect. Rubus
oder Rubus fruticosus"	rosengewächse (Rosaceae)	NA	einheimisch		NA	Steinfrucht	kriechend b;teppichart;klettend	(1)-(3)	(1)-()		NA	NA	4	NA	NA	alkalisch	leicht (sandig);schwer (tonig);humos;durchlässig	feucht bis frisch;trocken	halbschattig	NA	0	NA	0	0		6;7	weiß	gelb						
Salix alba	Silber-Weide	Weiden (Salix)	Salix alba	weidengewächse (Salicaceae)	NA	einheimisch	-32	3	Kapselfrucht	breitkronig	(15)-(20)	(10)-(15)		Flachwurzler	Frosthart	2	8	1;3;4;5	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch	sonnig	NA	0	NA	0	0		4;5	gelb	NA	5	6	8	8	7	6
Salix aurita	Ohr-Weide	Weiden (Salix)	Salix aurita	weidengewächse (Salicaceae)	NA	einheimisch		NA	Kapselfrucht	straff aufrecht;breitbuschig	()-(3)	()-(3)	s	Flachwurzler	Frosthart	1	4;6;7;8;14	4	sauer	durchlässig	feucht bis frisch	sonnig	NA	0	NA	0	0	Lärmschutzwellen;Steilwällen	3;4	gelb	NA	7	3	8	4	3	
Salix caprea	Sal-Weide	Weiden (Salix)	Salix caprea	weidengewächse (Salicaceae)	NA	einheimisch	-32	NA	Kapselfrucht	straff aufrecht;breitbüschig	(5)-(8)	(3)-(6)	s	Flachwurzler	Frosthart	3	5;11;12;15;17;19	NA	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch	sonnig	5;6	1	wollartig	0	2	Lärmschutzwellen	3;4	gelb	NA	7	3	6	7	7	
Salix cinerea	Grau-Weide	Weiden (Salix)	Salix cinerea	weidengewächse (Salicaceae)	NA	einheimisch	-36	NA	Kapselfrucht	rundlich	()-(5)	()-(5)	s	Flachwurzler	Frosthart	1	4;6;7;8;11;12;15;17;20	1;2	sauer	durchlässig	feucht bis frisch	sonnig	5;6	1	wollartig	0	0		3;4	gelb	NA	7	5	9	5	4	
Salix fragilis	Bruch-Weide	Weiden (Salix)	Salix fragilis	weidengewächse (Salicaceae)	NA	einheimisch	-32	3	Kapselfrucht	rundlich	(10)-(15)	(8)-(12)	s	Flachwurzler	Frosthart	1	7	1;2	sauer	leicht (sandig);schwer (tonig);humos	feucht bis frisch	sonnig	5;6	1	wollartig	0	0		4;5	gelb	NA	5	3	8	6	6	5
Salix purpurea	Purpur-Weide	Weiden (Salix)	Salix purpurea	weidengewächse (Salicaceae)	NA	einheimisch		NA	Kapselfrucht	breitbuschig	(3)-(5)	(3)-(5)	s	Flachwurzler	Frosthart	2	3;7	1;3	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig	5;6	1	wollartig	0	0		3;4	rotgelb	NA	8	4		8		5
Sambucus nigra	Schwarzer Holunder	Holunder (Sambucus)	Sambucus nigra	Moschuskrautgewächse (Adoxaceae)	leicht giftig	einheimisch		1;2;3	Steinfrucht	straff aufrecht;stark überhängend	(3)-(7)	(3)-(5)	s	Flachwurzler	Frosthart	3	1;5;8;11;12;15;16;17;21;22;23	1;3;4;5	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch;trocken	sonnig;halbschattig	7;8	1	schwarzrot	1	1	Lärmschutzwellen	6;7	creme	NA	7	3	5		9	5
Sambucus racemosa	Trauben-Holunder	Holunder (Sambucus)	Sambucus racemosa	Moschuskrautgewächse (Adoxaceae)	leicht giftig	einheimisch		NA	Steinfrucht	straff aufrecht;stark überhängend	(2)-(4)	(2)-(4)	s	Flachwurzler	Frosthart	7	11;12;14;15;16;17;21;22;23	4	-	leicht (sandig);schwer (tonig);humos	feucht bis frisch	-	7;8;9;10	1	rot	0	0		4;5	gelbgrün	NA	6	4	5	5	8	4
