latin	finnish	yield	use	soilhumidity	soilrichness	soilcalcareous	soiltexture	noncrusting	size	sun	shelter	zone	description	notsogood_yield	notsogood_use	notsogood_size	notsogood_zone
Corylus avellana	euroopanpähkinäpensas	päh,öljy,puu,leh,puno	L,P	tuo,kos	ravint	x			(3)-(7)	au,pv		(1)-(5)	Monikäyttöinen pensas syötävien pähkinöiden viljelyyn. Soveltuu myös vesametsätalouteen (coppicing) sekä ympättäväksi tryffelisienellä. (Tästä on Saatu hyviä kokemuksia Etelä-Suomessa.) Oravat ovat pahin haittaeläin. Pähkinänviljely vaatii aurinkoisen paikan ja hoitoleikkauksia. Kotimaisista kannoista lienee löydettävissä hyviä pensaita lisäykseen. Ulkomaisiakin lajikkeita tulee koeviljellä Suomessa. Niitä viljellään kaupallisesti jo Latviassa ja Tanskassa. Ei hakeudu salaojiin.				
Corylus colurna	turkinpähkinä	puu,päh	L,P	tuo	ravint	x			(10)-(20)	au,pv		(1)-(2)	Nopeakasvuinen, yksirunkoinen puu. Ei muodosta tyvivesoja. Kapean kartiomainen latvus. Arvokas puuaines, kestävä tauteja ja tuholaisia vastaan, kestää hyvin kuivuutta ja kaupunkiolosuhteita, ilmansaasteita. Suhteellisen lyhytikäinen. Hieman talvenarka. Menestyy varmasti vain rannikolla. Viihtyy savimaillakin. Ei hakeudu salaojiin.				
Fagus sylvatica	euroopanpyökki	puu		tuo,kos	ravint	x		x	(10)-(20)	au,pv	x	(1)-(2)	Menestyy nykyilmastossamme lähinnä etelärannikolla. Talvenarka sisämaassa. Istutettava suojapuuston alle. Ei sovellu avoimille kasvupaikoille. Sopiva alkuperä/lisäyslähde on tärkeää. Ruotsin pohjoisimmat lisäyslähteet ovat menestyneet hyvin Turun seudulla ja lisääntyvät luontaisesti. Turussa pyökkiä on kasvatettu myös leikattuna aitana. Riilahden kartanon mailla, Bromarvissa kasvaa Suomen komein pyökkimetsä. Mustilan arboretumissa on saatu alustavasti hyviä kokemuksia Karpaattien vuoristosta saaduista siemenalkuperistä. Kestää syvääkin varjostusta. Puuaines on korkealaatuista ja kysyttyä. Pyökin tiivis latvus varjostaa tehokkaasti. Ei hakeudu salaojiin, varoväli salaojaan 5m.		L		(3)-(3)
Fraxinus excelsior	lehtosaarni	puu,moni,leh	L,P,VS	tuo,kos	ravint	x	savi		(15)-(25)	au,pv		(1)-(4)	Kotimaisista jalopuista vaateliain maaperän suhteen. Nopeakasvuinen, suora- ja yksirunkoinen. Nuorena kestää paljon varjostusta, vanhemmiten vaatii täyttä aurinkoa. Arvokas puuaines. Saarnen lehdeksiä on leikattu eläimille. Lehtikarike parantaa maata ja nostaa pH:ta. Voi kasvattaa täydessä valossa ilman leikkaustarvetta, koska se ei muodosta vesiversoja. Saarni tulee lehteen myöhään ja varisee aikaisin. Latvus on harva, eli läpäisee valoa. Viihtyy savimailla. Saarni kestää kosteita kasvupaikkoja mutta ei jatkuvaa seisovaa märkyyttä. Viihtyy parhaiten syvämultaisilla mailla. Kylmillä ja hallanaroilla paikoilla saarni on jalopuista herkin saamaan talvivaurioita. Saarnea uhkaavat uudet kasvitaudit kuten saarnensurma ja tuholaiset kuten saarnenjalosoukko. Ei hakeudu salaojiin, varoväli salaojaan 5-10m.				(5)-(5)
Hippophaë rhamnoides	tyrni	hed,N+	L,P,T	tuo,kos	keskirav			x	(2)-(6 )	au		(1)-(6)	Kasvaa luontaisena merenrannoilla. Tyrniä viljellään marjakasvina sekä rohdoksena. Luontaiset tyrnit ovat Suomessa jokseenkin pensasmaisia, mutta viljelylajikkeista löytyy myös kookkaita, enemmän tai vähemmän puumaisia kasvumuotoja. Vaatii täyttä valoa. Sietää kylmää tuulta. Soveltuu hyvin pelto-olosuhteisiin, mutta sietää huonosti heinäkilpailua juuristoalueella. Kasvaa parhaiten tuoreilla tai kosteilla mailla. Muodostaa voimakkaasti juurivesoja. Hakeutuu mahdollisesti salaojiin.				
Juniperus communis	kotikataja	puu,hed	L,P,T	kui,tuo				x	(2)-(15 )	au		(1)-(7)	Kataja on Suomessa perinteinen metsälaidunten ja hakamaiden laji, jota kannattaa suosia. Hidaskasvuinen, menestyy etenkin karuilla ja niukkaravinteisilla hiekkamailla. Ei menesty savi- tai turvemailla. Puuaines on arvokasta puusepänpuuta. Puuaineksen lisäksi katajasta hyödynnetään mausteena käytettäviä marjoja. Puutavaran kasvatuksen näkökulmasta katajassa haastavaa on kasvumuotojen moninaisuus. Puumaisia muotoja olisi varminta lisätä kasvullisesti pistokkaista, mikä on työlästä. Suomessa ainakin yksi taimisto on erikoistunut lisäämään katajan kotimaisia kasvumuotoja. Ei hakeudu salaojaan.				
Juglans cinerea	amerikanjalopähkinä	puu,päh,öljy,mah	L,P,	tuo	ravint	x	multa		(8)-(20)	au	x	(1)-(3)	Usein monirunkoinen avoimilla kasvupaikoilla, vaatii pystykarsintaa. Nopeakasvuinen. Vaatii multavan maan ja suojaisan kasvupaikan. Jalopähkinöistä talvenkestävimpiä. Pähkinät ovat maukkaita ja öljypitoisia (lajin englanninkielinen nimi on butternut). Pähkinät ovat yleensä paksukuorisia ja vaikeasti avattavia. Pähkinöiden tuotantoon tulisi valita tietyt kloonit/kannat, joista meillä ei ole vielä kasvatuskokemuksia. Suomessa itse lajia on viljelty pitkään, mutta toistaiseksi vain koristepuuna. Puuaines on arvokasta, vaikkakaan ei yhtä arvostettua kuin mustajalopähkinän. Kotiseudullaan laji uhkaa hävitä sukupuuttoon sienitaudin (Sirococcus clavigignenti-juglandacearum) vuoksi. Syväjuurinen. Ei hakeudu salaojiin, varoväli salaojaan 5m.		VS		
Juglans nigra	mustajalopähkinä	puu,päh,öljy	L,P	tuo	ravint	x	multa		(6)-(10)	au	x	(1)-(2)	Usein yksirunkoinen, vaatii pystykarsintaa. Pitkäikäinen, nopeakasvuinen. Puuaines on erittäin arvostettua. Lajia viljellään myös syötävien pähkinöiden vuoksi. Pähkinätuotantoon käytetään tavallisesti ohutkuorisempia ja hyvin täyteisiä viljelylajikkeita, joista meillä ei vielä ole juurikaan viljelykokemuksia. Kasvupaikan valinta ja kestävä alkuperä/lisäyslähde on erittäin tärkeää. Viljelykokemukset ovat toistaiseksi vähäisiä, mutta Mustilan arboretumin välittämät pohjoiset kannat ovat menestyneet hyvin I-II vyöhykkkeillä. Mustilassa (II/III-vyöhykkeellä) laji on viihtynyt hyvin, mutta pähkinäsato ei ole valmistunut viileinä kesinä. Vaatii useita puuyksilöitä pölyttyäkseen kunnolla. Ei viihdy hyvin savimailla. Ei kestä varjostusta. Vaatii multavan maan ja lämpimän, suojaisan kasvupaikan. Kirjallisuudesta löytyy monia mainintoja jalopähkinöiden (erityisesti J.nigran) allelopaattisista ominaisuuksista kun ne kasvavat isoina metsikköinä. Tätä ilmiötä ei ole kuitenkaan todettu viljeltäessä lajia Eurooopassa. Syväjuurinen. Ei hakeudu salaojiin, varoväli salaojaan 5m.				
Malus domestica	tarhaomenapuu	hed	L,P	tuo	ravint	x		x	(3)-(6)	au		(1)-(5)	Menestyy parhaiten läpäisevillä rinnemailla, ei siedä liikaa märkyyttä. Vaatii säännöllistä leikkausta. Lajikevalinta ja pölytyssuhteet sekä sopiva perusrunko on huomioitava. Lajikkeita on runsaasti ja ne jaetaan kesä-, syys- ja talvilajikkeisiin. Poimittava käsin. Omenalla on lukuisia tuholaisia ja kasvitauteja. Luonnonmukainen viljely on haastavaa jos tavoitteena on kauppahedelmien tuotanto. Vaatii rupiruiskutuksia, ellei käytetä rupiresistenttejä lajikkeita. Mehu- ja siideriomenoita viljeltäessä kasvinsuojelu on vähemmän tärkeää. Uusia ruvenkestäviä lajikkeita on tuotu maahan viime vuosikymmeninä runsaasti, etenkin Venäjältä. Ei hakeudu salaojiin, varoväli salaojaan 5m.				
Pinus sylvestris	metsämänty	puu	L,P	tuo,kui	niukka,keskirav				(8)-(30)	au		(1)-(8)	Soveltuvat puuntuotantoon, vaikkakin sopivat paremmin metsänviljelyyn kuin pellolle. Keskipitkä kiertoaika. Kestävät kuivuutta ja karumpia maita. Molemmat lajit kestävät hyvin myös savimaita. Kysyntä olemassa jo. Soveltuvat peltoviljelyyn, mutta vaativat pystykarsintaa. Makedonianmänty kestää tykkylunta paremmin kuin metsämänty ja sietää hyvin varjostusta. Paalujuurisia puita, jotka kestävät hyvin myrskyjä. Eivät hakeudu salaojiin.				
Pinus peuce	makedonianmänty	puu	L,P	tuo,kui	keskirav				(10)-(25)	au,pv		(1)-(6)	Soveltuvat puuntuotantoon, vaikkakin sopivat paremmin metsänviljelyyn kuin pellolle. Keskipitkä kiertoaika. Kestävät kuivuutta ja karumpia maita. Molemmat lajit kestävät hyvin myös savimaita. Kysyntä olemassa jo. Soveltuvat peltoviljelyyn, mutta vaativat pystykarsintaa. Makedonianmänty kestää tykkylunta paremmin kuin metsämänty ja sietää hyvin varjostusta. Paalujuurisia puita, jotka kestävät hyvin myrskyjä. Eivät hakeudu salaojiin.				
Pinus sibirica	siperiansembra	puu,päh		tuo	ravint		savi		(8)-(25)	au		(2)-(7)	Kaikilla sembroilla on pähkinämäiset, öljypitoiset siemenet, jotka ovat tärkeää ravintoa lajien kotiseuduilla. Koreansembra, P.koraiensis vaikuttaa talvenkestävältä vyöhykkeillä I-V, vaikkakaan se ei kaikkialla Suomessa ole viihtynyt yhtä hyvin. Lajia viljellään kaupallisesti Venäjällä ja Kiinassa syötävien siementen tuotantoon. Siemenet ovat isompia kuin pinjansiemenet ja välillä niitä myydään kaupoissa pinjansiementen nimellä. Erityisesti koreansembran kasvullisesti lisättyjä lajikkeita tulisi koeviljellä Suomessa. Siemenlisättynä koreansembran sadontuotta alkaa vasta yli 30 vuotiaana. Siperiansembra, P.sibirica on talvenkestävämpi laji, mutta sen siemen on pienemmän kokoinen. Siperiansembra soveltuu parhaiten Itä- ja Pohjois-Suomeen, se ei menesty hyvin etelärannikolla. Siitä on valittu Venäjällä useita siemenviljelyyn soveltuvia kantoja, joita tulisi saada koeviljelyyn Suomeen. Itse lajia on viljelty meillä 1800-luvun lopulta lähtien.				(1)-(1)
Populus spp.	poppelit, (haapa)	puu,bio,moni	L,VS,T	tuo,kos	ravint				(10)-(15)	au		(1)-(6)	Lyhytkiertoviljelyyn sopivia energia/biomassapuita. Peltoviljelyyn tulisi valita vesomaton klooni. Haapa (I-VIII) on arvokas luonnon monimuotoisuudelle, mutta soveltuu huonosti kujanneviljelyyn voimakkaan juurivesomisen vuoksi. Sama koskee hybridihaapaa, joka on nopeakasvuisempi kuin tavallinen haapa. Laidunalueilla sen sijaan vesominen ei ole ongelma. Hybridihaavasta on saatavilla kapeakasvuinen klooni, joka sopii hyvin tuulensuojaistutuksiin. Euroopassa perinteiset juurivesattomat, suuri- ja nopeakasvuiset poppelit ovat yleensä kanadanpoppelin (P. x canadensis) lajikkeita, joista monet menestyvät myös Suomen eteläosissa. Viljelyssä tulisi välttää tautisuudestaan tunnettuja poppelilajikkeita. Parhaita taudinkestäviä poppeleita ovat esim. japaninpoppeli (P. maximowiczii), erityisesti tiettynä Daisetsu-kantana (I-IV) ja sen hybridit I-(VI). Muita risteymiä esim. palsamipoppelin (P. balsamifera) ja jättipoppelin (P. trichocarpa) tietyt kloonit, sekä risteymälajike  Prince George . Nämä mainitut kloonit ovat ilmeisesti talvenkestäviä VI-vyöhykkeelle asti. Ne kaikki ovat verraten vähän juurivesoja tuottavia. Vain yhden poppelikloonin massaistutuksia tulisi välttää. Poppelit vaativat pystykarsintaa. Helppoja viljellä. Hakeutuvat salaojiin.		P	(16)-(25)	(7)-(8)
Prunus avium	imeläkirsikka	puu	L,P	tuo	ravint	x	multa	x	(5)-(8)	au	x	(1)-(1)	Nopeakasvuinen, suorarunkoinen puu. Ei muodosta vesoja. Vaatii pystykarsintaa. Luonnonlaji ei sovellu hedelmänviljelyyn. Puuaines on arvostettua. Talvenarka ja hallanarka kukkiessaan. Vaatii lämpimän kasvupaikan, mieluiten rinteessä. Menestyy vain läpäisevillä mailla, ei siedä märkyyttä. Sopiva alkuperä/lisäyslähde tärkeää. Vain Etelä-Suomeen. Ei savimaille. Avoimilla paikoilla saa helposti runkovaurioita. Ei hakeudu salaojiin , varoväli salaojaan 3m.				(2)-(2)
Prunus domestica	luumu	hed	L,P	tuo	ravint	x	multa	x	(3)-(6)	au	x	(1)-(4)	Hallanarka kukkiessaan, vaatii lämpimän kasvupaikan, mieluiten rinteessä. Menestyy vain läpäisevillä mailla, ei siedä märkyyttä. Lajikevalinta ja pölytyssuhteet sekä sopiva perusrunko on huomioitava. Altis kumivuodolle. Usein jaksottaissatoinen. Poimittava käsin. Sato ei kypsy samanaikaisesti. markkinoitava nopeasti, ei säily pitkään varastossa. Lukuisia tuholaisia ja kasvitauteja. Ei hakeudu salaojiin , varoväli salaojaan 3m.				(5)-(5)
Prunus serotina	kiiltotuomi	puu,rohdos	L,P	tuo,kos	ravint	x			(5)-(10)	au,pv		(1)-(3)	Alhaalta haaroittuva, kookas puu, kapealatvuksinen, juurivesaton. Puuaines erittäin arvostettua, kauppanimi: Kirsikkapuu. Tunnettu rohdoskasvi P-Amerikassa (kaarna), syötävät hedelmät, käytetty hyytelöihin, alkoholijuomiin. Harvoin viljelty laji, mahdollisesti invasiivinen, mutta Suomessa ei ole levinnyt luontoon. Talvenkestävä. Menestynyt pitkään Mustilan arboretumissa. Varoväli salaojaan 10m.				
Prunus ssiori	sahalinintuomi	puu		tuo	ravint				(8)-(15)	au,pv		(1)-(4)	Puumainen, usein yksirunkoinen, kapeakasvuinen, kookas tuomilaji. Terve, kestävä tuomenkehrääjäkoita vastaan. Arvokas tiheäsyinen puuaines. Värjäyskasvi, rohdoskasvi. Harvoin viljelty. Menestynyt hyvin Turun ja Helsingin kasvitieteellisissä puutarhoissa sekä Ilomantsissa (1990-luvulta lähtien). Varoväli salaojaan 10m.				
Pyrus communis	päärynä	hed	L,P	tuo	ravint	x	multa	x	(6)-(12)	au	x	(1)-(3)	Pystykasvuinen hedelmäpuu. Talvenarempi ja aikaisempi kukkija kuin omena. Hallanarka kukkiessaan, vaatii lämpimän kasvupaikan, mieluiten rinteessä. Vaatelias maaperän suhteen. Menestyy vain läpäisevillä mailla, ei siedä märkyyttä. Vaatii säännöllisen leikkauksen. Lajikevalinta ja pölytyssuhteet sekä sopiva perusrunko on huomioitava. Lajikkeet jaetaan kesä- syys- ja talvilajikkeisiin. Kesälajikkeet eivät kestä varastointia. Lukuisia tuholaisia ja kasvitauteja. Luonnonmukainen viljely haastavaa. Ei hakeudu salaojiin, varoväli salaojaan 3m.				(4)-(4)
Quercus robur	metsätammi	puu	L,P	tuo	ravint				(10)-(25)	au,pv		(1)-(3)	Arvokas puuaines, pitkä kiertoaika, vaatii pystykarsintaa. Sopivan lisäyslähteen valinnalla on suuri merkitys. Soveltuu myös ympättäväksi tryffelisienellä. Vaatimattomampi kasvupaikan suhteen kuin muut jalopuut. Sietää nuorena varjoa mutta vanhemmiten vaatii täyttä valoa. Syväjuurinen, kestää kuivuutta, menestyy savimaillakin. Ei hakeudu salaojiin , varoväli salaojaan 5m.			(26)-(30)	(4)-(4)
Quercus rubra	punatammi	puu	L,P	tuo	ravint				(10)-(20)	au		(1)-(3)	Kuten metsätammi, mutta nopeakasvuisempi. Jopa vaatimattomampi kasvupaikan suhteen kuin metsätammi. Syväjuurinen, kestää kuivuutta, menestyy savimaillakin. Peltoviljelyssä vaatii pystykarsintaa. Sopivan lisäyslähteen valinnalla suuri merkitys. Menestynyt hyvin Etelä-Suomessa. Ei hakeudu salaojiin , varoväli salaojaan 5m.				(4)-(4)
Salix spp.	pajut	bio,puno,rehu,mesi,leh,moni	L ,VS,T	tuo,kos	ravint				(2)-(6)	au		(1)-(3)	Soveltuvat energiapuulajeiksi lyhytkiertoviljelyyn (biomassapaju). Erittäin monimuotoinen suku. Osa lajeista/lajikkeista menestyy Pohjois-Suomessa asti. Pajuista löytyy useita eri lajeja ja lajikkeita sekä biomassa että punontakäyttöön. Salix-lajeista erinomaisia mesikasveja ovat mm. härmäpaju (S. daphnoides) sekä sen lähilajit. Ne kukkivat luonnonvaraisia lajeja aikaisemmin keväällä kun kimalaisille ja mehiläisille ei ole vielä muuta saatavilla. Euroopassa viljeltyjä kori- ja energiapajuja on tuotu Suomeen, mutta osa näistä ei ole kestävintä materiaalia oloihimme. Uudemmista ruotsalaisista lajikkeista suositeltavia ovat esim.  Winter , ja  Klara , mutta niitä voi lisätä vain lisenssillä. Suomalaisia uusia lajikkeita on myös saatavilla (esim. Aino). Näitä ja muita pajuja voi tiedustella pajujalostaja Tapani Uroselta Padasjoelta. (ks.kirjallisuusluettelo). Pajut ovat yleisesti helppoja lisätä itse pistokkaista suoraan pellolle. Kaikki pajut hakeutuvat salaojiin, varoväli salaojaan 30m. Pajunviljelyohjeita mm. LUKE:sta.		P		(4)-(7)
Sambucus nigra	mustaselja	mesi,hed,tee,rohdos,moni	L,P	tuo	ravint	x			(2)-(6)	au		(1)-(2)	Keskikokoinen, leveäkasvuinen pensas. Nopeakasvuinen. Kukkii heinäkuussa. Runsaskukkainen, voimakastuoksuinen. Kukkia käytetään seljankukkamehun ja yrttiteen valmistukseen. Seljanmarjoja voidaan käyttää mehun, hillon ja rohdosten valmistukseen. Muut kasvinosat (myös siemenet) ovat lievästi myrkyllisiä. Voi paleltua ankarina talvina mutta uusiutuu nopeasti ja kukkii yleensä jo samana vuonna. Arvokas ravintokasvi myös linnuille ja hyönteisille. Saattaa levitä luontoon lintujen toimesta.		VS		(3)-(3)
Sorbus aucuparia	kotipihlaja	puu,moni,hed	L,P,VS,T	tuo,kui	keskirav				(4)-(12)	au,pv		(1)-(8)	Nopeakasvuisia, monikäyttöisiä. Pihlajat tuottavat arvokasta puusepänpuuta. Ei viljelyssä nykyään, mutta kysyntä on olemassa. Kotipihlajan marjat soveltuvat jatkojalostukseen. On myös olemassa lukuisia marjakasveiksi valittuja pihlajalajikkeita. Pihlajat eivät hakeudu salaojiin.				
Sorbus intermedia	ruotsinpihlaja	puu,moni	L,P,VS,T	tuo,kui	keskirav				(3)-(12)	au,pv		(1)-(5)	Nopeakasvuisia, monikäyttöisiä. Pihlajat tuottavat arvokasta puusepänpuuta. Ei viljelyssä nykyään, mutta kysyntä on olemassa. Kotipihlajan marjat soveltuvat jatkojalostukseen. On myös olemassa lukuisia marjakasveiksi valittuja pihlajalajikkeita. Pihlajat eivät hakeudu salaojiin.				
Sorbus hybrida	suomenpihlaja	puu,moni	L,P,VS,T	tuo,kui	keskirav				(3)-(10)	au,pv		(1)-(3)	Nopeakasvuisia, monikäyttöisiä. Pihlajat tuottavat arvokasta puusepänpuuta. Ei viljelyssä nykyään, mutta kysyntä on olemassa. Kotipihlajan marjat soveltuvat jatkojalostukseen. On myös olemassa lukuisia marjakasveiksi valittuja pihlajalajikkeita. Pihlajat eivät hakeudu salaojiin.				(4)-(4)
Tilia cordata	metsälehmus	puu,mesi,moni,kuitu	L,P,T	tuo	ravint	x			(15)-(25)	au,pv		(1)-(5)	Monimuotoinen, nopeakasvuinen, suora- ja yleensä yksirunkoinen, muhkuraton. Puuaines pehmeää, mutta arvostettua puusepänpuuna. Tärkeä pölyttäjille, kukat käyvät teeksi ja rohdoksi. Puusta saatavaa niineä on käytetty köysiin ja mattoihin. Varoväli salaojaan 10m. Eteläisetkin (mm. Etelä-Saksasta tuodut) siemenalkuperät ovat osoittautuneet meillä yhtä kestäviksi kuin kotimaiset lisäyslähteet.			(26)-(30)	
Ulmus glabra	vuorijalava	puu,moni	L,P,VS,T	tuo,kos	ravint				(15)-(25)	au,pv		(1)-(5)	Kotimaisia leveälatvuksisia jalopuita, nopeakasvuisia, avoimella paikalla monirunkoisia. Syvä ja voimakasjuurisia, kestävät hyvin myrskyjä. Viihtyvät savimaillakin, kestävät märkyyttä. Arvostettu, kova ja sitkeä puunaines on erityisen koristeellista ja lahonkestävää. Pelätty hollanninjalavatauti (Ophiostoma ulmi) ei ole vielä iskenyt kotimaisiin jalaviin. Saattavat hakeutua salaojiin, varoväli salaojaan 10m.				
Ulmus laevis	kynäjalava	puu,moni	L,P,VS,T	tuo,mär	ravint				(10)-(20)	au,pv		(1)-(4)	Kotimaisia leveälatvuksisia jalopuita, nopeakasvuisia, avoimella paikalla monirunkoisia. Syvä ja voimakasjuurisia, kestävät hyvin myrskyjä. Viihtyvät savimaillakin, kestävät märkyyttä. Arvostettu, kova ja sitkeä puunaines on erityisen koristeellista ja lahonkestävää. Pelätty hollanninjalavatauti (Ophiostoma ulmi) ei ole vielä iskenyt kotimaisiin jalaviin. Saattavat hakeutua salaojiin, varoväli salaojaan 10m.				
